#  time, MeanKE MeanKEDR MeanP
0 1.24924716013033330E-01 4.68467768164619505E-04 -5.53602782891480650E-18
1.47262156E-02 1.24916138885605502E-01 4.68446170972837254E-04 2.35754838293825869E-04
2.94623623E-02 1.24908670230678240E-01 4.68449890106016522E-04 2.47573116384174714E-04
4.41998089E-02 1.24901567971573327E-01 4.68476146543929937E-04 2.23228014514070567E-04
5.89389736E-02 1.24894582908207208E-01 4.68524015749016730E-04 1.83354428987792629E-04
7.36803323E-02 1.24887631556111836E-01 4.68593201530848220E-04 1.26530438542913487E-04
8.84243788E-02 1.24880685719169687E-01 4.68683622019518966E-04 5.28178947438075609E-05
1.03171611E-01 1.24873735633552571E-01 4.68795271421880726E-04 -3.80896382091005110E-05
1.17921719E-01 1.24866778061702571E-01 4.68928166042701852E-04 -1.46027128029561714E-04
1.32673378E-01 1.24859812293234215E-01 4.69082320815788654E-04 -2.70957161128792113E-04
1.47427093E-01 1.24852837439580769E-01 4.69257772684664350E-04 -4.12827202447230200E-04
1.62183364E-01 1.24845852839976221E-01 4.69454566339320826E-04 -5.71579485185673983E-04
1.76942690E-01 1.24838857909625414E-01 4.69672753620522512E-04 -7.47151614891907075E-04
1.91705565E-01 1.24831852089120121E-01 4.69912393301392657E-04 -9.39476475879809695E-04
2.06472480E-01 1.24824834827642117E-01 4.70173550993133876E-04 -1.14848219245492996E-03
2.21243922E-01 1.24817805577391597E-01 4.70456299090530401E-04 -1.37409204003658726E-03
2.36020373E-01 1.24810763791766033E-01 4.70760716729151695E-04 -1.61622433310604110E-03
2.50802309E-01 1.24803708924812212E-01 4.71086889744995734E-04 -1.87479229844609414E-03
2.65590201E-01 1.24796640431071262E-01 4.71434910633340286E-04 -2.14970393766629507E-03
2.80384515E-01 1.24789557765568868E-01 4.71804878505822543E-04 -2.44086187913394653E-03
2.95185709E-01 1.24782460383852725E-01 4.72196899045470263E-04 -2.74816322118541902E-03
3.09994234E-01 1.24775347742047987E-01 4.72611084459445519E-04 -3.07149936588299935E-03
3.24809277E-01 1.24768219902679042E-01 4.73047515387936361E-04 -3.41072667700193476E-03
3.39630128E-01 1.24761076877935709E-01 4.73506274960915042E-04 -3.76569266287012051E-03
3.54457246E-01 1.24753918117717633E-01 4.73987484747844445E-04 -4.13626350845052587E-03
3.69291082E-01 1.24746743072636668E-01 4.74491272751617469E-04 -4.52229952392536275E-03
3.84132080E-01 1.24739551193910225E-01 4.75017773352191797E-04 -4.92365479006017480E-03
3.98980675E-01 1.24732341933378427E-01 4.75567127248268653E-04 -5.34017686472097394E-03
4.13837294E-01 1.24725114743536203E-01 4.76139481396782561E-04 -5.77170657551449428E-03
4.28702357E-01 1.24717869077590054E-01 4.76734988950276847E-04 -6.21807780462922156E-03
4.43576272E-01 1.24710604389522667E-01 4.77353809192071986E-04 -6.67911726875385341E-03
4.58459441E-01 1.24703320134141982E-01 4.77996107469294432E-04 -7.15464429228829853E-03
4.73352253E-01 1.24696015767142565E-01 4.78662055123655673E-04 -7.64447057450799543E-03
4.88255090E-01 1.24688690745170541E-01 4.79351829420118455E-04 -8.14839995344912409E-03
5.03168322E-01 1.24681344525871651E-01 4.80065613473357623E-04 -8.66622816421576576E-03
