# time.  MeanKEDR
0.3049    0.0004608
0.6702    0.0004962
0.9441    0.0005215
1.605    0.0006117
2.170    0.0007805
2.299    0.0008121
2.680    0.0009485
2.959    0.001081
3.229    0.001226
3.732    0.001640
4.102    0.002115
6.087    0.005578
6.225    0.005844
6.363    0.006109
6.485    0.006356
7.604    0.008847
7.696    0.009214
7.819    0.009555
8.296    0.01105
8.403    0.01136
8.495    0.01159
8.603    0.01200
8.710    0.01226
8.894    0.01257
1.131    0.0005313
1.395    0.0005937
1.809    0.0006562
1.997    0.0007188
2.525    0.0008750
3.392    0.001344
3.543    0.001469
3.996    0.002000
3.845    0.001750
3.883    0.001906
4.185    0.002312
4.261    0.002469
4.374    0.002656
4.413    0.002844
4.488    0.003000
4.602    0.003156
4.640    0.003344
4.753    0.003500
4.829    0.003656
4.867    0.003844
4.981    0.004031
5.057    0.004219
5.170    0.004406
5.359    0.004625
5.510    0.004813
5.661    0.004969
5.850    0.005219
5.964    0.005406
6.570    0.006594
6.608    0.006750
6.683    0.006875
6.759    0.007031
6.872    0.007125
6.948    0.007219
7.061    0.007313
7.137    0.007469
7.175    0.007625
7.251    0.007750
7.289    0.007875
7.403    0.008219
7.479    0.008563
7.555    0.008719
7.669    0.009000
7.745    0.009375
7.896    0.009688
7.897    0.009844
7.973    0.01000
8.011    0.01019
8.049    0.01031
8.087    0.01050
8.163    0.01063
8.239    0.01075
7.402    0.008031
7.441    0.008375
8.201    0.01088
8.391    0.01122
8.504    0.01150
8.543    0.01178
8.581    0.01191
8.657    0.01213
8.733    0.01241
8.846    0.01250
9.035    0.01269
8.960    0.01266
0.1149    0.0004688

