# time   MeanKEDR
0.3049    0.0004608
0.6702    0.0004962
0.9441    0.0005215
1.1310    0.0005313
1.3950    0.0005937
1.6050    0.0006117
1.8090    0.0006562
1.9970    0.0007188
2.1700    0.0007805
2.2990    0.0008121
2.5250    0.0008750
2.6800    0.0009485
2.9590    0.0010810
3.2290    0.0012260
3.3920    0.0013440
3.5430    0.0014690
3.7320    0.0016400
3.8450    0.0017500
3.8830    0.0019060
3.9960    0.0020000
4.1020    0.0021150
4.1850    0.0023120
4.2610    0.0024690
4.3740    0.0026560
4.4130    0.0028440
4.4880    0.0030000
4.6020    0.0031560
4.6400    0.0033440
4.7530    0.0035000
4.8290    0.0036560
4.8670    0.0038440
4.9810    0.0040310
5.0570    0.0042190
5.1700    0.0044060
5.3590    0.0046250
5.5100    0.0048130
5.6610    0.0049690
5.8500    0.0052190
5.9640    0.0054060
6.0870    0.0055780
6.2250    0.0058440
6.3630    0.0061090
6.4850    0.0063560
6.5700    0.0065940
6.6080    0.0067500
6.6830    0.0068750
6.7590    0.0070310
6.8720    0.0071250
6.9480    0.0072190
7.0610    0.0073130
7.1370    0.0074690
7.1750    0.0076250
7.2510    0.0077500
7.2890    0.0078750
7.4020    0.0080310
7.4030    0.0082190
7.4410    0.0083750
7.4790    0.0085630
7.5550    0.0087190
7.6040    0.0088470
7.6690    0.0090000
7.6960    0.0092140
7.7450    0.0093750
7.8190    0.0095550
7.8960    0.0096880
7.8970    0.0098440
7.9730    0.0100000
8.0110    0.0101900
8.0490    0.0103100
8.0870    0.0105000
8.1630    0.0106300
8.2010    0.0108800
8.2390    0.0107500
8.2960    0.0110500
8.3910    0.0112200
8.4030    0.0113600
8.4950    0.0115900
8.5040    0.0115000
8.5430    0.0117800
8.5810    0.0119100
8.6030    0.0120000
8.6570    0.0121300
8.7100    0.0122600
8.7330    0.0124100
8.8460    0.0125000
8.8940    0.0125700
8.9600    0.0126600
9.0350    0.0126900
