#  time, MeanKE MeanKEDR MeanP
0 1.24981176165412808E-01 4.68679415817068389E-04 -5.50482138072360219E-18
7.36310778E-03 1.24977302689292927E-01 4.68667536012816791E-04 6.16318228418847236E-05
1.47275078E-02 1.24973710011765465E-01 4.68662002059082458E-04 7.22178465858209264E-05
2.20921212E-02 1.24970210787831937E-01 4.68662111284739568E-04 7.12040046441360868E-05
2.94570006E-02 1.24966742355487923E-01 4.68667628943650934E-04 6.62266081086863167E-05
3.68222056E-02 1.24963283777692377E-01 4.68678477190927819E-04 5.69804307342020901E-05
4.41877984E-02 1.24959828029262768E-01 4.68694630794453423E-04 4.33746111966316173E-05
5.15538417E-02 1.24956372722602460E-01 4.68716082355134637E-04 2.54311735887304508E-05
5.89202906E-02 1.24952917066902300E-01 4.68742830279825868E-04 3.14911261621523242E-06
6.62869846E-02 1.24949460840644275E-01 4.68774874494880082E-04 -2.34715314115812054E-05
7.36539872E-02 1.24946003889275709E-01 4.68812216581743842E-04 -5.44276587834308686E-05
8.10213616E-02 1.24942546115503025E-01 4.68854858776023757E-04 -8.97155260987671211E-05
8.83891711E-02 1.24939087441142377E-01 4.68902803824227711E-04 -1.29330940336411856E-04
9.57574787E-02 1.24935627794403051E-01 4.68956054934853460E-04 -1.73269382719983781E-04
1.03126347E-01 1.24932167105584843E-01 4.69014615762500795E-04 -2.21526053057161630E-04
1.10495840E-01 1.24928705305728902E-01 4.69078490401694890E-04 -2.74095880225299195E-04
1.17866019E-01 1.24925242326122038E-01 4.69147683384171137E-04 -3.30973523853330754E-04
1.25236947E-01 1.24921778098178782E-01 4.69222199678073759E-04 -3.92153372717893344E-04
1.32608687E-01 1.24918312553297647E-01 4.69302044686819458E-04 -4.57629542224758940E-04
1.39981300E-01 1.24914845622952880E-01 4.69387224248084712E-04 -5.27395872672379077E-04
1.47354848E-01 1.24911377238642651E-01 4.69477744633303305E-04 -6.01445925442197740E-04
1.54729393E-01 1.24907907331852544E-01 4.69573612546417437E-04 -6.79772980735893683E-04
1.62104710E-01 1.24904435969212746E-01 4.69674831081515350E-04 -7.62366786773264267E-04
1.69480822E-01 1.24900963099974269E-01 4.69781406627200993E-04 -8.49219077943149563E-04
1.76857792E-01 1.24897488655453900E-01 4.69893346488485400E-04 -9.40300064256428879E-04
1.84235680E-01 1.24894012566955689E-01 4.70010658401341565E-04 -1.03567036154465406E-03
1.91614549E-01 1.24890534765818725E-01 4.70133350531621002E-04 -1.13524229012807376E-03
1.98994459E-01 1.24887055183391479E-01 4.70261431474153148E-04 -1.23904407673851172E-03
2.06375471E-01 1.24883573751048221E-01 4.70394910251747034E-04 -1.34706089143757759E-03
2.13757646E-01 1.24880090400226018E-01 4.70533796313909319E-04 -1.45928299631091236E-03
2.21141044E-01 1.24876605062324550E-01 4.70678099535906192E-04 -1.57570047108344653E-03
2.28525725E-01 1.24873117668830885E-01 4.70827830217481836E-04 -1.69630308589538772E-03
2.35911748E-01 1.24869628151217063E-01 4.70982999081644724E-04 -1.82108029752489371E-03
2.43299174E-01 1.24866136441035031E-01 4.71143617273603907E-04 -1.95002124113086606E-03
2.50688060E-01 1.24862642469823676E-01 4.71309696359334125E-04 -2.08311472738611711E-03
2.58078422E-01 1.24859146189524414E-01 4.71481247310426201E-04 -2.22034843461119862E-03
2.65470050E-01 1.24855647659120911E-01 4.71658275892914976E-04 -2.36170525436820702E-03
2.72863002E-01 1.24852146809773579E-01 4.71840794273213236E-04 -2.50717247833187129E-03
2.80257337E-01 1.24848643572678233E-01 4.72028815036012192E-04 -2.65673707880015667E-03
2.87653115E-01 1.24845137879072060E-01 4.72222351183378011E-04 -2.81038570031084435E-03
2.95050392E-01 1.24841629660209119E-01 4.72421416132805456E-04 -2.96810464081736581E-03
3.02449227E-01 1.24838118847384050E-01 4.72626023716116227E-04 -3.12987984709986455E-03
3.09849676E-01 1.24834605371935040E-01 4.72836188177867193E-04 -3.29569690757070335E-03
3.17251798E-01 1.24831089165216541E-01 4.73051924173706090E-04 -3.46554104891529449E-03
3.24655647E-01 1.24827570158642112E-01 4.73273246768955171E-04 -3.63939712847637315E-03
3.32061280E-01 1.24824048283659034E-01 4.73500171436840381E-04 -3.81724962919235879E-03
3.39468752E-01 1.24820523471741343E-01 4.73732714056988977E-04 -3.99908265390593910E-03
3.46878118E-01 1.24816995654420157E-01 4.73970890913779697E-04 -4.18487991895527198E-03
3.54289433E-01 1.24813464763271695E-01 4.74214718694492790E-04 -4.37462474649977576E-03
3.61702751E-01 1.24809930729889190E-01 4.74464214487652590E-04 -4.56830006185047696E-03
3.69117880E-01 1.24806393602576587E-01 4.74719387274477264E-04 -4.76588182962300183E-03
3.76534827E-01 1.24802853335267555E-01 4.74980252742655644E-04 -4.96735049936561108E-03
3.83953647E-01 1.24799309859006557E-01 4.75246828583010224E-04 -5.17268735531320120E-03
3.91374392E-01 1.24795763104897081E-01 4.75519132884423502E-04 -5.38187327912076265E-03
3.98797118E-01 1.24792213004018868E-01 4.75797184132234496E-04 -5.59488873299694538E-03
4.06221876E-01 1.24788659487599554E-01 4.76081001206533298E-04 -5.81171374861921917E-03
4.13648719E-01 1.24785102486805785E-01 4.76370603379812092E-04 -6.03232792242942763E-03
4.21077698E-01 1.24781541932911910E-01 4.76666010315374958E-04 -6.25671040800003259E-03
4.28508865E-01 1.24777977757237368E-01 4.76967242065046951E-04 -6.48483990769927864E-03
4.35942270E-01 1.24774409891107524E-01 4.77274319067387391E-04 -6.71669466767916591E-03
4.43377962E-01 1.24770838265940182E-01 4.77587262145583635E-04 -6.95225246749129125E-03
4.50815992E-01 1.24767262813180832E-01 4.77906092505238822E-04 -7.19149061554516175E-03
4.58256408E-01 1.24763683464313907E-01 4.78230831732438029E-04 -7.43438594026220052E-03
4.65699258E-01 1.24760100150910699E-01 4.78561501791393282E-04 -7.68091478148636656E-03
4.73144589E-01 1.24756512804550718E-01 4.78898125022500011E-04 -7.93105298455502872E-03
4.80592289E-01 1.24752921433682884E-01 4.79240716753575409E-04 -8.18477043887677093E-03
4.88042300E-01 1.24749326020250711E-01 4.79589294797781447E-04 -8.44203814502848295E-03
4.95494671E-01 1.24745726495130174E-01 4.79943882104721443E-04 -8.70283013747248646E-03
5.02949449E-01 1.24742122789214205E-01 4.80304501996776912E-04 -8.96711993701139465E-03
5.10406679E-01 1.24738514833467831E-01 4.80671178166554704E-04 -9.23488054664518311E-03
5.17866410E-01 1.24734902558895452E-01 4.81043934674687591E-04 -9.50608443975205046E-03
5.25328685E-01 1.24731285896559574E-01 4.81422795947434711E-04 -9.78070354773537091E-03
5.32793549E-01 1.24727664777587191E-01 4.81807786774324730E-04 -1.00587092578408172E-02
5.40261047E-01 1.24724039133127795E-01 4.82198932305743220E-04 -1.03400724017049372E-02
5.47731221E-01 1.24720408894440554E-01 4.82596258050391235E-04 -1.06247632482762040E-02
5.55204115E-01 1.24716773992754854E-01 4.82999789872958830E-04 -1.09127514938674331E-02
5.62679770E-01 1.24713134359435374E-01 4.83409553991489746E-04 -1.12040062573257344E-02
5.70158227E-01 1.24709489925862407E-01 4.83825576975033245E-04 -1.14984960694878447E-02
5.77639527E-01 1.24705840623494629E-01 4.84247885740756714E-04 -1.17961888640188903E-02
5.85123709E-01 1.24702186383799929E-01 4.84676507551747016E-04 -1.20970519731660956E-02
5.92610812E-01 1.24698527138377133E-01 4.85111470013983826E-04 -1.24010521129047160E-02
6.00100875E-01 1.24694862818831645E-01 4.85552801074056579E-04 -1.27081553841288577E-02
6.07593759E-01 1.24691193442686560E-01 4.86000518471089570E-04 -1.30183199577172740E-02
6.15089453E-01 1.24687518965953592E-01 4.86454647395893555E-04 -1.33315084104008198E-02
6.22587994E-01 1.24683839319333606E-01 4.86915216416046849E-04 -1.36476848012357359E-02
6.30089421E-01 1.24680154433608165E-01 4.87382254435495964E-04 -1.39668125480303280E-02
6.37593772E-01 1.24676464239593859E-01 4.87855790691960891E-04 -1.42888544200615534E-02
6.45101083E-01 1.24672768668162931E-01 4.88335854754013885E-04 -1.46137725289533556E-02
6.52611388E-01 1.24669067650258161E-01 4.88822476518281949E-04 -1.49415283235554922E-02
6.60124725E-01 1.24665361116888057E-01 4.89315686206665099E-04 -1.52720825770892472E-02
6.67641125E-01 1.24661648999100011E-01 4.89815514363500359E-04 -1.56053953873623533E-02
6.75160624E-01 1.24657931228017702E-01 4.90321991852531039E-04 -1.59414261577083480E-02
6.82683253E-01 1.24654207734820985E-01 4.90835149854078811E-04 -1.62801336010929762E-02
6.90209043E-01 1.24650478450756816E-01 4.91355019861935624E-04 -1.66214757235921239E-02
6.97738027E-01 1.24646743307103819E-01 4.91881633680687786E-04 -1.69654098242318502E-02
7.05270234E-01 1.24643002235246270E-01 4.92415023422353528E-04 -1.73118924785357828E-02
7.12805693E-01 1.24639255166603818E-01 4.92955221503585980E-04 -1.76608795403642993E-02
7.20344433E-01 1.24635502032673998E-01 4.93502260642442246E-04 -1.80123261313096458E-02
7.27886481E-01 1.24631742764997624E-01 4.94056173855501705E-04 -1.83661866320492771E-02
7.35431864E-01 1.24627977295207151E-01 4.94616994454301047E-04 -1.87224146761614078E-02
7.42980607E-01 1.24624205554969239E-01 4.95184756042875082E-04 -1.90809631475039043E-02
7.50532737E-01 1.24620427476051482E-01 4.95759492513865325E-04 -1.94417841654873809E-02
7.58088124E-01 1.24616643066602778E-01 4.96341226242394688E-04 -1.98048217184011340E-02
7.65646774E-01 1.24612852268153759E-01 4.96929989816988693E-04 -2.01700253821056573E-02
7.73208712E-01 1.24609055011373301E-01 4.97525817766444802E-04 -2.05373449985324051E-02
7.80773963E-01 1.24605251226979380E-01 4.98128744903471722E-04 -2.09067296305950508E-02
7.88342551E-01 1.24601440845782521E-01 4.98738806321996891E-04 -2.12781275624337463E-02
7.95914498E-01 1.24597623798638063E-01 4.99356037393450269E-04 -2.16514862933561425E-02
8.03489828E-01 1.24593800016492048E-01 4.99980473763485603E-04 -2.20267525365126782E-02
8.11068562E-01 1.24589969430315556E-01 5.00612151348724674E-04 -2.24038722081113147E-02
8.18650720E-01 1.24586131971185163E-01 5.01251106333235811E-04 -2.27827904288854279E-02
8.26236321E-01 1.24582287570205189E-01 5.01897375165399136E-04 -2.31634515157134631E-02
8.33825385E-01 1.24578436158587214E-01 5.02550994553948357E-04 -2.35457989785649649E-02
8.41417929E-01 1.24574577667572503E-01 5.03212001465098285E-04 -2.39297755186588974E-02
8.49013971E-01 1.24570712028489725E-01 5.03880433118592160E-04 -2.43153230222939547E-02
8.56613526E-01 1.24566839172726818E-01 5.04556326984429305E-04 -2.47023825601346975E-02
8.64216610E-01 1.24562959031743151E-01 5.05239720779227961E-04 -2.50908943802556142E-02
8.71823237E-01 1.24559071537074573E-01 5.05930652462700976E-04 -2.54807979122862981E-02
8.79433420E-01 1.24555176620295846E-01 5.06629160234056469E-04 -2.58720317598637971E-02
8.87047172E-01 1.24551274213088398E-01 5.07335282528240529E-04 -2.62645337001968272E-02
8.94664506E-01 1.24547364247172720E-01 5.08049058012519810E-04 -2.66582406871265602E-02
9.02285431E-01 1.24543446654336934E-01 5.08770525582595968E-04 -2.70530888394267532E-02
9.09909957E-01 1.24539521366475878E-01 5.09499724359175352E-04 -2.74490134546355770E-02
9.17538094E-01 1.24535588315494827E-01 5.10236693683925688E-04 -2.78459489981942344E-02
9.25169849E-01 1.24531647433418602E-01 5.10981473115959799E-04 -2.82438291067194161E-02
9.32805231E-01 1.24527698652334387E-01 5.11734102428053469E-04 -2.86425865913463931E-02
9.40444245E-01 1.24523741904368296E-01 5.12494621602718682E-04 -2.90421534350813436E-02
9.48086896E-01 1.24519777121737646E-01 5.13263070828641694E-04 -2.94424607990889479E-02
9.55733190E-01 1.24515804236746130E-01 5.14039490496509825E-04 -2.98434390198693972E-02
9.63383129E-01 1.24511823181715955E-01 5.14823921195596557E-04 -3.02450176160319745E-02
9.71036696E-01 1.24507833900734402E-01 5.15616401386975298E-04 -3.06471241058586044E-02
9.78693824E-01 1.24503836361147438E-01 5.16416964976433514E-04 -3.10496828529920818E-02
9.86354518E-01 1.24499830494072705E-01 5.17225653188421600E-04 -3.14526211219000804E-02
9.94018781E-01 1.24495816230748998E-01 5.18042507439035911E-04 -3.18558653656757437E-02
1.00168662E+00 1.24491793502436554E-01 5.18867569332255498E-04 -3.22593412343018943E-02
1.00935802E+00 1.24487762240492725E-01 5.19700880655646715E-04 -3.26629735936192142E-02
1.01703301E+00 1.24483722376352482E-01 5.20542483376719217E-04 -3.30666865228115420E-02
1.02471156E+00 1.24479673841490446E-01 5.21392419638499593E-04 -3.34704033329257314E-02
1.03239369E+00 1.24475616567491856E-01 5.22250731755758237E-04 -3.38740465643804500E-02
1.04007939E+00 1.24471550485971083E-01 5.23117462210765673E-04 -3.42775379995012494E-02
1.04776866E+00 1.24467475528631133E-01 5.23992653649166511E-04 -3.46807986736990606E-02
1.05546149E+00 1.24463391627274794E-01 5.24876348875903177E-04 -3.50837488793717192E-02
1.06315788E+00 1.24459298713724784E-01 5.25768590851196011E-04 -3.54863081762553795E-02
1.07085782E+00 1.24455196719899921E-01 5.26669422686057388E-04 -3.58883954140016836E-02
1.07856131E+00 1.24451085577807721E-01 5.27578887638292197E-04 -3.62899287226839187E-02
1.08626834E+00 1.24446965219484812E-01 5.28497029108536387E-04 -3.66908255450053844E-02
1.09397891E+00 1.24442835577049521E-01 5.29423890635494069E-04 -3.70910026385672803E-02
1.10169299E+00 1.24438696582735431E-01 5.30359515892076124E-04 -3.74903760872844841E-02
1.10941059E+00 1.24434548168770753E-01 5.31303948681235354E-04 -3.78888613276525191E-02
1.11713170E+00 1.24430390267507962E-01 5.32257232931276328E-04 -3.82863731489834144E-02
1.12485629E+00 1.24426222811357443E-01 5.33219412692109576E-04 -3.86828257189131830E-02
1.13258436E+00 1.24422045732766162E-01 5.34190532130412034E-04 -3.90781325975605442E-02
1.14031590E+00 1.24417858964290889E-01 5.35170635525802842E-04 -3.94722067529591492E-02
1.14805089E+00 1.24413662438546249E-01 5.36159767266150382E-04 -3.98649605788722258E-02
1.15578932E+00 1.24409456088184114E-01 5.37157971843616345E-04 -4.02563059171388779E-02
1.16353116E+00 1.24405239845954280E-01 5.38165293849945199E-04 -4.06461540719694966E-02
1.17127642E+00 1.24401013644670100E-01 5.39181777972238944E-04 -4.10344158343791399E-02
1.17902506E+00 1.24396777417173740E-01 5.40207468988882140E-04 -4.14210014994035314E-02
1.18677707E+00 1.24392531096432321E-01 5.41242411764743117E-04 -4.18058208914368762E-02
1.19453243E+00 1.24388274615416766E-01 5.42286651247055854E-04 -4.21887833842381973E-02
1.20229112E+00 1.24384007907202138E-01 5.43340232461104306E-04 -4.25697979227148346E-02
1.21005312E+00 1.24379730904896652E-01 5.44403200505605769E-04 -4.29487730521700417E-02
1.21781842E+00 1.24375443541679773E-01 5.45475600548571068E-04 -4.33256169354551759E-02
1.22558698E+00 1.24371145750807682E-01 5.46557477822840246E-04 -4.37002373859168569E-02
1.23335878E+00 1.24366837465563096E-01 5.47648877621627903E-04 -4.40725418889531817E-02
1.24113381E+00 1.24362518619323612E-01 5.48749845294274098E-04 -4.44424376297258283E-02
1.24891203E+00 1.24358189145462178E-01 5.49860426241802051E-04 -4.48098315199018313E-02
1.25669343E+00 1.24353848977463946E-01 5.50980665912580896E-04 -4.51746302299062749E-02
1.26447797E+00 1.24349498048872381E-01 5.52110609797819090E-04 -4.55367402144718353E-02
1.27226563E+00 1.24345136293232530E-01 5.53250303427519361E-04 -4.58960677408053325E-02
1.28005639E+00 1.24340763644163813E-01 5.54399792365773488E-04 -4.62525189264074571E-02
1.28785022E+00 1.24336380035336549E-01 5.55559122206639947E-04 -4.66059997603072707E-02
1.29564708E+00 1.24331985400468720E-01 5.56728338569758099E-04 -4.69564161449080794E-02
1.30344695E+00 1.24327579673336686E-01 5.57907487096114593E-04 -4.73036739206645837E-02
1.31124979E+00 1.24323162787728508E-01 5.59096613443420764E-04 -4.76476789018411492E-02
