#  time, MeanKE MeanKEDR MeanP
0 1.24981176168718400E-01 4.68679415829478764E-04 3.58063961072883229E-18
7.36310778E-03 1.24977302271324253E-01 4.68667534976726740E-04 2.39944765537554496E-05
1.47275078E-02 1.24973709419972379E-01 4.68662002045571564E-04 3.22616865630713637E-05
2.20921335E-02 1.24970210069888538E-01 4.68662113600146495E-04 3.60410610592308824E-05
2.94570412E-02 1.24966741460384001E-01 4.68667634487049086E-04 3.55560545003789309E-05
3.68222922E-02 1.24963282624931990E-01 4.68678486723354858E-04 3.07343778317342435E-05
4.41879490E-02 1.24959826529005308E-01 4.68694645019804572E-04 2.16028096773379640E-05
5.15540747E-02 1.24956370782077331E-01 4.68716101946059277E-04 8.09427892690965298E-06
5.89206238E-02 1.24952914592553602E-01 4.68742855883797448E-04 -9.75706334793993072E-06
6.62874364E-02 1.24949457738441044E-01 4.68774906738337932E-04 -3.19506084464116663E-05
7.36545761E-02 1.24946000064967006E-01 4.68812256070328824E-04 -5.84860922739355649E-05
8.10221060E-02 1.24942541474652391E-01 4.68854906095193390E-04 -8.93601277503187040E-05
8.83900894E-02 1.24939081889112763E-01 4.68902859539405137E-04 -1.24568806266670836E-04
9.57585894E-02 1.24935621236314728E-01 4.68956119592247862E-04 -1.64107797204317757E-04
1.03127669E-01 1.24932159446341839E-01 4.69014689889342613E-04 -2.07972456865696405E-04
1.10497391E-01 1.24928696449968013E-01 4.69078574506744041E-04 -2.56157864141626820E-04
1.17867819E-01 1.24925232178207321E-01 4.69147777958524260E-04 -3.08658828290767529E-04
1.25239014E-01 1.24921766562142614E-01 4.69222305195503080E-04 -3.65469890275041777E-04
1.32611039E-01 1.24918299532882443E-01 4.69302161604307356E-04 -4.26585320028082210E-04
1.39983957E-01 1.24914831021544187E-01 4.69387353006577891E-04 -4.91999114734221381E-04
1.47357829E-01 1.24911360959247930E-01 4.69477885658118503E-04 -5.61704995836633317E-04
1.54732717E-01 1.24907889277120682E-01 4.69573766248081680E-04 -6.35696406611877245E-04
1.62108394E-01 1.24904416042262656E-01 4.69674997830760079E-04 -7.13964970018019125E-04
1.69484885E-01 1.24900941202821969E-01 4.69781586800392193E-04 -7.96501506460613054E-04
1.76862252E-01 1.24897464689661189E-01 4.69893540448252864E-04 -8.83297869035326241E-04
1.84240557E-01 1.24893986433641663E-01 4.70010866497198030E-04 -9.74324162328449230E-04
1.91619862E-01 1.24890506365627124E-01 4.70133573100704554E-04 -1.06964116557346778E-03
1.99000227E-01 1.24887024416487052E-01 4.70261668841828089E-04 -1.16916043136370022E-03
2.06381713E-01 1.24883540517089581E-01 4.70395162732166201E-04 -1.27291062216751297E-03
2.13764381E-01 1.24880054598315374E-01 4.70534064210768909E-04 -1.38087660784689051E-03
2.21148292E-01 1.24876566591046068E-01 4.70678383143038437E-04 -1.49304855047545566E-03
2.28533505E-01 1.24873076426173832E-01 4.70828129819546130E-04 -1.60941641338056764E-03
2.35920081E-01 1.24869584034602549E-01 4.70983314954865966E-04 -1.72996985162257567E-03
2.43308077E-01 1.24866089347244844E-01 4.71143949686330700E-04 -1.85469820324419003E-03
2.50697554E-01 1.24862592295031216E-01 4.71310045572788502E-04 -1.98359048854036390E-03
2.58088523E-01 1.24859092830917576E-01 4.71481613496931419E-04 -2.11663498112955092E-03
2.65480777E-01 1.24855591011837241E-01 4.71658659289267944E-04 -2.25381710624866739E-03
2.72874375E-01 1.24852086768262607E-01 4.71841195110264992E-04 -2.39512208090263742E-03
2.80269376E-01 1.24848580030698514E-01 4.72029233539585948E-04 -2.54053710852264296E-03
2.87665838E-01 1.24845070729659405E-01 4.72222787574701371E-04 -2.69004906505385414E-03
2.95063820E-01 1.24841558795673310E-01 4.72421870629436650E-04 -2.84364448068377814E-03
3.02463379E-01 1.24838044159284872E-01 4.72626496532511150E-04 -3.00130954035271848E-03
3.09864573E-01 1.24834526751054511E-01 4.72836679526037460E-04 -3.16303007544458357E-03
3.17267459E-01 1.24831006501557831E-01 4.73052434263987790E-04 -3.32879156059491445E-03
3.24672092E-01 1.24827483341390183E-01 4.73273775810625344E-04 -3.49857910738058525E-03
3.32078529E-01 1.24823957201160823E-01 4.73500719638884524E-04 -3.67237745943657656E-03
3.39486826E-01 1.24820428011507376E-01 4.73733281628766856E-04 -3.85017098548267331E-03
3.46897036E-01 1.24816895703086503E-01 4.73971478065617969E-04 -4.03194367303030213E-03
3.54309216E-01 1.24813360206579696E-01 4.74215325638480698E-04 -4.21767912519092642E-03
3.61723418E-01 1.24809821452690428E-01 4.74464841438308152E-04 -4.40736054942843583E-03
3.69139446E-01 1.24806279491833524E-01 4.74720034240046706E-04 -4.60096748016451413E-03
3.76557312E-01 1.24802734274327920E-01 4.74980919923507171E-04 -4.79847826462134319E-03
3.83977071E-01 1.24799185730260734E-01 4.75247516182919093E-04 -4.99987395233589781E-03
3.91398776E-01 1.24795633789748298E-01 4.75519841111432930E-04 -5.20513573291575635E-03
3.98822481E-01 1.24792078382930716E-01 4.75797913199280651E-04 -5.41424437968897592E-03
4.06248239E-01 1.24788519439971768E-01 4.76081751331855940E-04 -5.62718024279875318E-03
4.13676102E-01 1.24784956891065155E-01 4.76371374787806160E-04 -5.84392324252584142E-03
4.21106122E-01 1.24781390666422576E-01 4.76666803237044796E-04 -6.06445286339060002E-03
4.28538350E-01 1.24777820696290939E-01 4.76968056738781240E-04 -6.28874814625371686E-03
4.35972836E-01 1.24774246910942188E-01 4.77275155739462545E-04 -6.51678768271692337E-03
4.43409630E-01 1.24770669240677992E-01 4.77588121070711598E-04 -6.74854960469001112E-03
4.50848782E-01 1.24767087615832620E-01 4.77906973947258618E-04 -6.98401158197664660E-03
4.58290341E-01 1.24763501966768692E-01 4.78231735964783225E-04 -7.22315080887694916E-03
4.65734355E-01 1.24759912223886424E-01 4.78562429097767982E-04 -7.46594400213740784E-03
4.73180870E-01 1.24756318317616133E-01 4.78899075697297250E-04 -7.71236738811520006E-03
4.80629767E-01 1.24752720259442132E-01 4.79241690710329035E-04 -7.96239388304859595E-03
4.88080996E-01 1.24749118026304714E-01 4.79590292324410833E-04 -8.21599412618291731E-03
4.95534604E-01 1.24745511547841637E-01 4.79944903500683284E-04 -8.47314093406019778E-03
5.02990640E-01 1.24741900753732080E-01 4.80305547573354271E-04 -8.73380823568346148E-03
5.10449149E-01 1.24738285573688198E-01 4.80672248247405564E-04 -8.99796944949327916E-03
5.17910179E-01 1.24734665937462741E-01 4.81045029596242218E-04 -9.26559746583535682E-03
5.25373774E-01 1.24731041774837306E-01 4.81423916059354920E-04 -9.53666464773404721E-03
5.32839979E-01 1.24727413015628660E-01 4.81808932439872837E-04 -9.81114281734382296E-03
5.40308838E-01 1.24723779589691650E-01 4.82200103902198814E-04 -1.00890032489547969E-02
5.47780395E-01 1.24720141426917008E-01 4.82597455969479433E-04 -1.03702166635230384E-02
5.55254691E-01 1.24716498457232677E-01 4.83001014521140196E-04 -1.06547532175210492E-02
5.62731770E-01 1.24712850610605414E-01 4.83410805790367029E-04 -1.09425824962005921E-02
5.70211672E-01 1.24709197817041553E-01 4.83826856361539649E-04 -1.12336735050534760E-02
5.77694437E-01 1.24705540006588678E-01 4.84249193167642165E-04 -1.15279946629119681E-02
5.85180105E-01 1.24701877109333711E-01 4.84677843487655029E-04 -1.18255137900671325E-02
5.92668715E-01 1.24698209055407155E-01 4.85112834943887466E-04 -1.21261981042514889E-02
6.00160306E-01 1.24694535774982546E-01 4.85554195499341291E-04 -1.24300142114053477E-02
6.07654728E-01 1.24690857289751905E-01 4.86001942246680160E-04 -1.27369242729555229E-02
6.15151979E-01 1.24687173549074784E-01 4.86456101019082008E-04 -1.30468889115776306E-02
6.22652100E-01 1.24683484482160087E-01 4.86916700400346822E-04 -1.33598718676298245E-02
6.30155126E-01 1.24679790018269898E-01 4.87383769310835500E-04 -1.36758370866502041E-02
6.37661097E-01 1.24676090086708768E-01 4.87857337004687138E-04 -1.39947478764167743E-02
6.45170048E-01 1.24672384616826448E-01 4.88337433067024661E-04 -1.43165668908882774E-02
6.52682015E-01 1.24668673538010741E-01 4.88824087411096706E-04 -1.46412561294158496E-02
6.60197033E-01 1.24664956779698133E-01 4.89317330275434352E-04 -1.49687769236585329E-02
6.67715137E-01 1.24661234271367882E-01 4.89817192220945463E-04 -1.52990899336357695E-02
6.75236358E-01 1.24657505942541297E-01 4.90323704127966628E-04 -1.56321551380311646E-02
6.82760731E-01 1.24653771722789269E-01 4.90836897193337122E-04 -1.59679318250816292E-02
6.90288286E-01 1.24650031541727421E-01 4.91356802927376364E-04 -1.63063785890297866E-02
6.97819055E-01 1.24646285329016865E-01 4.91883453150899217E-04 -1.66474533184893282E-02
7.05353067E-01 1.24642533014369922E-01 4.92416879992152033E-04 -1.69911131901950840E-02
7.12890352E-01 1.24638774527544627E-01 4.92957115883737532E-04 -1.73373146601337597E-02
7.20430938E-01 1.24635009798348267E-01 4.93504193559539026E-04 -1.76860134647976314E-02
7.27974853E-01 1.24631238756639229E-01 4.94058146051563982E-04 -1.80371645981015523E-02
7.35522124E-01 1.24627461332325301E-01 4.94619006686794417E-04 -1.83907223203699476E-02
7.43072775E-01 1.24623677455364110E-01 4.95186809084003894E-04 -1.87466401387772971E-02
7.50626833E-01 1.24619887055769027E-01 4.95761587150548395E-04 -1.91048708147541178E-02
7.58184156E-01 1.24616090146912314E-01 4.96343362245661420E-04 -1.94653623807504693E-02
7.65744762E-01 1.24612286662030183E-01 4.96932167958444521E-04 -1.98280619170762805E-02
7.73308676E-01 1.24608476530015347E-01 4.97528038830480509E-04 -2.01929196810518470E-02
