#  time, MeanKE MeanKEDR MeanP
0 1.24699045417061311E-01 4.67622748076602565E-04 -1.14385921606686266E-17
2.94524311E-02 1.24678722875706888E-01 4.67588561139073205E-04 9.33114037178185847E-04
5.89826940E-02 1.24662620250625578E-01 4.67654673930249245E-04 9.18809541689019952E-04
8.85216581E-02 1.24647873352891625E-01 4.67810446176918635E-04 7.87528890404243405E-04
1.18072626E-01 1.24633510468107431E-01 4.68052431773266226E-04 5.99620731010608960E-04
1.47639324E-01 1.24619204058992641E-01 4.68379705743105607E-04 3.47709918747987222E-04
1.77225586E-01 1.24604842009497965E-01 4.68792256511651431E-04 3.18397073465770747E-05
2.06835231E-01 1.24590384025830420E-01 4.69290446192292235E-04 -3.47888132406858346E-04
2.36467542E-01 1.24575815949233198E-01 4.69874734880701005E-04 -7.90632723103162514E-04
2.66110431E-01 1.24561137225680754E-01 4.70545390182785443E-04 -1.29558476632370459E-03
2.95767817E-01 1.24546342152774950E-01 4.71303039888080913E-04 -1.86186570003187024E-03
3.25443548E-01 1.24531425913177743E-01 4.72148416734700926E-04 -2.48853919465448709E-03
3.55141388E-01 1.24516383979268286E-01 4.73082354629663574E-04 -3.17458158061855508E-03
3.84865001E-01 1.24501211917129290E-01 4.74105786198314894E-04 -3.91887383791858328E-03
4.14617941E-01 1.24485905324258364E-01 4.75219740667975335E-04 -4.72019661912917790E-03
4.44403644E-01 1.24470459811949666E-01 4.76425341751664179E-04 -5.57722471963170621E-03
4.74225411E-01 1.24454871002706760E-01 4.77723805419315545E-04 -6.48852114441512973E-03
5.04086403E-01 1.24439134532819962E-01 4.79116437517274171E-04 -7.45253086571713574E-03
5.33989629E-01 1.24423246056818385E-01 4.80604631221162831E-04 -8.46757434486650716E-03
5.63937937E-01 1.24407201252688782E-01 4.82189864315322222E-04 -9.53184089010231106E-03
5.93934007E-01 1.24390995827482323E-01 4.83873696294744526E-04 -1.06433819287918580E-02
6.23980343E-01 1.24374625523165819E-01 4.85657765286554087E-04 -1.18001042793399076E-02
6.54079265E-01 1.24358086122653144E-01 4.87543784788653501E-04 -1.29997635172440004E-02
6.84232904E-01 1.24341373455965673E-01 4.89533540223669405E-04 -1.42399575378922890E-02
7.14435173E-01 1.24324487862130864E-01 4.91628315164061329E-04 -1.55177841929321353E-02
7.44683226E-01 1.24307427949038027E-01 4.93829603579450192E-04 -1.68302782693657664E-02
7.74979370E-01 1.24290189460433215E-01 4.96139311386572385E-04 -1.81745263538109596E-02
8.05325713E-01 1.24272768213185017E-01 4.98559408580570400E-04 -1.95474527651561918E-02
8.35724161E-01 1.24255160094702569E-01 5.01091924987755936E-04 -2.09458102522188279E-02
8.66176411E-01 1.24237361066232066E-01 5.03738945828823893E-04 -2.23661768510857624E-02
8.96683953E-01 1.24219367168075509E-01 5.06502607087330205E-04 -2.38049538482958054E-02
9.27248060E-01 1.24201174525219990E-01 5.09385090682773576E-04 -2.52583649339526949E-02
9.57869796E-01 1.24182779352822167E-01 5.12388619450637284E-04 -2.67224567013743322E-02
9.88550006E-01 1.24164177961299763E-01 5.15515451934027880E-04 -2.81931006526683868E-02
1.01928932E+00 1.24145366760882045E-01 5.18767876993851836E-04 -2.96659968675612139E-02
1.05008816E+00 1.24126342265499290E-01 5.22148208247073071E-04 -3.11366794779969445E-02
1.08094673E+00 1.24107101095893207E-01 5.25658778345518165E-04 -3.26005240655496617E-02
1.11186502E+00 1.24087639981836487E-01 5.29301933111017957E-04 -3.40527570714171460E-02
1.14284284E+00 1.24067955763346491E-01 5.33080025546438675E-04 -3.54884673126714054E-02
1.17387975E+00 1.24048045390776643E-01 5.36995409746213810E-04 -3.69026197452179683E-02
1.20497517E+00 1.24027905923678544E-01 5.41050434734613602E-04 -3.82900715916874301E-02
1.23612829E+00 1.24007534528321486E-01 5.45247438264845645E-04 -3.96455908321184589E-02
1.26733814E+00 1.23986928473771796E-01 5.49588740617373145E-04 -4.09638769464312907E-02
1.29860355E+00 1.23966085126438780E-01 5.54076638441400359E-04 -4.22395838047537400E-02
1.32992322E+00 1.23945001943003688E-01 5.58713398689281203E-04 -4.34673446282089759E-02
1.36129567E+00 1.23923676461663718E-01 5.63501252699543254E-04 -4.46417989072543861E-02
1.39271928E+00 1.23902106291637698E-01 5.68442390490198611E-04 -4.57576210938526254E-02
1.42419229E+00 1.23880289100893326E-01 5.73538955329910079E-04 -4.68095508204425595E-02
1.45571285E+00 1.23858222602076948E-01 5.78793038660208579E-04 -4.77924243526747158E-02
1.48727897E+00 1.23835904536646446E-01 5.84206675447265160E-04 -4.87012069365305861E-02
1.51888857E+00 1.23813332657222747E-01 5.89781840046353276E-04 -4.95310256691021619E-02
1.55053953E+00 1.23790504708197052E-01 5.95520442666112523E-04 -5.02772024841351486E-02
1.58222962E+00 1.23767418404652871E-01 6.01424326522816523E-04 -5.09352980286605431E-02
1.61395660E+00 1.23744071409722878E-01 6.07495265776792498E-04 -5.15010855600803868E-02
1.64571819E+00 1.23720461310196747E-01 6.13734964342771546E-04 -5.19707052997747943E-02
1.67751210E+00 1.23696585591085456E-01 6.20145055668765177E-04 -5.23405554766194353E-02
1.70933606E+00 1.23672441608539255E-01 6.26727103570297078E-04 -5.26074033778286959E-02
1.74118782E+00 1.23648026561710173E-01 6.33482604208374946E-04 -5.27683835240224733E-02
1.77306518E+00 1.23623337463501987E-01 6.40412989291483728E-04 -5.28210212262557391E-02
1.80496602E+00 1.23598371110361885E-01 6.47519630575985571E-04 -5.27632631665259158E-02
1.83688829E+00 1.23573124051213470E-01 6.54803845731468282E-04 -5.25934447845620642E-02
1.86883006E+00 1.23547592555625599E-01 6.62266905627277276E-04 -5.23103921885067907E-02
1.90078952E+00 1.23521772581340950E-01 6.69910043087859034E-04 -5.19133283407706494E-02
1.93276502E+00 1.23495659741176184E-01 6.77734463151513926E-04 -5.14019420244015215E-02
1.96475506E+00 1.23469249269385004E-01 6.85741354857139353E-04 -5.07763625021344575E-02
1.99675836E+00 1.23442535987487861E-01 6.93931904571376307E-04 -5.00371588540978116E-02
2.02877379E+00 1.23415514269568413E-01 7.02307310857538166E-04 -4.91853311031439575E-02
2.06080049E+00 1.23388178007004246E-01 7.10868800877299182E-04 -4.82222979162091683E-02
2.09283782E+00 1.23360520572578167E-01 7.19617648306883849E-04 -4.71498810136715130E-02
2.12488538E+00 1.23332534783867867E-01 7.28555192741787679E-04 -4.59702866015494968E-02
2.15694307E+00 1.23304212865809990E-01 7.37682860558433354E-04 -4.46860841958756916E-02
2.18901104E+00 1.23275546412284040E-01 7.47002187197670533E-04 -4.33001832431134034E-02
2.22108974E+00 1.23246526346543400E-01 7.56514840834222576E-04 -4.18158079649521494E-02
2.25317994E+00 1.23217142880300903E-01 7.66222647398093898E-04 -4.02364708669905521E-02
2.28528269E+00 1.23187385471238864E-01 7.76127616918818159E-04 -3.85659453542004302E-02
2.31739937E+00 1.23157242778707376E-01 7.86231971171242575E-04 -3.68082378862828116E-02
2.34953168E+00 1.23126702617342126E-01 7.96538172612252030E-04 -3.49675600875688150E-02
2.38168165E+00 1.23095751908322087E-01 8.07048954611373987E-04 -3.30483012026183270E-02
2.41385163E+00 1.23064376627972719E-01 8.17767352994285663E-04 -3.10550012506720131E-02
2.44604427E+00 1.23032561753399397E-01 8.28696738936514810E-04 -2.89923251976861862E-02
2.47826256E+00 1.23000291204836215E-01 8.39840853264771023E-04 -2.68650384181429343E-02
2.51050982E+00 1.22967547784378919E-01 8.51203842244856136E-04 -2.46779836741359490E-02
2.54278963E+00 1.22934313110774851E-01 8.62790294957457328E-04 -2.24360597925022734E-02
2.57509018E+00 1.22900584208246913E-01 8.74599479101524071E-04 -2.01453022496170114E-02
2.60741367E+00 1.22866343026260080E-01 8.86635931239158903E-04 -1.78108838748384270E-02
2.63976381E+00 1.22831568958898296E-01 8.98905142740061172E-04 -1.54378789828139070E-02
2.67214461E+00 1.22796239956977554E-01 9.11413196823250321E-04 -1.30313232517345057E-02
2.70456039E+00 1.22760332448792045E-01 9.24166815889838683E-04 -1.05962095717263682E-02
2.73701576E+00 1.22723821251384507E-01 9.37173410536012758E-04 -8.13747772452337766E-03
2.76951559E+00 1.22686679475325189E-01 9.50441130688223592E-04 -5.66000536616070426E-03
2.80206504E+00 1.22648878424030910E-01 9.63978919158388499E-04 -3.16861321882797638E-03
2.83466950E+00 1.22610387487977437E-01 9.77796567864528798E-04 -6.67995441029398769E-04
2.86733457E+00 1.22571174034368902E-01 9.91904777007081555E-04 1.83714612437092719E-03
2.90006610E+00 1.22531203291446400E-01 1.00631521741079643E-03 4.34225906326025837E-03
2.93287011E+00 1.22490406500063889E-01 1.02104002961803195E-03 6.84590309272347253E-03
2.96573564E+00 1.22448786030419532E-01 1.03608542849923106E-03 9.33661220206591889E-03
2.99866075E+00 1.22406318740691356E-01 1.05146212084139459E-03 1.18121409469757969E-02
3.03165171E+00 1.22362964544893496E-01 1.06718554215704930E-03 1.42682904739705827E-02
3.06471499E+00 1.22318679139536493E-01 1.08327240206795763E-03 1.67009680763201204E-02
3.09785724E+00 1.22273414897237226E-01 1.09974078440335118E-03 1.91061805809038601E-02
3.13108523E+00 1.22227121078049408E-01 1.11661023981180678E-03 2.14800311214460200E-02
3.16440584E+00 1.22179743810499453E-01 1.13390187976387534E-03 2.38187158796398409E-02
3.19782606E+00 1.22131225993438022E-01 1.15163847540022068E-03 2.61185206590302324E-02
3.23135298E+00 1.22081507168830497E-01 1.16984456283768896E-03 2.83758175838180783E-02
3.26499372E+00 1.22030523382005762E-01 1.18854655590174539E-03 3.05870620857515117E-02
3.29873298E+00 1.21978242731366773E-01 1.20775994753750970E-03 3.27473496288361657E-02
3.33257158E+00 1.21924606948554531E-01 1.22751055519044463E-03 3.48530293947504691E-02
3.36651709E+00 1.21869543735754454E-01 1.24783003942157138E-03 3.69009963405641170E-02
3.40057710E+00 1.21812976763818234E-01 1.26875236985414573E-03 3.88882284779797568E-02
3.43475923E+00 1.21754825598961822E-01 1.29031396739797636E-03 4.08117885721694038E-02
3.46907111E+00 1.21695005593198152E-01 1.31255384580566828E-03 4.26688229916970738E-02
