# time, MeanKE, MeanKEDR, MeanP, MeanFKEDR
0 1.24981176165412808E-01 4.68679415817068389E-04 -5.50482138072360219E-18 4.67551373953957721E-04
7.36310778E-03 1.24977302862476894E-01 4.68667536662312331E-04 6.16315635492312402E-05 4.67539506461406502E-04
1.47275078E-02 1.24973710358185566E-01 4.68662003358367573E-04 7.22166419354707505E-05 4.67533935676776738E-04
2.20921212E-02 1.24970211307484175E-01 4.68662113234194001E-04 7.12029080335585687E-05 4.67533960614856443E-04
2.94570006E-02 1.24966743048430015E-01 4.68667631543685217E-04 6.62244707510811640E-05 4.67539347082769315E-04
3.68222056E-02 1.24963284643969261E-01 4.68678480442344966E-04 5.69778932613746516E-05 4.67550017404527480E-04
4.41877983E-02 1.24959829068922432E-01 4.68694634698022731E-04 4.33714118651743732E-05 4.67565946383063685E-04
5.15538416E-02 1.24956373935727297E-01 4.68716086911955758E-04 2.54274624115395288E-05 4.67587126604462422E-04
5.89202904E-02 1.24952918453559492E-01 4.68742835491151760E-04 3.14489927354530707E-06 4.67613556443887844E-04
6.62869844E-02 1.24949462400935032E-01 4.68774880362070280E-04 -2.34762578768809482E-05 4.67645235791912240E-04
7.36539870E-02 1.24946005623288253E-01 4.68812223106259253E-04 -5.44329014394699746E-05 4.67682166177233025E-04
8.10213613E-02 1.24942548023372249E-01 4.68854865959675434E-04 -8.97212877954821109E-05 4.67724349774227088E-04
8.83891708E-02 1.24939089522994068E-01 4.68902811668829144E-04 -1.29337223590435187E-04 4.67771789259594439E-04
9.57574783E-02 1.24935630050370533E-01 4.68956063442609917E-04 -1.73276190179393080E-04 4.67824487764243640E-04
1.03126347E-01 1.24932169535807297E-01 4.69014624935685197E-04 -2.21533387100172441E-04 4.67882448856867775E-04
1.10495839E-01 1.24928707910399728E-01 4.69078500242674429E-04 -2.74103743854295476E-04 4.67945676537884680E-04
1.17866018E-01 1.24925245105413751E-01 4.69147693895612572E-04 -3.30981919823445975E-04 4.68014175237059721E-04
1.25236946E-01 1.24921781052270031E-01 4.69222210862856731E-04 -3.92162304040004806E-04 4.68087949812286824E-04
1.32608686E-01 1.24918315682396835E-01 4.69302056547923137E-04 -4.57639012295773964E-04 4.68167005548516580E-04
1.39981299E-01 1.24914848927299801E-01 4.69387236788720939E-04 -5.27405885040242912E-04 4.68251348156830879E-04
1.47354847E-01 1.24911380718447332E-01 4.69477757856800310E-04 -6.01456483770408819E-04 4.68340983773857060E-04
1.54729392E-01 1.24907910987398132E-01 4.69573626456483895E-04 -6.79784088972286253E-04 4.68435918960573338E-04
1.62104709E-01 1.24904439800703232E-01 4.69674845681789302E-04 -7.62378449350691501E-04 4.68536156698796653E-04
1.69480821E-01 1.24900967107701849E-01 4.69781421921701577E-04 -8.49231299266618093E-04 4.68641703228593414E-04
1.76857790E-01 1.24897492839678451E-01 4.69893362481325102E-04 -9.40312848752684460E-04 4.68752565693337511E-04
1.84235679E-01 1.24894016927983798E-01 4.70010675096841366E-04 -1.03568394191393652E-03 4.68868751658967217E-04
1.91614547E-01 1.24890539303946085E-01 4.70133367934255295E-04 -1.13525631327755761E-03 4.68990269113156639E-04
1.98994457E-01 1.24887059898935907E-01 4.70261449588721642E-04 -1.23905870730408674E-03 4.69117126463936343E-04
2.06375469E-01 1.24883578644358020E-01 4.70394929083193256E-04 -1.34707611611717621E-03 4.69249332539010305E-04
2.13757644E-01 1.24880095471615327E-01 4.70533815867390116E-04 -1.45929882006036547E-03 4.69386896584296465E-04
2.21141042E-01 1.24876610312175784E-01 4.70678119816763318E-04 -1.57571689906389626E-03 4.69529828262899127E-04
2.28525722E-01 1.24873123097507283E-01 4.70827851231263588E-04 -1.69632012505321113E-03 4.69678137653973626E-04
2.35911746E-01 1.24869633759114071E-01 4.70983020834139820E-04 -1.82109795350007321E-03 4.69831835251281152E-04
2.43299171E-01 1.24866142228546709E-01 4.71143639770874067E-04 -1.95003952061579525E-03 4.69990931962262454E-04
2.50688057E-01 1.24862648437359322E-01 4.71309719607512084E-04 -2.08313363781114681E-03 4.70155439106218008E-04
2.58078419E-01 1.24859152337511173E-01 4.71481271315955807E-04 -2.22036798207651516E-03 4.70325367409194113E-04
2.65470046E-01 1.24855653988008936E-01 4.71658300662430462E-04 -2.36172544716921730E-03 4.70500722435946079E-04
2.72862998E-01 1.24852153319995912E-01 4.71840819813534613E-04 -2.50719332314239610E-03 4.70681516086109641E-04
