#  time, MeanKE MeanKEDR MeanP
0 1.24981176168718400E-01 4.68679415829478764E-04 3.58063961072883229E-18
7.36310778E-03 1.24977302098136109E-01 4.68667534327232339E-04 2.39947361291733250E-05
1.47275078E-02 1.24973709073554942E-01 4.68662000746281190E-04 3.22624650719837423E-05
2.20921335E-02 1.24970209550221575E-01 4.68662111650738357E-04 3.60421447343700762E-05
2.94570413E-02 1.24966740767433832E-01 4.68667631887006563E-04 3.55577955330721351E-05
3.68222922E-02 1.24963281758651276E-01 4.68678483471997125E-04 3.07366961117352627E-05
4.41879490E-02 1.24959825489335458E-01 4.68694641116276518E-04 2.16055870437204760E-05
5.15540748E-02 1.24956369568947262E-01 4.68716097389318929E-04 8.09774273750067939E-06
5.89206239E-02 1.24952913205880312E-01 4.68742850672639662E-04 -9.75308855168914381E-06
6.62874366E-02 1.24949456178136492E-01 4.68774900871399215E-04 -3.19461321509814577E-05
7.36545763E-02 1.24945998330926303E-01 4.68812249546061044E-04 -5.84811025036135798E-05
8.10221062E-02 1.24942539566761199E-01 4.68854898911878412E-04 -8.93546214328696121E-05
8.83900897E-02 1.24939079807242295E-01 4.68902851695133681E-04 -1.24562780349739001E-04
9.57585898E-02 1.24935618980324348E-01 4.68956111084932784E-04 -1.64101249349788504E-04
1.03127670E-01 1.24932157016074352E-01 4.69014680716719828E-04 -2.07965384334203167E-04
1.10497392E-01 1.24928693845259384E-01 4.69078564666364174E-04 -2.56150264107928634E-04
1.17867819E-01 1.24925229398876153E-01 4.69147767447746248E-04 -3.08650698287782138E-04
1.25239015E-01 1.24921763607994354E-01 4.69222294011505505E-04 -3.65461227156491618E-04
1.32611040E-01 1.24918296403712367E-01 4.69302149744090121E-04 -4.26576120800115696E-04
1.39983958E-01 1.24914827717130736E-01 4.69387340466934089E-04 -4.91989375936333030E-04
1.47357830E-01 1.24911357479360149E-01 4.69477872435669923E-04 -5.61694714027235835E-04
1.54732718E-01 1.24907885621512879E-01 4.69573752339247580E-04 -6.35685577868583913E-04
1.62108395E-01 1.24904412210679688E-01 4.69674983231807227E-04 -7.13953590314920020E-04
1.69484886E-01 1.24900937195001560E-01 4.69781571507382441E-04 -7.96489571663816813E-04
1.76862254E-01 1.24897460505323882E-01 4.69893524457062884E-04 -8.83285374441480030E-04
1.84240559E-01 1.24893982072497758E-01 4.70010849803498330E-04 -9.74311103546550406E-04
1.91619863E-01 1.24890501827371131E-01 4.70133555699969513E-04 -1.06962730938951560E-03
1.99000228E-01 1.24887019700799698E-01 4.70261650729327332E-04 -1.16914613172433525E-03
2.06381715E-01 1.24883535623640671E-01 4.70395143902965632E-04 -1.27289571429261704E-03
2.13764383E-01 1.24880049526757547E-01 4.70534044659728869E-04 -1.38086110400028900E-03
2.21148294E-01 1.24876561341021139E-01 4.70678362864815651E-04 -1.49303244695797501E-03
2.28533508E-01 1.24873070997310515E-01 4.70828108808580593E-04 -1.60939970390094715E-03
2.35920083E-01 1.24869578426511224E-01 4.70983293205380453E-04 -1.72995253006555036E-03
2.43308080E-01 1.24866083559527580E-01 4.71143927192343884E-04 -1.85468026357002457E-03
2.50697557E-01 1.24862586327271582E-01 4.71310022328086495E-04 -1.98357192333430002E-03
2.58088526E-01 1.24859086682688983E-01 4.71481589495109567E-04 -2.11661578434593160E-03
2.65480780E-01 1.24855584682704079E-01 4.71658634523706381E-04 -2.25379727052306758E-03
2.72874378E-01 1.24852080257776554E-01 4.71841169574113782E-04 -2.39510159860757818E-03
2.80269379E-01 1.24848573338396274E-01 4.72029207225770834E-04 -2.54051597277533308E-03
2.87665842E-01 1.24845063855060959E-01 4.72222760475910928E-04 -2.69002726745532503E-03
2.95063824E-01 1.24841551738288314E-01 4.72421842738114260E-04 -2.84362201353101926E-03
3.02463384E-01 1.24838036918607967E-01 4.72626467840869097E-04 -3.00128639531216075E-03
3.09864578E-01 1.24834519326563045E-01 4.72836650026036331E-04 -3.16300624415848022E-03
3.17267463E-01 1.24830998892715039E-01 4.73052403947351219E-04 -3.32876703398597663E-03
3.24672097E-01 1.24827475547644923E-01 4.73273744668807161E-04 -3.49855387731301277E-03
3.32078534E-01 1.24823949221948699E-01 4.73500687663101446E-04 -3.67235151583904934E-03
3.39486831E-01 1.24820419846247879E-01 4.73733248809959722E-04 -3.85014431889180771E-03
3.46897042E-01 1.24816887351183750E-01 4.73971444394481831E-04 -4.03191627455528560E-03
3.54309221E-01 1.24813351667422481E-01 4.74215291105418361E-04 -4.21765098369796410E-03
3.61723424E-01 1.24809812725651170E-01 4.74464806033470779E-04 -4.40733165546264554E-03
3.69139452E-01 1.24806270576276121E-01 4.74719997953382061E-04 -4.60093782303900006E-03
