#  time, MeanKE MeanKEDR MeanP MeanNuT MeanLesProduction
0 1.23799080025198585E-01 7.61830940022567506E-04 -1.46012263020141482E-17 3.22978622707635100E-04 2.97563278963345462E-04
5.89048623E-02 1.23733094036577632E-01 7.62012806121412740E-04 3.64408222197634560E-03 3.23625750117861617E-04 2.97828423058410171E-04
1.18430310E-01 1.23680729211277152E-01 7.63577422722689085E-04 3.59488438345077202E-03 3.25400031898938509E-04 2.99090187853652024E-04
1.78021129E-01 1.23632038248099305E-01 7.66334163566908958E-04 3.15235519600558277E-03 3.28020167649194325E-04 3.01193913604832087E-04
2.37702951E-01 1.23583465875250847E-01 7.70177215150235663E-04 2.54156157039521881E-03 3.31295776959089627E-04 3.04044525678921892E-04
2.97503989E-01 1.23533762364162303E-01 7.75038920597831611E-04 1.73574658145687205E-03 3.35061038675758393E-04 3.07575115936097401E-04
3.57452465E-01 1.23482459610635489E-01 7.80874955078185787E-04 7.40270815426607000E-04 3.39192204018830409E-04 3.11737871919772901E-04
4.17575559E-01 1.23429352898003802E-01 7.87668786621103698E-04 -4.36856849347769640E-04 3.43616059066101007E-04 3.16510548737051068E-04
4.77898868E-01 1.23374326929876321E-01 7.95421717821829686E-04 -1.78576085471324067E-03 3.48280358766164095E-04 3.21887242513955833E-04
5.38312068E-01 1.23317423003640278E-01 8.04134334127183030E-04 -3.29155422187429533E-03 3.53137196029961256E-04 3.27866614497283090E-04
5.98833693E-01 1.23258581880626897E-01 8.13832415864968340E-04 -4.93953372821571372E-03 3.58157491688958923E-04 3.34467621810573918E-04
6.59491981E-01 1.23197738366823129E-01 8.24549784047128378E-04 -6.71390151738268312E-03 3.63321254600278848E-04 3.41715827707588101E-04
7.20313296E-01 1.23134828896351356E-01 8.36325028302292326E-04 -8.59729595483129869E-03 3.68616003862781727E-04 3.49640673812262625E-04
7.81321867E-01 1.23069790871708301E-01 8.49200923239382122E-04 -1.05706883585244445E-02 3.74035473071951451E-04 3.58275037746092785E-04
8.42539567E-01 1.23002562717630465E-01 8.63223992070071260E-04 -1.26133448133036920E-02 3.79578337698534328E-04 3.67654951402466223E-04
9.03985722E-01 1.22933084188653979E-01 8.78443928005959098E-04 -1.47028189717506638E-02 3.85247257231516977E-04 3.77819191343193564E-04
9.65676968E-01 1.22861296758897856E-01 8.94912927628056278E-04 -1.68149829592481766E-02 3.91048280447488976E-04 3.88808794665383825E-04
1.02762715E+00 1.22787144013429356E-01 9.12685011687013764E-04 -1.89241046004230695E-02 3.96990501376028374E-04 4.00666573688575800E-04
1.08984728E+00 1.22710571983566719E-01 9.31815373800832744E-04 -2.10029780217606127E-02 4.03085645465924328E-04 4.13436666672653975E-04
1.15234554E+00 1.22631529372589185E-01 9.52359777297500623E-04 -2.30231130363450047E-02 4.09347041219783293E-04 4.27164140401298557E-04
1.21512737E+00 1.22549967620883785E-01 9.74373989467009036E-04 -2.49549865082723844E-02 4.15787642392786625E-04 4.41894628336041856E-04
1.27819554E+00 1.22465840767571985E-01 9.97913177468509518E-04 -2.67683562238328412E-02 4.22417853897576905E-04 4.57673921968674007E-04
1.34155043E+00 1.22379105077406167E-01 1.02303112806973557E-03 -2.84326346680728592E-02 4.29244724612994565E-04 4.74547370081065966E-04
1.40519021E+00 1.22289718409643741E-01 1.04977919528329651E-03 -2.99173163787276979E-02 4.36272762837743358E-04 4.92558981974864090E-04
1.46911113E+00 1.22197639315688250E-01 1.07820509866923472E-03 -3.11924486949357385E-02 4.43504832047039558E-04 5.11750349179488436E-04
1.53330793E+00 1.22102825874957119E-01 1.10835202330632253E-03 -3.22291326369678749E-02 4.50942139944612397E-04 5.32159828360715998E-04
1.59777421E+00 1.22005234293082507E-01 1.14025872740227720E-03 -3.30000382238471099E-02 4.58583864620299602E-04 5.53822683684252913E-04
1.66250281E+00 1.21904817265509904E-01 1.17396145800632693E-03 -3.34799160600679352E-02 4.66427418096492484E-04 5.76772983002392511E-04
1.72748638E+00 1.21801522047111255E-01 1.20949866826276960E-03 -3.36460781417152258E-02 4.74470273649646619E-04 6.01048238082504634E-04
1.79271774E+00 1.21695288045444688E-01 1.24692033270824799E-03 -3.34789948917426639E-02 4.82714711182819422E-04 6.26698586622172898E-04
1.85819048E+00 1.21586043484597270E-01 1.28630335449519159E-03 -3.29620636820963653E-02 4.91176490275988713E-04 6.53802018655354157E-04
1.92389936E+00 1.21473700270078977E-01 1.32776033940149333E-03 -3.20831780953599113E-02 4.99888115627267725E-04 6.82472942436866876E-04
1.98984085E+00 1.21358147020157237E-01 1.37140992087849485E-03 -3.08334723705361094E-02 5.08875027074483818E-04 7.12832289021372314E-04
2.05601354E+00 1.21239244009486755E-01 1.41734309509609522E-03 -2.92084671835360354E-02 5.18131567414105735E-04 7.44973570053504303E-04
2.12241855E+00 1.21116822610006294E-01 1.46564053121123845E-03 -2.72077366739334921E-02 5.27633181777201698E-04 7.78979806959305540E-04
2.18905991E+00 1.20990685335582812E-01 1.51639429934369773E-03 -2.48349572000080877E-02 5.37349903686868617E-04 8.14944824405177109E-04
2.25594488E+00 1.20860604356844994E-01 1.56971806866724301E-03 -2.20977776063674622E-02 5.47254797535970264E-04 8.52982999594306809E-04
2.32308419E+00 1.20726318328246610E-01 1.62575090597211962E-03 -1.90076106103446579E-02 5.57325523562347781E-04 8.93232609487269128E-04
2.39049228E+00 1.20587528126361268E-01 1.68465968814350314E-03 -1.55793605115296576E-02 5.67544039596813471E-04 9.35857786924449981E-04
2.45818740E+00 1.20443891891967442E-01 1.74664843291670309E-03 -1.18311013794842341E-02 5.77903274315482384E-04 9.81057387800683516E-04
