#  time, MeanKE MeanKEDR MeanP 
0 1.24981176168378685E-01 4.68679415828199297E-04 3.58063961071907322E-18
7.36310778E-03 1.24976973582543990E-01 4.68666301859538303E-04 6.23617049979103866E-05
1.47275167E-02 1.24973051443736480E-01 4.68659532363426142E-04 7.33454873980157154E-05
2.20921482E-02 1.24969222601255328E-01 4.68658405308246490E-04 7.26451621541889816E-05
2.94570547E-02 1.24965424415136750E-01 4.68662685937138910E-04 6.79287859487635133E-05
3.68222961E-02 1.24961635930255291E-01 4.68672296243651356E-04 5.90047783770668684E-05
4.41879350E-02 1.24957850092781722E-01 4.68687210794347818E-04 4.57219701036939952E-05
5.15540343E-02 1.24954064485900296E-01 4.68707421987574018E-04 2.81044867907105283E-05
5.89205461E-02 1.24950278297864717E-01 4.68732928042020589E-04 6.15017553594448566E-06
6.62873124E-02 1.24946491290809036E-01 4.68763728737773763E-04 -2.01379587315533688E-05
7.36543968E-02 1.24942703286373469E-01 4.68799825475013589E-04 -5.07557903202392698E-05
8.10218629E-02 1.24938914164641840E-01 4.68841220314049941E-04 -8.56985748398708045E-05
8.83897742E-02 1.24935123825700614E-01 4.68887915830547763E-04 -1.24961593158710529E-04
9.57581943E-02 1.24931332176786425E-01 4.68939915066561238E-04 -1.68540147178695320E-04
1.03127186E-01 1.24927539127969445E-01 4.68997221513509218E-04 -2.16429279379677837E-04
1.10496814E-01 1.24923744590678079E-01 4.69059839105769212E-04 -2.68623706395197876E-04
1.17867139E-01 1.24919948477164061E-01 4.69127772217710847E-04 -3.25117846401700502E-04
1.25238226E-01 1.24916150700297157E-01 4.69201025661943744E-04 -3.85905842717717358E-04
1.32610136E-01 1.24912351173455685E-01 4.69279604687897374E-04 -4.50981572031694566E-04
1.39982933E-01 1.24908549810481648E-01 4.69363514980652508E-04 -5.20338637456295178E-04
1.47356677E-01 1.24904746525624666E-01 4.69452762659735743E-04 -5.93970366091940163E-04
1.54731431E-01 1.24900941233512960E-01 4.69547354278101005E-04 -6.71869812607335548E-04
1.62106956E-01 1.24897134004407093E-01 4.69647292634871154E-04 -7.54026399562051828E-04
1.69483289E-01 1.24893324766212857E-01 4.69752584139957472E-04 -8.40431748477913970E-04
1.76860491E-01 1.24889513434165128E-01 4.69863235949743736E-04 -9.31056270110475312E-04
1.84238625E-01 1.24885699923788812E-01 4.69979255652012182E-04 -1.02595929870826744E-03
1.91617753E-01 1.24881884150879557E-01 4.70100651264681603E-04 -1.12505389309566382E-03
1.98997935E-01 1.24878066031486823E-01 4.70227431234564641E-04 -1.22836780257871937E-03
2.06379233E-01 1.24874245481886761E-01 4.70359604436120296E-04 -1.33588598546057835E-03
2.13761706E-01 1.24870422418577376E-01 4.70497180170240386E-04 -1.44759852903509722E-03
2.21145417E-01 1.24866596758258161E-01 4.70640168163060713E-04 -1.56349532483812995E-03
2.28530424E-01 1.24862768417816003E-01 4.70788578564815664E-04 -1.68356596008232629E-03
2.35916788E-01 1.24858937314317187E-01 4.70942421948657673E-04 -1.80779970835364821E-03
2.43304567E-01 1.24855103364988604E-01 4.71101709309501462E-04 -1.93618552601498525E-03
2.50693820E-01 1.24851266487210205E-01 4.71266452062846328E-04 -2.06871204822462211E-03
