#  time, MeanKE MeanKEDR MeanP MeanNuT MeanLesProduction
0 1.24699045417061311E-01 4.67622748076602565E-04 -1.14385921606686266E-17 5.73233284473671973E-05 5.31578589125790738E-05
2.94524311E-02 1.24677404548092563E-01 4.67583615865082658E-04 9.35582047480127050E-04 5.73643695156736560E-05 5.31733622214596076E-05
5.89828622E-02 1.24659979659651421E-01 4.67644762363932478E-04 9.24734686230820947E-04 5.74788558465350001E-05 5.32455137734730478E-05
8.85221650E-02 1.24643907876187274E-01 4.67795546918233429E-04 7.95902307132921117E-04 5.76518254820546877E-05 5.33662312482006729E-05
1.18073646E-01 1.24628215906484319E-01 4.68032511947818238E-04 6.10523115893787591E-04 5.78738213541918402E-05 5.35306344986703850E-05
1.47641039E-01 1.24612574732799977E-01 4.68354721282337441E-04 3.61211809864618952E-04 5.81336221573296635E-05 5.37341642433846711E-05
1.77228183E-01 1.24596870906502830E-01 4.68762152647684541E-04 4.80375632495093580E-05 5.84223440785729023E-05 5.39724437712644774E-05
2.06838908E-01 1.24581062953829633E-01 4.69255157958876196E-04 -3.28870087323225515E-04 5.87349027690876654E-05 5.42426659150535749E-05
2.36472412E-01 1.24565135910991914E-01 4.69834186281776816E-04 -7.68666537217924432E-04 5.90679605148937119E-05 5.45431475717163378E-05
2.66116669E-01 1.24549088949429163E-01 4.70499498875822958E-04 -1.27052401959432126E-03 5.94188757786964292E-05 5.48728714601777961E-05
2.95775606E-01 1.24532915447617160E-01 4.71251713582093485E-04 -1.83354997371162594E-03 5.97854533378707194E-05 5.52312467719499341E-05
3.25453082E-01 1.24516609706954245E-01 4.72091553178448961E-04 -2.45679480949203199E-03 6.01660453469204389E-05 5.56180994667661988E-05
3.55152871E-01 1.24500166341405344E-01 4.73019841517878688E-04 -3.13922215478766239E-03 6.05593229231774500E-05 5.60334311010377180E-05
3.84878650E-01 1.24483580072462491E-01 4.74037501005918299E-04 -3.87970081731305082E-03 6.09641416384683094E-05 5.64773131593795128E-05
4.14633986E-01 1.24466845662235870E-01 4.75145550418362261E-04 -4.67699970304816942E-03 6.13795592439636073E-05 5.69499340860949509E-05
4.44422327E-01 1.24449957891895696E-01 4.76345102711607320E-04 -5.52978220091445132E-03 6.18048303575527159E-05 5.74516173830249009E-05
4.74246987E-01 1.24432911555110881E-01 4.77637362711329119E-04 -6.43660017346135965E-03 6.22393764886379524E-05 5.79828057341690904E-05
5.04111137E-01 1.24415701457008240E-01 4.79023624643703269E-04 -7.39588764651595218E-03 6.26827563869733262E-05 5.85440382963007489E-05
5.34017795E-01 1.24398322415584364E-01 4.80505269497522329E-04 -8.40595427459764170E-03 6.31346535476327961E-05 5.91359376127793910E-05
5.63969817E-01 1.24380769264318639E-01 4.82083762212416622E-04 -9.46497865680125117E-03 6.35948757830600604E-05 5.97592074065040824E-05
5.93969891E-01 1.24363036855312400E-01 4.83760648690637193E-04 -1.05710015822909256E-02 6.40633314285084709E-05 6.04146288392253016E-05
6.24020523E-01 1.24345120062770528E-01 4.85537552631914104E-04 -1.17219192924638057E-02 6.45399520207511052E-05 6.11030518534573064E-05
6.54124037E-01 1.24327013786912188E-01 4.87416172191173331E-04 -1.29154768594342238E-02 6.50245965543378221E-05 6.18253867840641124E-05
6.84282567E-01 1.24308712958385234E-01 4.89398276456289873E-04 -1.41492617871922209E-02 6.55170369269668314E-05 6.25826000065298578E-05
7.14489574E-01 1.24290217700758848E-01 4.91485101807524706E-04 -1.54203444973905444E-02 6.60168943133130064E-05 6.33754856138776779E-05
7.44742662E-01 1.24271525677596070E-01 4.93678153865577071E-04 -1.67257685129650370E-02 6.65239205139708204E-05 6.42049739587628802E-05
7.75044144E-01 1.24252631655144635E-01 4.95979319352154654E-04 -1.80626119369736785E-02 6.70380367166073385E-05 6.50721710687492708E-05
8.05396133E-01 1.24233530449942273E-01 4.98390547775722707E-04 -1.94277904480092099E-02 6.75592478675352752E-05 6.59782364026885736E-05
8.35800539E-01 1.24214216924551091E-01 5.00913847071518255E-04 -2.08180485621837115E-02 6.80876299701526364E-05 6.69243805464635069E-05
8.66259062E-01 1.24194685989217943E-01 5.03551279056864182E-04 -2.22299566178060133E-02 6.86233190487822226E-05 6.79118628323010305E-05
8.96773194E-01 1.24174932605488494E-01 5.06304954697049127E-04 -2.36599088590662733E-02 6.91665015456552351E-05 6.89419890259583426E-05
9.27344210E-01 1.24154951790263812E-01 5.09177029181016416E-04 -2.51041227285179330E-02 6.97174031880980173E-05 7.00161090902726244E-05
9.57973174E-01 1.24134738619767357E-01 5.12169696808486598E-04 -2.65586395197744685E-02 7.02762737378118395E-05 7.11356149798783035E-05
9.88660935E-01 1.24114288233197700E-01 5.15285185691545674E-04 -2.80193265493994224E-02 7.08433682775678103E-05 7.23019384048703413E-05
1.01940813E+00 1.24093595835943135E-01 5.18525752275065307E-04 -2.94818809976234719E-02 7.14189305394761484E-05 7.35165484985042577E-05
1.05021517E+00 1.24072656702277254E-01 5.21893675682129441E-04 -3.09418355612626934E-02 7.20031855225978352E-05 7.47809493398118662E-05
1.08108228E+00 1.24051466177425809E-01 5.25391251893237115E-04 -3.23945660318014916E-02 7.25963437062603057E-05 7.60966773211065343E-05
1.11200945E+00 1.24030019678865636E-01 5.29020787771894321E-04 -3.38353008887364165E-02 7.31986117795734384E-05 7.74652983957603623E-05
