#  time, MeanKE MeanKEDR MeanP MeanNuT MeanLesProduction
0 1.24924716013033330E-01 4.68467768164619505E-04 -5.53602782891480650E-18 5.73241610719319919E-05 5.32501107546013114E-05
1.47262156E-02 1.24915480605281029E-01 4.68443702253398689E-04 2.36966121797322412E-04 5.73389767429197524E-05 5.32543657211902453E-05
2.94624006E-02 1.24907352606004496E-01 4.68444947926959464E-04 2.49956287439412567E-04 5.73787079681548022E-05 5.32756810650866726E-05
4.41999243E-02 1.24899590414364797E-01 4.68468727265013011E-04 2.26523695637374865E-04 5.74388428965597544E-05 5.33117866707735446E-05
5.89392057E-02 1.24891944695612517E-01 4.68514114514256646E-04 1.87489919685856381E-04 5.75169555231270623E-05 5.33614496946472692E-05
7.36807217E-02 1.24884331762152162E-01 4.68580812009491293E-04 1.31690666666766585E-04 5.76092585460864738E-05 5.34233303187560038E-05
8.84249676E-02 1.24876723210591178E-01 4.68668736393482047E-04 5.87991257692721439E-05 5.77127286485066632E-05 5.34959616229200682E-05
1.03172443E-01 1.24869109086656160E-01 4.68777880453489604E-04 -3.11499969809847507E-05 5.78256782063952824E-05 5.35783477098872510E-05
1.17922821E-01 1.24861486026167506E-01 4.68908259111964609E-04 -1.38122765738950780E-04 5.79470761664032077E-05 5.36698617398684522E-05
1.32674791E-01 1.24853853237277351E-01 4.69059886364635845E-04 -2.62061804622645215E-04 5.80761699948341046E-05 5.37700911759118609E-05
1.47428858E-01 1.24846209684044016E-01 4.69232797873418846E-04 -4.02911859589199020E-04 5.82123498548364236E-05 5.38787534634428908E-05
1.62185524E-01 1.24838554565856269E-01 4.69427037079393609E-04 -5.60612921510842939E-04 5.83550892390430210E-05 5.39956404746134020E-05
1.76945291E-01 1.24830887163632234E-01 4.69642654599247841E-04 -7.35100495292709440E-04 5.85038920635009814E-05 5.41205547349440735E-05
1.91708655E-01 1.24823206788402849E-01 4.69879708002036317E-04 -9.26305456167191140E-04 5.86583394213281611E-05 5.42533443457799214E-05
2.06476109E-01 1.24815512763643721E-01 4.70138261709115686E-04 -1.13415401043134791E-03 5.88180526020395098E-05 5.43938666359861721E-05
2.21248142E-01 1.24807804419274249E-01 4.70418386934857481E-04 -1.35856759504436901E-03 5.89826969958268503E-05 5.45419968114623370E-05
2.36025239E-01 1.24800081089502260E-01 4.70720161638910365E-04 -1.59946275936728157E-03 5.91519926060653589E-05 5.46976434636670759E-05
2.50807876E-01 1.24792342111759741E-01 4.71043670479938750E-04 -1.85675102472707652E-03 5.93256969883026769E-05 5.48607350035986877E-05
2.65596528E-01 1.24784586826176006E-01 4.71389004769164999E-04 -2.13033874115988375E-03 5.95035948368039140E-05 5.50312099408486297E-05
2.80391660E-01 1.24776814575313130E-01 4.71756262422915525E-04 -2.42012693185673835E-03 5.96855013783491862E-05 5.52090200541766551E-05
2.95193733E-01 1.24769024703952972E-01 4.72145547913712705E-04 -2.72601112971288711E-03 5.98712583969487590E-05 5.53941323249711829E-05
3.10003197E-01 1.24761216558892885E-01 4.72556972219930762E-04 -3.04788120403357617E-03 6.00607147789871288E-05 5.55865287574114442E-05
3.24819160E-01 1.24753390195657191E-01 4.72990612586001141E-04 -3.38559040564451706E-03 6.02536846925597909E-05 5.57861848254552785E-05
3.39640990E-01 1.24745545533692243E-01 4.73446553148351593E-04 -3.73898646352192974E-03 6.04499708765045542E-05 5.59930873394122908E-05
3.54469147E-01 1.24737681915894905E-01 4.73924914208981871E-04 -4.10793407917601962E-03 6.06493996183872584E-05 5.62072478695922821E-05
3.69304083E-01 1.24729798686619445E-01 4.74425822480562659E-04 -4.49229217168995842E-03 6.08518171592903180E-05 5.64286860860425545E-05
3.84146242E-01 1.24721895191392040E-01 4.74949411026147480E-04 -4.89191344804778064E-03 6.10570892545242444E-05 5.66574283399758508E-05
3.98996061E-01 1.24713970776786823E-01 4.75495819197472810E-04 -5.30664410824812065E-03 6.12650999658408119E-05 5.68935092465586444E-05
4.13853968E-01 1.24706024790319989E-01 4.76065192571805903E-04 -5.73632363361710300E-03 6.14757496303094090E-05 5.71369722526131519E-05
4.28720381E-01 1.24698056580354849E-01 4.76657682887248607E-04 -6.18078457019121709E-03 6.16889518859969010E-05 5.73878681980836343E-05
