#  time, MeanKE MeanKEDR MeanP
0 1.24699045417061311E-01 5.20780606989176462E-04 -1.14385921606686266E-17
2.94524311E-02 1.24677404548092563E-01 5.20756978086542137E-04 9.35582047480423579E-04
5.89828622E-02 1.24659979659651421E-01 5.20890276137405349E-04 9.24734686228006033E-04
8.85221650E-02 1.24643907876187274E-01 5.21161778166433763E-04 7.95902307137604436E-04
1.18073646E-01 1.24628215906484319E-01 5.21563146446488244E-04 6.10523115891981960E-04
1.47641039E-01 1.24612574732799963E-01 5.22088885525721306E-04 3.61211809863518215E-04
1.77228183E-01 1.24596870906502830E-01 5.22734596418948910E-04 4.80375632512768718E-05
2.06838908E-01 1.24581062953829494E-01 5.23497823873929086E-04 -3.28870087323609864E-04
2.36472412E-01 1.24565135910991789E-01 5.24377333853493486E-04 -7.68666537218124033E-04
2.66116669E-01 1.24549088949428968E-01 5.25372370335999901E-04 -1.27052401959421675E-03
2.95775606E-01 1.24532915447616993E-01 5.26482960354043134E-04 -1.83354997370970669E-03
3.25453082E-01 1.24516609706954162E-01 5.27709652645215010E-04 -2.45679480949817682E-03
3.55152871E-01 1.24500166341405302E-01 5.29053272618916080E-04 -3.13922215475949612E-03
3.84878650E-01 1.24483580072462435E-01 5.30514814165296972E-04 -3.87970081734329269E-03
4.14633986E-01 1.24466845662235648E-01 5.32095484504456094E-04 -4.67699970304392889E-03
4.44422327E-01 1.24449957891895446E-01 5.33796720094631611E-04 -5.52978220090615674E-03
4.74246987E-01 1.24432911555110576E-01 5.35620168445497240E-04 -6.43660017345888680E-03
5.04111137E-01 1.24415701457007907E-01 5.37567662940002127E-04 -7.39588764652206101E-03
5.34017795E-01 1.24398322415584101E-01 5.39641207110300798E-04 -8.40595427458625498E-03
5.63969817E-01 1.24380769264318444E-01 5.41842969618919722E-04 -9.46497865682459708E-03
5.93969891E-01 1.24363036855312109E-01 5.44175277529861221E-04 -1.05710015822667348E-02
6.24020523E-01 1.24345120062770237E-01 5.46640604485369567E-04 -1.17219192924721827E-02
