#  time, MeanKE MeanKEDR MeanP MeanNuT MeanLesProduction
0 1.24699045417004245E-01 4.67622748076392068E-04 -1.16783768910644872E-17 5.73233284473414069E-05 5.31578589125553230E-05
2.94524311E-02 1.24677404548036733E-01 4.67583615864872540E-04 9.35582047479923654E-04 5.73643695156479468E-05 5.31733622214357958E-05
5.89828622E-02 1.24659979659595618E-01 4.67644762363722522E-04 9.24734686228744808E-04 5.74788558465092774E-05 5.32455137734491751E-05
8.85221650E-02 1.24643907876131319E-01 4.67795546918023906E-04 7.95902307135400795E-04 5.76518254820289244E-05 5.33662312481767730E-05
1.18073646E-01 1.24628215906428461E-01 4.68032511947608012E-04 6.10523115894056039E-04 5.78738213541659006E-05 5.35306344986464648E-05
1.47641039E-01 1.24612574732744147E-01 4.68354721282126672E-04 3.61211809863830411E-04 5.81336221573036630E-05 5.37341642433606899E-05
1.77228183E-01 1.24596870906446985E-01 4.68762152647474748E-04 4.80375632473960989E-05 5.84223440785466578E-05 5.39724437712403132E-05
2.06838908E-01 1.24581062953773636E-01 4.69255157958665319E-04 -3.28870087324084853E-04 5.87349027690612719E-05 5.42426659150292345E-05
2.36472412E-01 1.24565135910936153E-01 4.69834186281566589E-04 -7.68666537212227274E-04 5.90679605148671828E-05 5.45431475716917738E-05
2.66116669E-01 1.24549088949373055E-01 4.70499498875610943E-04 -1.27052401960123218E-03 5.94188757786697511E-05 5.48728714601530966E-05
2.95775606E-01 1.24532915447561024E-01 4.71251713581882119E-04 -1.83354997370218059E-03 5.97854533378437838E-05 5.52312467719251669E-05
3.25453082E-01 1.24516609706898387E-01 4.72091553178237324E-04 -2.45679480949893489E-03 6.01660453468935710E-05 5.56180994667411808E-05
3.55152871E-01 1.24500166341349514E-01 4.73019841517666293E-04 -3.13922215475686325E-03 6.05593229231503314E-05 5.60334311010125509E-05
3.84878650E-01 1.24483580072406827E-01 4.74037501005705145E-04 -3.87970081733133567E-03 6.09641416384409672E-05 5.64773131593541763E-05
4.14633986E-01 1.24466845662179887E-01 4.75145550418148510E-04 -4.67699970304122185E-03 6.13795592439360550E-05 5.69499340860692282E-05
4.44422327E-01 1.24449957891839297E-01 4.76345102711392648E-04 -5.52978220091049095E-03 6.18048303575249739E-05 5.74516173829989004E-05
4.74246987E-01 1.24432911555054565E-01 4.77637362711113417E-04 -6.43660017347049990E-03 6.22393764886100071E-05 5.79828057341428933E-05
5.04111137E-01 1.24415701456952188E-01 4.79023624643486320E-04 -7.39588764650609201E-03 6.26827563869451369E-05 5.85440382962743215E-05
5.34017795E-01 1.24398322415528478E-01 4.80505269497305814E-04 -8.40595427458388188E-03 6.31346535476044849E-05 5.91359376127526722E-05
5.63969817E-01 1.24380769264262531E-01 4.82083762212199781E-04 -9.46497865682235581E-03 6.35948757830315188E-05 5.97592074064771603E-05
5.93969891E-01 1.24363036855256320E-01 4.83760648690419485E-04 -1.05710015822727994E-02 6.40633314284798209E-05 6.04146288391979729E-05
6.24020523E-01 1.24345120062714518E-01 4.85537552631695312E-04 -1.17219192924575902E-02 6.45399520207220215E-05 6.11030518534297812E-05
6.54124037E-01 1.24327013786856316E-01 4.87416172190954539E-04 -1.29154768594256456E-02 6.50245965543086029E-05 6.18253867840363569E-05
6.84282567E-01 1.24308712958329542E-01 4.89398276456070648E-04 -1.41492617871829332E-02 6.55170369269374902E-05 6.25826000065018447E-05
