#  time, MeanKE MeanKEDR MeanP MeanNuT MeanLesProduction
0 1.23799080025204067E-01 4.64267661059243077E-04 -1.51224789980457778E-17 3.22978622707648653E-04 2.97563278963358473E-04
5.89048623E-02 1.23733094036582961E-01 4.64184383063022572E-04 3.64408222197681745E-03 3.23625750117875711E-04 2.97828423058422965E-04
1.18430310E-01 1.23680729211282495E-01 4.64487234869057227E-04 3.59488438344913270E-03 3.25400031898952658E-04 2.99090187853665035E-04
1.78021129E-01 1.23632038248104592E-01 4.65140249962097091E-04 3.15235519600542101E-03 3.28020167649208528E-04 3.01193913604845315E-04
2.37702951E-01 1.23583465875256190E-01 4.66132689471333882E-04 2.54156157039641447E-03 3.31295776959103993E-04 3.04044525678934848E-04
2.97503989E-01 1.23533762364167674E-01 4.67463804661754647E-04 1.73574658145501568E-03 3.35061038675773246E-04 3.07575115936111008E-04
3.57452465E-01 1.23482459610640888E-01 4.69137083158433215E-04 7.40270815426895290E-04 3.39192204018845262E-04 3.11737871919786562E-04
4.17575559E-01 1.23429352898009118E-01 4.71158237884072959E-04 -4.36856849347524285E-04 3.43616059066115698E-04 3.16510548737064621E-04
4.77898868E-01 1.23374326929881581E-01 4.73534475307894236E-04 -1.78576085471043975E-03 3.48280358766179219E-04 3.21887242513969169E-04
5.38312068E-01 1.23317423003645510E-01 4.76267719629919943E-04 -3.29155422187259487E-03 3.53137196029976435E-04 3.27866614497296642E-04
5.98833693E-01 1.23258581880631837E-01 4.79364794054413991E-04 -4.93953372821859856E-03 3.58157491688974102E-04 3.34467621810587308E-04
6.59491981E-01 1.23197738366828069E-01 4.82833956339559901E-04 -6.71390151738438315E-03 3.63321254600294243E-04 3.41715827707601545E-04
7.20313296E-01 1.23134828896356269E-01 4.86684354490049380E-04 -8.59729595482236833E-03 3.68616003862797068E-04 3.49640673812276232E-04
7.81321867E-01 1.23069790871713255E-01 4.90925885493309231E-04 -1.05706883585296139E-02 3.74035473071967063E-04 3.58275037746106446E-04
8.42539567E-01 1.23002562717635447E-01 4.95569040667624932E-04 -1.26133448133057754E-02 3.79578337698550483E-04 3.67654951402480589E-04
9.03985722E-01 1.22933084188659128E-01 5.00624736662786296E-04 -1.47028189717464310E-02 3.85247257231533294E-04 3.77819191343208797E-04
