#  time, MeanKE MeanKEDR MeanP
0 1.24981176165412808E-01 4.70345677587308416E-04 -5.50482138072360219E-18
7.36310778E-03 1.24977292559868142E-01 4.70333768135870961E-04 6.16480730241239418E-05
1.47275080E-02 1.24973689742637964E-01 4.70328367954735854E-04 7.22482742191946911E-05
2.20921221E-02 1.24970180374499529E-01 4.70328754917833053E-04 7.12429556514624306E-05
2.94570023E-02 1.24966701794033686E-01 4.70334684771408454E-04 6.62739348077720237E-05
3.68222084E-02 1.24963233063589294E-01 4.70346065992954983E-04 5.70365114801442703E-05
4.41878026E-02 1.24959767157057394E-01 4.70362857656949685E-04 4.34401284851613302E-05
5.15538477E-02 1.24956301685913984E-01 4.70385042044583882E-04 2.55058098980047848E-05
5.89202984E-02 1.24952835858665540E-01 4.70412611293816478E-04 3.23306304948670398E-06
6.62869947E-02 1.24949369453305134E-01 4.70445561498988689E-04 -2.33781026841119954E-05
7.36539998E-02 1.24945902314515703E-01 4.70483891710607211E-04 -5.43245937530414271E-05
8.10213771E-02 1.24942434344310363E-01 4.70527601962344706E-04 -8.96026565624978783E-05
8.83891897E-02 1.24938965463807422E-01 4.70576692826195017E-04 -1.29208088186499620E-04
9.57575007E-02 1.24935495600544594E-01 4.70631165442046023E-04 -1.73136359719066766E-04
1.03126373E-01 1.24932024684215312E-01 4.70691021583617729E-04 -2.21382660546523541E-04
1.10495870E-01 1.24928552645252253E-01 4.70756263727360985E-04 -2.73941909319881313E-04
1.17866053E-01 1.24925079414354392E-01 4.70826894918194327E-04 -3.30808756017305001E-04
1.25236986E-01 1.24921604922328372E-01 4.70902918849910152E-04 -3.91977579942107200E-04
1.32608731E-01 1.24918129100048819E-01 4.70984339710828399E-04 -4.57442487372922851E-04
1.39981350E-01 1.24914651878443986E-01 4.71071162238035821E-04 -5.27197309733566134E-04
1.47354904E-01 1.24911173188452476E-01 4.71163391717641859E-04 -6.01235599594501856E-04
1.54729456E-01 1.24907692961086600E-01 4.71261033919462670E-04 -6.79550628980421577E-04
1.62104779E-01 1.24904211263015708E-01 4.71364091001557684E-04 -7.62132134555593989E-04
1.69480898E-01 1.24900728042883019E-01 4.71472568576331702E-04 -8.48971845559878856E-04
1.76857875E-01 1.24897243231511343E-01 4.71586473246142274E-04 -9.40039979299937627E-04
1.84235771E-01 1.24893756759704391E-01 4.71705812098044245E-04 -1.03539735443887058E-03
1.91614647E-01 1.24890268558344578E-01 4.71830592694034924E-04 -1.13495569777509876E-03
1.98994566E-01 1.24886778558298217E-01 4.71960823082675151E-04 -1.23874374306842823E-03
2.06375587E-01 1.24883286690493187E-01 4.72096511788540015E-04 -1.34674648240485240E-03
2.13757771E-01 1.24879792885881719E-01 4.72237667818549076E-04 -1.45895418765736203E-03
2.21141179E-01 1.24876297075445786E-01 4.72384300641144205E-04 -1.57535693248465414E-03
2.28525870E-01 1.24872799190200265E-01 4.72536420192819033E-04 -1.69594448195136641E-03
2.35911904E-01 1.24869299161202152E-01 4.72694036871307017E-04 -1.82070628519105725E-03
2.43299340E-01 1.24865796919539015E-01 4.72857161522981706E-04 -1.94963147146860229E-03
2.50688237E-01 1.24862292396337476E-01 4.73025805452018144E-04 -2.08270884591634821E-03
2.58078611E-01 1.24858785543407513E-01 4.73199979376771516E-04 -2.21992607058581421E-03
2.65470250E-01 1.24855276419458414E-01 4.73379688776444092E-04 -2.36126604164145666E-03
2.72863214E-01 1.24851764955232813E-01 4.73564945638472578E-04 -2.50671604429365986E-03
2.80257562E-01 1.24848251081501369E-01 4.73755762400562841E-04 -2.65626304476189413E-03
2.87653353E-01 1.24844734729067708E-01 4.73952151947285353E-04 -2.80989368271578315E-03
2.95050643E-01 1.24841215828790486E-01 4.74154127602201226E-04 -2.96759425045146344E-03
3.02449492E-01 1.24837694311553102E-01 4.74361703124117219E-04 -3.12935068894058593E-03
3.09849956E-01 1.24834170108283182E-01 4.74574892707153710E-04 -3.29514858242766114E-03
3.17252092E-01 1.24830643149908480E-01 4.74793710980694395E-04 -3.46497315164216507E-03
3.24655956E-01 1.24827113367454917E-01 4.75018173007047122E-04 -3.63880924900205271E-03
3.32061605E-01 1.24823580691946129E-01 4.75248294276830118E-04 -3.81664135289663895E-03
3.39469093E-01 1.24820045054484019E-01 4.75484090704711025E-04 -3.99845356122533954E-03
3.46878477E-01 1.24816506386173559E-01 4.75725578627456634E-04 -4.18422958485848567E-03
3.54289809E-01 1.24812964618166183E-01 4.75972774802888693E-04 -4.37395274255584186E-03
3.61703144E-01 1.24809419681705017E-01 4.76225696408573808E-04 -4.56760595260685080E-03
3.69118290E-01 1.24805871625346065E-01 4.76484352392701662E-04 -4.76516516141321182E-03
3.76535255E-01 1.24802320402410710E-01 4.76748758562013371E-04 -4.96661082721776281E-03
3.83954093E-01 1.24798765943508513E-01 4.77018932742230030E-04 -5.17192423231167472E-03
3.91374858E-01 1.24795208179350831E-01 4.77294893173267132E-04 -5.38108625261867098E-03
3.98797603E-01 1.24791647040652931E-01 4.77576658505830874E-04 -5.59407734599363677E-03
4.06222381E-01 1.24788082458177130E-01 4.77864247799222376E-04 -5.81087753992585911E-03
4.13649244E-01 1.24784514362755353E-01 4.78157680519176868E-04 -6.03146642654944949E-03
4.21078244E-01 1.24780942685251639E-01 4.78456976535763156E-04 -6.25582315501925501E-03
4.28509432E-01 1.24777367356572397E-01 4.78762156121631988E-04 -6.48392642395748640E-03
4.35942858E-01 1.24773788307658964E-01 4.79073239949925163E-04 -6.71575447364507368E-03
4.43378573E-01 1.24770205469526219E-01 4.79390249091551750E-04 -6.95128508133328969E-03
