#  time, MeanKE MeanKEDR MeanP
0 1.24981176165412808E-01 4.68679415817068389E-04 -5.50482138072360219E-18
7.36310778E-03 1.24976081621062218E-01 6.33556581268267531E-04 6.40155956852791146E-05
1.47275461E-02 1.24971269185490147E-01 6.33539370275173824E-04 8.31651645019898235E-05
2.20922361E-02 1.24966550697482609E-01 6.33530722575735669E-04 8.76383543569446156E-05
2.94572300E-02 1.24961863148617069E-01 6.33530168827428587E-04 8.81955742428230434E-05
3.68225874E-02 1.24957185466237228E-01 6.33537554555412431E-04 8.44810438104331117E-05
4.41883707E-02 1.24952510560124158E-01 6.33552831292402761E-04 7.64109024526788382E-05
5.15546426E-02 1.24947836001244622E-01 6.33575986763902838E-04 6.40080596049648587E-05
5.89213580E-02 1.24943160983198839E-01 6.33607021119916044E-04 4.72626181545770141E-05
6.62883567E-02 1.24938485290833193E-01 6.33645938538992788E-04 2.61854458998616822E-05
7.36557019E-02 1.24933808739593213E-01 6.33692746113460556E-04 7.79622309098332744E-07
8.10234570E-02 1.24929131202410476E-01 6.33747452607873315E-04 -2.89511633105133545E-05
8.83916852E-02 1.24924452571365710E-01 6.33810068084763689E-04 -6.30023462661602804E-05
9.57604497E-02 1.24919772744927396E-01 6.33880603789655395E-04 -1.01368852828087117E-04
1.03129813E-01 1.24915091623655189E-01 6.33959072100364219E-04 -1.44045260937805875E-04
1.10499839E-01 1.24910409108779014E-01 6.34045486500454361E-04 -1.91025855827507950E-04
1.17870590E-01 1.24905725101756196E-01 6.34139861560286690E-04 -2.42304646689576309E-04
1.25242128E-01 1.24901039504072359E-01 6.34242212920988814E-04 -2.97875369303825656E-04
1.32614515E-01 1.24896352217206907E-01 6.34352557281361602E-04 -3.57731484900816949E-04
1.39987815E-01 1.24891663142620707E-01 6.34470912384394858E-04 -4.21866179236988332E-04
1.47362088E-01 1.24886972181717348E-01 6.34597297005290786E-04 -4.90272358430333412E-04
1.54737398E-01 1.24882279235871280E-01 6.34731730940089195E-04 -5.62942647308549730E-04
1.62113516E-01 1.24877584390379021E-01 6.34874229863962507E-04 -6.39866441581089405E-04
1.69490468E-01 1.24872887569798821E-01 6.35024813425715223E-04 -7.21034796082305066E-04
