#  time, MeanKE MeanKEDR MeanP
0 1.24924716013033330E-01 4.68467768164619505E-04 -5.53602782891480650E-18
1.47262156E-02 1.24913703513953298E-01 6.33234858383459028E-04 2.39567854088675643E-04
2.94625149E-02 1.24903800129717926E-01 6.33220170769453142E-04 2.68641691438232968E-04
4.42002660E-02 1.24894263612611606E-01 6.33239671839781683E-04 2.55329740080551633E-04
5.89398871E-02 1.24884844137536533E-01 6.33291530789336222E-04 2.26556966502412896E-04
7.36818546E-02 1.24875457852927890E-01 6.33375177832889405E-04 1.80805440045475564E-04
8.84266624E-02 1.24866076282932836E-01 6.33490477527408791E-04 1.18136187985853685E-04
1.03174810E-01 1.24856689413163940E-01 6.33637451341398871E-04 3.83552888100091057E-05
1.17925981E-01 1.24847293901629783E-01 6.33816175071179821E-04 -5.84333242911203932E-05
1.32678858E-01 1.24837889099868912E-01 6.34026735891475243E-04 -1.72177972095544606E-04
1.47433942E-01 1.24828473880142884E-01 6.34269255264121277E-04 -3.02820736418483246E-04
1.62191736E-01 1.24819047341408224E-01 6.34543874680348332E-04 -4.50298681099380743E-04
1.76952739E-01 1.24809608657319243E-01 6.34850752255724030E-04 -6.14544274363792282E-04
1.91717446E-01 1.24800157025539080E-01 6.35190061989071206E-04 -7.95485264488614459E-04
2.06486350E-01 1.24790691650860971E-01 6.35561993298864258E-04 -9.93044637483869947E-04
2.21259937E-01 1.24781211739550424E-01 6.35966750661911607E-04 -1.20714052665837641E-03
2.36038690E-01 1.24771716497468044E-01 6.36404553293894561E-04 -1.43768609969292045E-03
2.50823088E-01 1.24762205129438739E-01 6.36875634849848760E-04 -1.68458943129717702E-03
2.65613603E-01 1.24752676839019846E-01 6.37380243136426898E-04 -1.94775336493839438E-03
2.80410700E-01 1.24743130828445320E-01 6.37918639832076007E-04 -2.22707536512709676E-03
2.95214841E-01 1.24733566298579970E-01 6.38491100213967803E-04 -2.52244735993056466E-03
3.10026478E-01 1.24723982448920481E-01 6.39097912890009066E-04 -2.83375557472802806E-03
3.24844761E-01 1.24714379317801188E-01 6.39739328283537570E-04 -3.16085179209366855E-03
3.39669016E-01 1.24704756829938881E-01 6.40415599764733944E-04 -3.50357997428107698E-03
3.54499701E-01 1.24695114169630847E-01 6.41127033314093145E-04 -3.86180082307453635E-03
3.69337269E-01 1.24685450519427130E-01 6.41873952468113873E-04 -4.23536942891090430E-03
3.84182165E-01 1.24675765060097643E-01 6.42656692766188620E-04 -4.62413469183503307E-03
