#  time, MeanKE MeanKEDR MeanP
0 1.23799080025198585E-01 4.64267661059222477E-04 -1.46012263020141482E-17
5.89048623E-02 1.23737880537068287E-01 6.89792686138159688E-04 3.63448108619577031E-03
1.18428117E-01 1.23690366670665047E-01 6.90216787061669859E-04 3.59989935036268390E-03
1.78014522E-01 1.23646578249709885E-01 6.91241345058101766E-04 3.16531265979555065E-03
2.37689691E-01 1.23602989832649224E-01 6.92845266849177722E-04 2.55951085905314728E-03
2.97481814E-01 1.23558378687416703E-01 6.95032207423837596E-04 1.75812140886150679E-03
3.57419086E-01 1.23512300233129244E-01 6.97816594502632644E-04 7.65174878734869893E-04
4.17528652E-01 1.23464570043772134E-01 7.01218561344759826E-04 -4.11451850743906598E-04
4.77836071E-01 1.23415090821659051E-01 7.05261998168618827E-04 -1.76214458080532787E-03
5.38231410E-01 1.23363907456054162E-01 7.09964009966182062E-04 -3.27223499024377950E-03
5.98732997E-01 1.23310975443805274E-01 7.15347742093594115E-04 -4.92723673370405995E-03
6.59369013E-01 1.23256245355058081E-01 7.21439772071706198E-04 -6.71154046910315237E-03
7.20165746E-01 1.23199670038703649E-01 7.28268198576933015E-04 -8.60796067122955068E-03
7.81147331E-01 1.23141204264258355E-01 7.35862089175453368E-04 -1.05976329720316158E-02
8.42335543E-01 1.23080805001303459E-01 7.44251030260065856E-04 -1.26599742661242312E-02
9.03749606E-01 1.23018431921354712E-01 7.53464665087351317E-04 -1.47726721946281284E-02
9.65406060E-01 1.22954047960148222E-01 7.63532223264383469E-04 -1.69117112683514412E-02
1.02731866E+00 1.22887619861261913E-01 7.74482050727783684E-04 -1.90514440711924034E-02
1.08949835E+00 1.22819118646443931E-01 7.86341154497614543E-04 -2.11647148621507027E-02
1.15195323E+00 1.22748519964329450E-01 7.99134781220994642E-04 -2.32230413397136008E-02
1.21468869E+00 1.22675804271365874E-01 8.12886051498441222E-04 -2.51968582013732990E-02
1.27770746E+00 1.22600956801636227E-01 8.27615671651308867E-04 -2.70558234457590058E-02
1.34100985E+00 1.22523967286483099E-01 8.43341742456240424E-04 -2.87691852040365056E-02
1.40459396E+00 1.22444829389161874E-01 8.60079685844668631E-04 -3.03062033594123127E-02
1.46845599E+00 1.22363539825687179E-01 8.77842316118900359E-04 -3.16366165855009804E-02
1.53259057E+00 1.22280097154232187E-01 8.96640083303907481E-04 -3.27311421023527907E-02
1.59699117E+00 1.22194500230945621E-01 9.16481508577715121E-04 -3.35619926258054618E-02
1.66165050E+00 1.22106746345772565E-01 9.37373820477911874E-04 -3.41033926293536280E-02
1.72656098E+00 1.22016829065622542E-01 9.59323789672741792E-04 -3.43320710907257520E-02
1.79171523E+00 1.21924735823411068E-01 9.82338749520613678E-04 -3.42278703104403198E-02
1.85710654E+00 1.21830445299393048E-01 1.00642777978811587E-03 -3.37734168896708584E-02
1.92272935E+00 1.21733924640892818E-01 1.03160302270770710E-03 -3.29561366018380139E-02
1.98857975E+00 1.21635126572589847E-01 1.05788109691595821E-03 -3.17663411413293614E-02
2.05465591E+00 1.21533986423886520E-01 1.08528457442038121E-03 -3.01990361446192526E-02
2.12095852E+00 1.21430419102714682E-01 1.11384348943715183E-03 -2.82532660370278348E-02
2.18749114E+00 1.21324316014307168E-01 1.14359685345009985E-03 -2.59322484078394963E-02
2.25426055E+00 1.21215541906514651E-01 1.17459415820339520E-03 -2.32432480189488401E-02
2.32127702E+00 1.21103931598898013E-01 1.20689685787993273E-03 -2.01973822528962663E-02
2.38855450E+00 1.20989286530113191E-01 1.24057983447470473E-03 -1.68093592045023207E-02
2.45611084E+00 1.20871371037321138E-01 1.27573286905903211E-03 -1.30971611284905667E-02
2.52396778E+00 1.20749908264192907E-01 1.31246217087844586E-03 -9.08168709663003705E-03
2.59215108E+00 1.20624575582492899E-01 1.35089206117962129E-03 -4.78636838612168242E-03
2.66069046E+00 1.20494999408975137E-01 1.39116697093856706E-03 -2.36768998933237554E-04
2.72961953E+00 1.20360749308440901E-01 1.43345398282770020E-03 4.53981791326764188E-03
2.79895171E+00 1.20221380770581560E-01 1.47793349446649581E-03 9.51309229000026936E-03
2.86861048E+00 1.20076585782872391E-01 1.52475918941861219E-03 1.46448485412071800E-02
2.93862901E+00 1.19925781920105695E-01 1.57415627716310210E-03 1.99033398437975552E-02
3.00904463E+00 1.19768306704032740E-01 1.62640161357199787E-03 2.52571929441530486E-02
3.07989870E+00 1.19603410245435166E-01 1.68181832379531485E-03 3.06757365648908514E-02
3.15123653E+00 1.19430247679245552E-01 1.74078275255796708E-03 3.61292265061080725E-02
3.22310721E+00 1.19247872148744299E-01 1.80373036624642612E-03 4.15891173723390850E-02
3.29556338E+00 1.19055229122263379E-01 1.87115943257724882E-03 4.70282887176283748E-02
3.36864292E+00 1.18851205953475106E-01 1.94361674116526415E-03 5.24198962776741412E-02
3.44231486E+00 1.18634797836318848E-01 2.02163837860347070E-03 5.77345817212628412E-02
3.51663826E+00 1.18404696398041770E-01 2.10584869656571137E-03 6.29493236427744324E-02
3.59156378E+00 1.18159884602135418E-01 2.19681491387738051E-03 6.80380417768837592E-02
3.66705781E+00 1.17899321788615619E-01 2.29507261755277801E-03 7.29781197947240445E-02
3.74318055E+00 1.17621672449096520E-01 2.40122194983783495E-03 7.77560498901100072E-02
3.81999333E+00 1.17325625955060284E-01 2.51585226998812545E-03 8.23605201124908426E-02
3.89755864E+00 1.17009943531170335E-01 2.63947893681436285E-03 8.67822074267843996E-02
3.97570474E+00 1.16674564373775089E-01 2.77218112520106206E-03 9.10004988735693271E-02
4.05304084E+00 1.16325581754676485E-01 2.91199165600113108E-03 9.49354343474602819E-02
4.12899923E+00 1.15966569260731803E-01 3.05692102461928945E-03 9.85684337520663645E-02
