#  time, MeanKE MeanKEDR MeanP MeanNuT MeanLesProduction
0 1.24924716012900311E-01 4.68467768164149449E-04 -5.45960823770080033E-18 1.87864927511465563E-05 2.01623355337680447E-05
1.47262156E-02 1.24915915838654981E-01 4.68445334471735253E-04 2.36197118610289154E-04 1.87866998867901749E-05 2.01607652360313274E-05
2.94623722E-02 1.24908224166034337E-01 4.68448216889328164E-04 2.49686098604275564E-04 1.87884375053991681E-05 2.01607558743645918E-05
4.41998386E-02 1.24900898886843997E-01 4.68473635989790304E-04 2.26426128563539511E-04 1.87914256480373517E-05 2.01621056685980691E-05
5.89390333E-02 1.24893690722613054E-01 4.68520666641102665E-04 1.87644517998011802E-04 1.87955066744523081E-05 2.01647503715539741E-05
7.36804321E-02 1.24886516135293460E-01 4.68589012149656656E-04 1.31909686934363383E-04 1.88005739055103100E-05 2.01686729678963756E-05
8.84245292E-02 1.24879346885227713E-01 4.68678590180166552E-04 5.92903048710349554E-05 1.88065474296559028E-05 2.01738731466136066E-05
1.03171823E-01 1.24872173169587417E-01 4.68789394491476920E-04 -3.05216459917179779E-05 1.88133626542872708E-05 2.01803570665419188E-05
1.17922000E-01 1.24864991727961588E-01 4.68921440967882562E-04 -1.37359615992369266E-04 1.88209629874622085E-05 2.01881334415357860E-05
1.32673739E-01 1.24857801841832622E-01 4.69074744222392956E-04 -2.61186575213850187E-04 1.88292962766986183E-05 2.01972118674254624E-05
1.47427544E-01 1.24850602588724241E-01 4.69249340763720334E-04 -4.01949339074561150E-04 1.88383162558185658E-05 2.02076040620601630E-05
1.62183915E-01 1.24843393274793713E-01 4.69445274849399779E-04 -5.59589632712947016E-04 1.88479820857532367E-05 2.02193229687621882E-05
1.76943353E-01 1.24836173282847185E-01 4.69662597889412760E-04 -7.34044565087289564E-04 1.88582579152236712E-05 2.02323826718844472E-05
1.91706351E-01 1.24828942021661365E-01 4.69901368227050684E-04 -9.25246527262585492E-04 1.88691120881079011E-05 2.02467983441456733E-05
2.06473401E-01 1.24821698909088924E-01 4.70161651043869992E-04 -1.13312315311618226E-03 1.88805164249538618E-05 2.02625862062566966E-05
2.21244991E-01 1.24814443366432326E-01 4.70443518304440133E-04 -1.35759723060473333E-03 1.88924456826499395E-05 2.02797634919617848E-05
2.36021602E-01 1.24807174816571706E-01 4.70747048712764058E-04 -1.59858658891188360E-03 1.89048771737934303E-05 2.02983484159492030E-05
2.50803711E-01 1.24799892683357228E-01 4.71072327671083631E-04 -1.85600397226286457E-03 1.89177905123346981E-05 2.03183601436045487E-05
2.65591790E-01 1.24792596391421068E-01 4.71419447237943342E-04 -2.12975690137573882E-03 1.89311674464193355E-05 2.03398187621408257E-05
2.80386304E-01 1.24785285366133120E-01 4.71788506084520811E-04 -2.41974752597612754E-03 1.89449916750105179E-05 2.03627452528813244E-05
2.95187712E-01 1.24777959033603919E-01 4.72179609448892753E-04 -2.72587246742021783E-03 1.89592483777767836E-05 2.03871614645626164E-05
3.09996467E-01 1.24770616820710376E-01 4.72592869088148864E-04 -3.04802265237551304E-03 1.89739231939700411E-05 2.04130900873915355E-05
3.24811737E-01 1.24763258788476550E-01 4.73028364784234190E-04 -3.38605373691990919E-03 1.89889998975373388E-05 2.04405521967915856E-05
3.39632829E-01 1.24755884930846619E-01 4.73486179679485984E-04 -3.73981316412458050E-03 1.90044618685411203E-05 2.04695694131009904E-05
3.54460202E-01 1.24748494668707646E-01 4.73966434875395441E-04 -4.10916662478714653E-03 1.90202941874080641E-05 2.05001660811354947E-05
3.69294308E-01 1.24741087423739072E-01 4.74469257899996809E-04 -4.49397396126460097E-03 1.90364831647872715E-05 2.05323672733514063E-05
