#  time, MeanKE MeanKEDR MeanP MeanNuT MeanLesProduction
0 1.24981176168378685E-01 4.68679415828199297E-04 3.58063961071907322E-18 4.69788724643586119E-06 5.04333129987828316E-06
7.36310778E-03 1.24977274964329324E-01 4.68667432041930203E-04 6.16851951051771075E-05 4.69787231646560163E-06 5.04313060080751387E-06
1.47275084E-02 1.24973654575539439E-01 4.68661794158559814E-04 7.24812918670160423E-05 4.69796437251115780E-06 5.04302773071899486E-06
2.20921230E-02 1.24970127645806062E-01 4.68661799456104552E-04 7.16043759462665365E-05 4.69814805775179522E-06 5.04300984548603499E-06
2.94570042E-02 1.24966631507180723E-01 4.68667213156690192E-04 6.67610054052798682E-05 4.69841449163098950E-06 5.04307270764767044E-06
3.68222116E-02 1.24963145219673541E-01 4.68677957395158349E-04 5.76520665967390449E-05 4.69875749231725130E-06 5.04321497770812194E-06
4.41878074E-02 1.24959661756201712E-01 4.68694006922835212E-04 4.41823318695543982E-05 4.69917229595306180E-06 5.04343629999983126E-06
5.15538544E-02 1.24956178727672965E-01 4.68715354325726231E-04 2.63748202778659210E-05 4.69965497660157659E-06 5.04373666365918751E-06
5.89203074E-02 1.24952695342379572E-01 4.68741997997519047E-04 4.22901116253818623E-06 4.70020211213172077E-06 5.04411618279740122E-06
6.62870062E-02 1.24949211378375391E-01 4.68773937853753336E-04 -2.22552558887521562E-05 4.70081061506913824E-06 5.04457501844740594E-06
7.36540142E-02 1.24945726679889402E-01 4.68811175461967080E-04 -5.30748651450086727E-05 4.70147771682750954E-06 5.04511337447186914E-06
8.10213947E-02 1.24942241148460989E-01 4.68853713044135271E-04 -8.82260636864642429E-05 4.70220093741999532E-06 5.04573148106447952E-06
8.83892108E-02 1.24938754704756100E-01 4.68901553332952404E-04 -1.27704645050435913E-04 4.70297805151027024E-06 5.04642959149770635E-06
9.57575257E-02 1.24935267275839354E-01 4.68954699523554150E-04 -1.71506075050589557E-04 4.70380704821189452E-06 5.04720798068608089E-06
1.03126402E-01 1.24931778790925457E-01 4.69013155257003275E-04 -2.19625537642475068E-04 4.70468609663836849E-06 5.04806694438524705E-06
1.10495903E-01 1.24928289179971036E-01 4.69076924614341220E-04 -2.72057946088218538E-04 4.70561351951627411E-06 5.04900679862830676E-06
1.17866092E-01 1.24924798373201223E-01 4.69146012114151246E-04 -3.28797943746823070E-04 4.70658777367776313E-06 5.05002787926217697E-06
1.25237030E-01 1.24921306300950760E-01 4.69220422711256145E-04 -3.89839903876719896E-04 4.70760743598843029E-06 5.05113054153588593E-06
1.32608780E-01 1.24917812893612284E-01 4.69300161795763767E-04 -4.55177926328553491E-04 4.70867119309984350E-06 5.05231515972193585E-06
1.39981405E-01 1.24914318081623441E-01 4.69385235192230443E-04 -5.24805835275338846E-04 4.70977783089304848E-06 5.05358212676331216E-06
1.47354965E-01 1.24910821795454902E-01 4.69475649158811572E-04 -5.98717176992005057E-04 4.71092621314710440E-06 5.05493185394244942E-06
1.54729523E-01 1.24907323965616698E-01 4.69571410386414258E-04 -6.76905215803976358E-04 4.71211524097403407E-06 5.05636477056782748E-06
1.62104853E-01 1.24903824659026011E-01 4.69672521953172278E-04 -7.59359687024950092E-04 4.71334376920312199E-06 5.05788126293866698E-06
1.69480979E-01 1.24900323823924103E-01 4.69778990240794379E-04 -8.46072312546951007E-04 4.71461070140549532E-06 5.05948177745029783E-06
1.76857963E-01 1.24896821390626495E-01 4.69890822541040693E-04 -9.37013344356765537E-04 4.71591499058544671E-06 5.06116678470257881E-06
1.84235867E-01 1.24893317289475142E-01 4.70008026576628542E-04 -1.03224340273768496E-03 4.71725565069205343E-06 5.06293677206668969E-06
1.91614752E-01 1.24889811450843047E-01 4.70130610500239907E-04 -1.13167447804448729E-03 4.71863175724690324E-06 5.06479224340157335E-06
1.98994678E-01 1.24886303805131438E-01 4.70258582893480048E-04 -1.23533514771808467E-03 4.72004244210121718E-06 5.06673371878932273E-06
2.06375708E-01 1.24882794282775128E-01 4.70391952765830007E-04 -1.34321042046674178E-03 4.72148688812362901E-06 5.06876173427573883E-06
2.13757901E-01 1.24879282814236853E-01 4.70530729553544946E-04 -1.45529055928897140E-03 4.72296432531919887E-06 5.07087684161969288E-06
