#  time, MeanKE MeanKEDR MeanP
0 1.24981176165412808E-01 4.68679415817068389E-04 -5.50482138072360219E-18
7.36310778E-03 1.24977283133439435E-01 4.72233540084722675E-04 6.16694700050183391E-05
1.47275082E-02 1.24973670911856349E-01 4.72227837445938201E-04 7.24037675326336458E-05
2.20921225E-02 1.24970152147728289E-01 4.72227841104718891E-04 7.14867578886996605E-05
2.94570031E-02 1.24966664174863254E-01 4.72233311267483268E-04 6.66038696732073086E-05
3.68222098E-02 1.24963186054134118E-01 4.72244168445242266E-04 5.74545925561071371E-05
4.41878047E-02 1.24959710759012646E-01 4.72260386911182951E-04 4.39448059082648643E-05
5.15538507E-02 1.24956235900856027E-01 4.72281959166958871E-04 2.60973333053319166E-05
5.89203024E-02 1.24952760688221684E-01 4.72308883661667336E-04 3.91146966806469408E-06
6.62869998E-02 1.24949284899284405E-01 4.72341160417160224E-04 -2.26128920176282563E-05
7.36540062E-02 1.24945808378644954E-01 4.72378791139091815E-04 -5.34726382860660834E-05
8.10213849E-02 1.24942331028174744E-01 4.72421778210378078E-04 -8.86640188634509388E-05
8.83891991E-02 1.24938852768899059E-01 4.72470124541412944E-04 -1.28182831190072784E-04
9.57575118E-02 1.24935373528206370E-01 4.72523833520887269E-04 -1.72024545591292690E-04
1.03126386E-01 1.24931893235638067E-01 4.72582908998117970E-04 -2.20184350731869848E-04
1.10495885E-01 1.24928411821471394E-01 4.72647355277001045E-04 -2.72657164263919512E-04
1.17866070E-01 1.24924929216247371E-01 4.72717177112957486E-04 -3.29437634629359071E-04
1.25237006E-01 1.24921445350607951E-01 4.72792379711482887E-04 -3.90520139490490930E-04
1.32608753E-01 1.24917960155267835E-01 4.72872968726924952E-04 -4.55898783417229138E-04
1.39981374E-01 1.24914473560959804E-01 4.72958950261281061E-04 -5.25567395378486032E-04
1.47354930E-01 1.24910985498460039E-01 4.73050330863284015E-04 -5.99519526077493163E-04
1.54729485E-01 1.24907495898561177E-01 4.73147117527135256E-04 -6.77748444596179794E-04
1.62104811E-01 1.24904004828100684E-01 4.73249313619224417E-04 -7.60243890162923589E-04
1.69480933E-01 1.24900512235638722E-01 4.73356925824813650E-04 -8.46997588217670693E-04
1.76857913E-01 1.24897018051761982E-01 4.73469961766656892E-04 -9.37979778633272142E-04
1.84235812E-01 1.24893522207111529E-01 4.73588429512216151E-04 -1.03325114728091902E-03
1.91614692E-01 1.24890024632343805E-01 4.73712337570599451E-04 -1.13272360915703490E-03
1.98994613E-01 1.24886525258141437E-01 4.73841694891357420E-04 -1.23642579112903444E-03
2.06375638E-01 1.24883024015215213E-01 4.73976510863267193E-04 -1.34434269702999221E-03
2.13757826E-01 1.24879520834325172E-01 4.74116795313157466E-04 -1.45646459432959116E-03
2.21141237E-01 1.24876015646235280E-01 4.74262558504315529E-04 -1.57278155289932667E-03
2.28525932E-01 1.24872508381756231E-01 4.74413811135523250E-04 -1.69328333309070656E-03
2.35911971E-01 1.24868998971719075E-01 4.74570564339395640E-04 -1.81795937956624461E-03
2.43299411E-01 1.24865487347030416E-01 4.74732829681218159E-04 -1.94679881776522491E-03
2.50688313E-01 1.24861973438563936E-01 4.74900619157324312E-04 -2.07979044782750835E-03
2.58078691E-01 1.24858457198014014E-01 4.75073944160129429E-04 -2.21692192754485229E-03
2.65470335E-01 1.24854938684205302E-01 4.75252810868496164E-04 -2.35817615380238882E-03
2.72863304E-01 1.24851417827653938E-01 4.75437231879445002E-04 -2.50354040413884333E-03
2.80257657E-01 1.24847894558914319E-01 4.75627220239964997E-04 -2.65300164131259493E-03
2.87653453E-01 1.24844368808585307E-01 4.75822789423645579E-04 -2.80654649861441499E-03
2.95050748E-01 1.24840840507295756E-01 4.76023953329143389E-04 -2.96416126401582904E-03
3.02449603E-01 1.24837309585710529E-01 4.76230726278443594E-04 -3.12583187298282397E-03
3.09850072E-01 1.24833775974519862E-01 4.76443123015344065E-04 -3.29154390433036804E-03
3.17252214E-01 1.24830239604483473E-01 4.76661158703610714E-04 -3.46128257365455614E-03
3.24656084E-01 1.24826700406364829E-01 4.76884848925292432E-04 -3.63503272826133650E-03
3.32061739E-01 1.24823158310973042E-01 4.77114209679066047E-04 -3.81277884060090026E-03
3.39469234E-01 1.24819613249187888E-01 4.77349257378421540E-04 -3.99450500298920413E-03
3.46878623E-01 1.24816065151891739E-01 4.77590008849750535E-04 -4.18019492175667525E-03
3.54289962E-01 1.24812513950036674E-01 4.77836481330638362E-04 -4.36983190877379690E-03
3.61703304E-01 1.24808959574612272E-01 4.78088692467901319E-04 -4.56339887802408896E-03
3.69118457E-01 1.24805402074369423E-01 4.78346651718586640E-04 -4.76087177072410678E-03
3.76535429E-01 1.24801841402371799E-01 4.78610375321841450E-04 -4.96223104282553316E-03
3.83954274E-01 1.24798277489029608E-01 4.78879881536173032E-04 -5.16745796882276103E-03
3.91375046E-01 1.24794710264811218E-01 4.79155189031660919E-04 -5.37653342078351758E-03
3.98797799E-01 1.24791139660220901E-01 4.79436316882093287E-04 -5.58943784952775115E-03
4.06222584E-01 1.24787565605819231E-01 4.79723284563065970E-04 -5.80615127758638255E-03
4.13649455E-01 1.24783988032188639E-01 4.80016111949511666E-04 -6.02665329080922987E-03
4.21078464E-01 1.24780406869965527E-01 4.80314819314077380E-04 -6.25092303334132647E-03
4.28509660E-01 1.24776822049845568E-01 4.80619427324587608E-04 -6.47893919718503779E-03
4.35943095E-01 1.24773233502555037E-01 4.80929957042248080E-04 -6.71068001825076647E-03
4.43378819E-01 1.24769641158868017E-01 4.81246429919145646E-04 -6.94612326735038858E-03
