#  time, MeanKE MeanKEDR MeanP
0 1.23799080025198585E-01 1.09143034769993547E-03 -1.46012263020141482E-17
5.89048623E-02 1.23694944353482578E-01 1.09119407122200006E-03 3.68912768241626450E-03
1.18429277E-01 1.23604133963988269E-01 1.09306547733092419E-03 3.83569286145444112E-03
1.78018278E-01 1.23517019774008252E-01 1.09690024783791799E-03 3.52001445188979177E-03
2.37697998E-01 1.23430031256299103E-01 1.10263887967988923E-03 3.03581651864960264E-03
2.97497338E-01 1.23341886304569312E-01 1.11025637650683136E-03 2.35686081783254833E-03
3.57445326E-01 1.23252075484417786E-01 1.11974017134082796E-03 1.48842958716400350E-03
4.17570008E-01 1.23160346851958605E-01 1.13108161845414416E-03 4.38697479428587804E-04
4.77897875E-01 1.23066533908121153E-01 1.14427398841908216E-03 -7.82433273101656112E-04
5.38308506E-01 1.22970727149072173E-01 1.15927334457711808E-03 -2.16000968007466548E-03
5.98827976E-01 1.22872804139599057E-01 1.17606001294907870E-03 -3.67942095136715745E-03
6.59485092E-01 1.22772639189046545E-01 1.19461135752599052E-03 -5.32489085589186138E-03
7.20306873E-01 1.22670108003541084E-01 1.21490081377685004E-03 -7.07914028665658675E-03
7.81318270E-01 1.22565087585819368E-01 1.23689912644371494E-03 -8.92330153445117930E-03
8.42541931E-01 1.22457456717512639E-01 1.26057461695136715E-03 -1.08368904750807803E-02
9.03998010E-01 1.22347096563602098E-01 1.28589321675637649E-03 -1.27978105302824600E-02
9.65704043E-01 1.22233891139590739E-01 1.31281942165181569E-03 -1.47823902668290878E-02
1.02767487E+00 1.22117727600107320E-01 1.34131702175397153E-03 -1.67654504737700244E-02
1.08992257E+00 1.21998496604394283E-01 1.37134713525051302E-03 -1.87204123454620536E-02
1.15245637E+00 1.21876093078559761E-01 1.40286288040457124E-03 -2.06194674282814128E-02
1.21528260E+00 1.21750417477841114E-01 1.43580731286746489E-03 -2.24337988945465007E-02
1.27840483E+00 1.21621377029012087E-01 1.47011654818774914E-03 -2.41338718726313052E-02
1.34182402E+00 1.21488886273845673E-01 1.50572401871902303E-03 -2.56898072617597444E-02
1.40553881E+00 1.21352866595998407E-01 1.54256483922120377E-03 -2.70718032276238280E-02
1.46954582E+00 1.21213244931586611E-01 1.58057851328983904E-03 -2.82505836053228189E-02
1.53384005E+00 1.21069952233061384E-01 1.61970891560557257E-03 -2.91978750948127669E-02
1.59841530E+00 1.20922921879897421E-01 1.65990660016412960E-03 -2.98869083476131399E-02
1.66326461E+00 1.20772087434166647E-01 1.70113555952140869E-03 -3.02929285408151325E-02
1.72838076E+00 1.20617379070431102E-01 1.74337667768643674E-03 -3.03936624525300292E-02
1.79375675E+00 1.20458719204811382E-01 1.78662323022409195E-03 -3.01699413589082421E-02
1.85938631E+00 1.20296018831775181E-01 1.83087155456091756E-03 -2.96052821886337823E-02
1.92526441E+00 1.20129175294909143E-01 1.87611674718756653E-03 -2.86875092804427800E-02
1.99138769E+00 1.19958070692310653E-01 1.92235548468503424E-03 -2.74075102283307878E-02
2.05775490E+00 1.19782570024059842E-01 1.96959536110969139E-03 -2.57603266031896753E-02
2.12436734E+00 1.19602517846248854E-01 2.01786791397741763E-03 -2.37449600120293591E-02
2.19122917E+00 1.19417733091086706E-01 2.06723254954173635E-03 -2.13644504558133559E-02
2.25834770E+00 1.19228003973956345E-01 2.11777002556916630E-03 -1.86257833616075529E-02
2.32573367E+00 1.19033084412453971E-01 2.16958111214089061E-03 -1.55396574191896987E-02
2.39340141E+00 1.18832690743951752E-01 2.22279685570072163E-03 -1.21201549265384859E-02
2.46136892E+00 1.18626497393449146E-01 2.27759204516589635E-03 -8.38439293040029593E-03
2.52965801E+00 1.18414132047201401E-01 2.33419571174619265E-03 -4.35218306655574781E-03
2.59829424E+00 1.18195171216761694E-01 2.39289519037536296E-03 -4.56865725622045127E-05
2.66730691E+00 1.17969136703275024E-01 2.45403394263228603E-03 4.51093239645178248E-03
2.73672898E+00 1.17735493034337904E-01 2.51801825858168548E-03 9.29187123394603805E-03
2.80659691E+00 1.17493642892433678E-01 2.58534461639738262E-03 1.42700949457421865E-02
2.87685121E+00 1.17243276042129155E-01 2.65652867391042834E-03 1.94105878888070731E-02
2.94749101E+00 1.16983828255897232E-01 2.73226352337035527E-03 2.46811179274236542E-02
3.01855133E+00 1.16714515078703909E-01 2.81341263213695124E-03 3.00518250828677967E-02
3.09007084E+00 1.16434408650736412E-01 2.90097538082845175E-03 3.54936572218417859E-02
3.16209180E+00 1.16142400959466235E-01 2.99602433767510046E-03 4.09789054505007161E-02
3.23465991E+00 1.15837182047104581E-01 3.09955186168876145E-03 4.64817634250833528E-02
3.30782419E+00 1.15517259239950640E-01 3.21237506878105719E-03 5.19787380397513030E-02
3.38163682E+00 1.15181008123939832E-01 3.33529679441316954E-03 5.74487598881460865E-02
3.45605230E+00 1.14827207320869276E-01 3.46917247919139530E-03 6.28656104673705890E-02
3.53110628E+00 1.14454264309092349E-01 3.61528034027613606E-03 6.82109942045502765E-02
3.60685561E+00 1.14060466351382825E-01 3.77510858568598593E-03 7.34696320278161452E-02
3.68324827E+00 1.13644699785462738E-01 3.94974298605633989E-03 7.86206114471911521E-02
3.76022861E+00 1.13206098973323760E-01 4.13986959183054552E-03 8.36443620115841918E-02
3.83784988E+00 1.12743397298609146E-01 4.34609726660726680E-03 8.85319621958512437E-02
3.91616857E+00 1.12255405762285265E-01 4.56843971914178398E-03 9.32761997448109809E-02
3.99524466E+00 1.11740891911322332E-01 4.80610936420307160E-03 9.78717917390962699E-02
4.07509521E+00 1.11198743452007184E-01 5.05835022018711472E-03 1.02313107459924127E-01
4.15557722E+00 1.10628541046970230E-01 5.32285818458851957E-03 1.06588647556615665E-01
4.23536887E+00 1.10039010105652341E-01 5.59042100414903608E-03 1.10630717554313709E-01
4.31426022E+00 1.09432795539019967E-01 5.85586950081412420E-03 1.14442188013741758E-01
4.39254034E+00 1.08809468819744667E-01 6.11864736510842055E-03 1.18045488198430748E-01
4.47006585E+00 1.08171768925189635E-01 6.37707638563055762E-03 1.21435069032253984E-01
4.54660604E+00 1.07522957323373414E-01 6.62772673953369862E-03 1.24603053132642916E-01
4.62236654E+00 1.06862462263745656E-01 6.86759981743204594E-03 1.27562129171023275E-01
4.69690743E+00 1.06195415058364703E-01 7.09155561502109420E-03 1.30297878832369707E-01
4.76969134E+00 1.05528356408629564E-01 7.29476389185984911E-03 1.32797206415221886E-01
4.84102202E+00 1.04860363058371819E-01 7.47536047564816529E-03 1.35080023616697437E-01
4.91116697E+00 1.04190696073894390E-01 7.63190669188262404E-03 1.37161071471792406E-01
4.98036890E+00 1.03518770708311211E-01 7.76388704725894732E-03 1.39051942907710696E-01
5.04885396E+00 1.02844054068030072E-01 7.87201896014763820E-03 1.40762645999427088E-01
5.11683707E+00 1.02165869239170398E-01 7.95855446109478004E-03 1.42301909231283302E-01
5.18452570E+00 1.01483312991757932E-01 8.02749438590049692E-03 1.43677599778397752E-01
5.25212147E+00 1.00795283797212490E-01 8.08451859756362246E-03 1.44897354977429976E-01
5.31981937E+00 1.00100431240631407E-01 8.13664795782671584E-03 1.45969010483907674E-01
5.38780574E+00 9.93969790876792075E-02 8.19164922274193130E-03 1.46901749397832071E-01
5.45625679E+00 9.86825469041366504E-02 8.25736173098374528E-03 1.47707636071636284E-01
5.52448251E+00 9.79633018179839193E-02 8.33993365530656672E-03 1.48394550407967507E-01
5.59197340E+00 9.72434371724443802E-02 8.44325623731674059E-03 1.48981261356034289E-01
5.65898028E+00 9.65191192796317488E-02 8.56888868296905130E-03 1.49496693614614595E-01
5.72570988E+00 9.57870797279927882E-02 8.71437944193189165E-03 1.49967982886623219E-01
5.79232910E+00 9.50448444473229181E-02 8.87398107867032153E-03 1.50419805814451385E-01
5.85832001E+00 9.42981922194638666E-02 9.03871808416944165E-03 1.50870214602422142E-01
5.92361312E+00 9.35483785782443289E-02 9.19990515614846176E-03 1.51335703175324160E-01
5.98831148E+00 9.27951259830000902E-02 9.35013749406149973E-03 1.51830532502637477E-01
6.05252048E+00 9.20387251229449893E-02 9.48511998616845264E-03 1.52366901500861296E-01
6.11634583E+00 9.12798495939742549E-02 9.60361789617134205E-03 1.52953919132857330E-01
6.17989189E+00 9.05191403230097696E-02 9.70501924632422366E-03 1.53598709331902089E-01
6.24326071E+00 8.97570040695971488E-02 9.78774865755061528E-03 1.54309339507330889E-01
6.30655173E+00 8.89936885902636032E-02 9.84938548194884064E-03 1.55096297863763444E-01
6.36986208E+00 8.82294143222437655E-02 9.88790993035070301E-03 1.55972253008464068E-01
6.43328731E+00 8.74643818674097767E-02 9.90289543783746083E-03 1.56951086632251602E-01
6.49692225E+00 8.66987033635639448E-02 9.89567853679999311E-03 1.58047324170738329E-01
6.56086231E+00 8.59323790323075071E-02 9.86872399264804995E-03 1.59276212379956983E-01
6.62520548E+00 8.51652813933149871E-02 9.82510494389981712E-03 1.60652959780342414E-01
6.69005579E+00 8.43970360743998005E-02 9.76825594032441034E-03 1.62191047177418363E-01
6.75552904E+00 8.36268254284689289E-02 9.70131016484390533E-03 1.63901626721929899E-01
6.82174976E+00 8.28533573813846763E-02 9.62571400426586073E-03 1.65794232557706089E-01
6.88815843E+00 8.20829448171749576E-02 9.54058280894333130E-03 1.67857951816839879E-01
6.95507599E+00 8.13116609771035170E-02 9.44080255616156459E-03 1.70100678452164700E-01
7.02284706E+00 8.05357728970051978E-02 9.32024517429276729E-03 1.72534385291018999E-01
7.09184109E+00 7.97517386945930107E-02 9.17604254257474265E-03 1.75175151705509208E-01
7.16245146E+00 7.89559577493598591E-02 9.01137985705070983E-03 1.78042242821009555E-01
7.23441086E+00 7.81522815640481039E-02 8.83363277065099539E-03 1.81126446242667521E-01
7.30413121E+00 7.73811215916526685E-02 8.65850122455307826E-03 1.84264160152959211E-01
7.37214742E+00 7.66368069915233374E-02 8.49076930891453502E-03 1.87435540136580342E-01
7.43894880E+00 7.59144456650223537E-02 8.33428443715504563E-03 1.90631474115817739E-01
7.50499127E+00 7.52095329153059655E-02 8.19134331532067085E-03 1.93850100602199565E-01
7.57070858E+00 7.45176938521468907E-02 8.06211227366147691E-03 1.97092610048763023E-01
7.63652324E+00 7.38345648505634999E-02 7.94509036730237962E-03 2.00363472979358137E-01
7.70285726E+00 7.31557343834169926E-02 7.83761022899316477E-03 2.03670489096437285E-01
7.77014299E+00 7.24765505833637885E-02 7.73646178570437226E-03 2.07024300012000256E-01
7.83883384E+00 7.17917681085960685E-02 7.63805150670821692E-03 2.10437596227943696E-01
7.90941404E+00 7.10957280336979303E-02 7.53836473343504586E-03 2.13920340801037528E-01
7.98232735E+00 7.03835721259653407E-02 7.43438023861622832E-03 2.17479298584368874E-01
8.05460608E+00 6.96838261578376222E-02 7.32894612877630931E-03 2.20961252312181111E-01
8.12685734E+00 6.89904380191068839E-02 7.22085873757206519E-03 2.24379121500726447E-01
8.19962243E+00 6.82983059419434990E-02 7.11069108180826734E-03 2.27744911974854747E-01
8.27339275E+00 6.76027878618067762E-02 6.99952343507396699E-03 2.31070637943744134E-01
8.34861980E+00 6.68998791896278644E-02 6.88911808763150151E-03 2.34363598539529011E-01
8.42483125E+00 6.61945463044539412E-02 6.78320141931923991E-03 2.37589204121071734E-01
8.50166041E+00 6.54907312607912878E-02 6.68414548050966055E-03 2.40719769296755703E-01
8.57967730E+00 6.47837255222049740E-02 6.59187609685042003E-03 2.43764750316214168E-01
8.65941104E+00 6.40692961478953049E-02 6.50582863572193425E-03 2.46727101386677861E-01
8.74136473E+00 6.33432190895647645E-02 6.42494286925109244E-03 2.49603642869339420E-01
8.82472980E+00 6.26119967635340169E-02 6.34808206207895537E-03 2.52343806016445849E-01
8.90768327E+00 6.18903973489853473E-02 6.27426564067991993E-03 2.54872256121614349E-01
8.98940804E+00 6.11848607672410838E-02 6.20225437011350748E-03 2.57159099234173183E-01
9.07002090E+00 6.04946814605976727E-02 6.13229384998427093E-03 2.59210530383533311E-01
9.15029479E+00 5.98137098443484450E-02 6.06445049682690588E-03 2.61052174419027727E-01
9.23090028E+00 5.91363974411816540E-02 5.99712481342095424E-03 2.62698806483453728E-01
9.31243329E+00 5.84582726450668180E-02 5.92816288592598779E-03 2.64153984857586566E-01
9.39539301E+00 5.77760075953570734E-02 5.85625065258646698E-03 2.65414151020985700E-01
9.47955305E+00 5.70923549875506642E-02 5.77858143733525533E-03 2.66461718020961524E-01
9.56565662E+00 5.64033542353091569E-02 5.69346403115936553E-03 2.67289274484130424E-01
9.65449153E+00 5.57051447351754117E-02 5.60118409538167428E-03 2.67886972934679835E-01
9.74539334E+00 5.50050522519953886E-02 5.50403128541967438E-03 2.68234784441642893E-01
9.83814153E+00 5.43061008170973789E-02 5.40431291137912894E-03 2.68325382654648670E-01
9.93271064E+00 5.36088419881974726E-02 5.30276147100230098E-03 2.68158766570080809E-01
1.00296188E+01 5.29097060003205083E-02 5.20015930177198087E-03 2.67727166154770990E-01
1.01293855E+01 5.22055410974927164E-02 5.09850763314254832E-03 2.67023993450051067E-01
1.02319390E+01 5.14970548956277877E-02 5.00024197568852812E-03 2.66041346973123038E-01
1.03344380E+01 5.08029728521626825E-02 4.90838105847101087E-03 2.64811997328216919E-01
1.04372559E+01 5.01191208340172473E-02 4.81915221835894653E-03 2.63350081128259472E-01
1.05382173E+01 4.94589730144770617E-02 4.73120808014845448E-03 2.61708884727266056E-01
1.06381850E+01 4.88171900691884084E-02 4.64326418541102879E-03 2.59898698527125327E-01
1.07379876E+01 4.81893226827344520E-02 4.55479078718156686E-03 2.57921968776846200E-01
1.08384423E+01 4.75709062526997323E-02 4.46427091665424144E-03 2.55775115985580892E-01
1.09403824E+01 4.69575797873146364E-02 4.37172947691155146E-03 2.53450402739407332E-01
1.10434358E+01 4.63523228925640657E-02 4.27790401145991973E-03 2.50967504893628179E-01
1.11454586E+01 4.57674319821902431E-02 4.18392194573370593E-03 2.48392609749761600E-01
1.12470056E+01 4.51990032766399069E-02 4.08973017565452367E-03 2.45726374290430150E-01
