#  time, MeanKE MeanKEDR MeanP
0 1.24924716013033330E-01 5.08177487518380547E-04 -5.53602782891480650E-18
1.47262156E-02 1.24915278206964214E-01 5.08151370127895652E-04 2.37127597922956001E-04
2.94623703E-02 1.24906947760863044E-01 5.08157881756763925E-04 2.53029320913477425E-04
4.41998331E-02 1.24898983444372447E-01 5.08193800835000085E-04 2.31391599287254784E-04
5.89390231E-02 1.24891136133275626E-01 5.08258051105079517E-04 1.94261686713289114E-04
7.36804175E-02 1.24883322303722191E-01 5.08350283271794662E-04 1.40163641428665044E-04
8.84245120E-02 1.24875513682554604E-01 5.08470395694278683E-04 6.91803915117390289E-05
1.03171806E-01 1.24867700416537594E-01 5.08618374340639285E-04 -1.89855548521472043E-05
1.17921973E-01 1.24859879232244897E-01 5.08794228379618732E-04 -1.24175534657580412E-04
1.32673701E-01 1.24852049424473519E-01 5.08997961848273303E-04 -2.46350571263140414E-04
1.47427496E-01 1.24844210008939138E-01 5.09229604742488006E-04 -3.85456880604675013E-04
1.62183861E-01 1.24836360228907844E-01 5.09489194423802701E-04 -5.41435600654181391E-04
1.76943296E-01 1.24828499403416102E-01 5.09776774998494503E-04 -7.14223260641977885E-04
1.91706298E-01 1.24820626876747165E-01 5.10092397208964147E-04 -9.03751681526571778E-04
2.06473361E-01 1.24812742001647048E-01 5.10436118450820946E-04 -1.10994793586359866E-03
2.21244972E-01 1.24804844133766163E-01 5.10808002802447259E-04 -1.33273425962223118E-03
2.36021617E-01 1.24796932629838542E-01 5.11208121040348617E-04 -1.57202793979175390E-03
2.50803772E-01 1.24789006847146319E-01 5.11636550616439588E-04 -1.82774118729557827E-03
2.65591913E-01 1.24781066143368202E-01 5.12093375570082335E-04 -2.09978099779701112E-03
2.80386505E-01 1.24773109876624835E-01 5.12578686400553228E-04 -2.38804900315666693E-03
2.95188008E-01 1.24765137405523613E-01 5.13092579978822495E-04 -2.69244131119407686E-03
3.09996875E-01 1.24757148089196440E-01 5.13635159512956904E-04 -3.01284833810872184E-03
3.24812203E-01 1.24749142015880235E-01 5.14206481189148656E-04 -3.34912363986289994E-03
3.39633369E-01 1.24741119123171068E-01 5.14806608914826578E-04 -3.70111571076009666E-03
3.54460833E-01 1.24733078762024677E-01 5.15435651771525166E-04 -4.06868980750520193E-03
3.69295046E-01 1.24725020284059310E-01 5.16093725020744850E-04 -4.45170530186553455E-03
3.84136453E-01 1.24716943041398784E-01 5.16780950051755686E-04 -4.85001533623294779E-03
3.98985492E-01 1.24708846386630351E-01 5.17497454344844308E-04 -5.26346653920797738E-03
4.13842589E-01 1.24700729672816410E-01 5.18243371411471828E-04 -5.69189881820782954E-03
4.28708165E-01 1.24692592253480991E-01 5.19018840712439982E-04 -6.13514514812905920E-03
4.43582628E-01 1.24684433482636151E-01 5.19824007559889674E-04 -6.59303135313673520E-03
4.58466382E-01 1.24676252714776475E-01 5.20659022995991535E-04 -7.06537588210594345E-03
4.73359816E-01 1.24668049304967485E-01 5.21524043628461944E-04 -7.55198957818033027E-03
4.88263312E-01 1.24659822608902293E-01 5.22419231453904532E-04 -8.05267544264866991E-03
5.03177242E-01 1.24651571982946630E-01 5.23344753717980629E-04 -8.56722839263358155E-03
5.18101966E-01 1.24643296784211752E-01 5.24300782800287486E-04 -9.09543501755052247E-03
5.33037834E-01 1.24634996370588627E-01 5.25287496082816360E-04 -9.63707333079638455E-03
5.47984652E-01 1.24626670397262745E-01 5.26305039006527415E-04 -1.01918925381988545E-02
5.62941315E-01 1.24618319025078556E-01 5.27353493401891004E-04 -1.07595964364313023E-02
5.77908184E-01 1.24609941597629739E-01 5.28433041939697402E-04 -1.13399327319198030E-02
5.92885605E-01 1.24601537459641767E-01 5.29543872067771994E-04 -1.19326399906397960E-02
6.07873917E-01 1.24593105956779207E-01 5.30686175935113965E-04 -1.25374473629494502E-02
6.22873444E-01 1.24584646435592625E-01 5.31860150299706918E-04 -1.31540743249182312E-02
6.37884501E-01 1.24576158243563134E-01 5.33065996406071577E-04 -1.37822304290047045E-02
6.52907389E-01 1.24567640729135135E-01 5.34303919843687842E-04 -1.44216150603545187E-02
6.67942398E-01 1.24559093241802046E-01 5.35574130394536672E-04 -1.50719171936738571E-02
6.82989803E-01 1.24550515132186138E-01 5.36876841870368815E-04 -1.57328151549179576E-02
6.98049869E-01 1.24541905752129103E-01 5.38212271957394365E-04 -1.64039763859957603E-02
7.13122847E-01 1.24533264454772891E-01 5.39580642085481688E-04 -1.70850572179206996E-02
7.28208975E-01 1.24524590594638510E-01 5.40982177311631921E-04 -1.77757026504763022E-02
7.43308477E-01 1.24515883527671983E-01 5.42417106203128656E-04 -1.84755461440006021E-02
7.58421565E-01 1.24507142611309629E-01 5.43885660727732321E-04 -1.91842094187330003E-02
7.73548436E-01 1.24498367204530211E-01 5.45388076169307898E-04 -1.99013022684959365E-02
7.88689274E-01 1.24489556667902665E-01 5.46924591072796566E-04 -2.06264223837848149E-02
8.03844251E-01 1.24480710363622932E-01 5.48495447194905536E-04 -2.13591551921173649E-02
8.19013521E-01 1.24471827655559419E-01 5.50100889428182995E-04 -2.20990737106277792E-02
8.34197229E-01 1.24462907909289294E-01 5.51741165695455202E-04 -2.28457384176290398E-02
8.49395493E-01 1.24453950498659510E-01 5.53416525600479415E-04 -2.35986965841343127E-02
8.64607320E-01 1.24444955447207808E-01 5.55127097014858806E-04 -2.43574272714718043E-02
8.79832865E-01 1.24435922101447813E-01 5.56873134729033749E-04 -2.51214548108034640E-02
8.95072265E-01 1.24426849810027149E-01 5.58654896446976229E-04 -2.58902906598372090E-02
9.10325647E-01 1.24417737923545116E-01 5.60472642674680627E-04 -2.66634334856555577E-02
9.25593120E-01 1.24408585794524601E-01 5.62326636623128816E-04 -2.74403693033522453E-02
9.40874782E-01 1.24399392777410758E-01 5.64217144129977805E-04 -2.82205714884956119E-02
9.56170716E-01 1.24390158228617403E-01 5.66144433605292059E-04 -2.90035008173639107E-02
9.71480989E-01 1.24380881506550037E-01 5.68108776002485797E-04 -2.97886055378993216E-02
9.86805656E-01 1.24371561971654082E-01 5.70110444790797267E-04 -3.05753214707510344E-02
1.00214476E+00 1.24362198986436120E-01 5.72149715894484196E-04 -3.13630721427945250E-02
1.01749832E+00 1.24352791915503760E-01 5.74226867601039352E-04 -3.21512689547589006E-02
1.03286635E+00 1.24343340125593671E-01 5.76342180454883436E-04 -3.29393113827915404E-02
1.04824886E+00 1.24333842985597395E-01 5.78495937143742867E-04 -3.37265872176173848E-02
1.06364582E+00 1.24324299866581361E-01 5.80688422383324816E-04 -3.45124728410846071E-02
1.07905721E+00 1.24314710141800927E-01 5.82919922801351928E-04 -3.52963335427705777E-02
1.09448298E+00 1.24305073186711704E-01 5.85190726818452726E-04 -3.60775238754935390E-02
1.10992308E+00 1.24295388378964963E-01 5.87501124531822176E-04 -3.68553880548282628E-02
1.12537743E+00 1.24285655098414202E-01 5.89851407622640029E-04 -3.76292604002358977E-02
1.14084596E+00 1.24275872727073827E-01 5.92241869310785002E-04 -3.83984658184439234E-02
1.15632857E+00 1.24266040649124915E-01 5.94672804343570780E-04 -3.91623203345374607E-02
1.17182514E+00 1.24256158250854995E-01 5.97144508948032888E-04 -3.99201316654868160E-02
1.18733556E+00 1.24246224920628617E-01 5.99657280728909054E-04 -4.06711998398736688E-02
1.20285969E+00 1.24236240048834309E-01 6.02211418557616041E-04 -4.14148178620290380E-02
1.21839739E+00 1.24226203027812523E-01 6.04807222462286397E-04 -4.21502724230857634E-02
1.23394849E+00 1.24216113251801485E-01 6.07444993510752244E-04 -4.28768446545665163E-02
1.24951283E+00 1.24205970116854483E-01 6.10125033690536787E-04 -4.35938109283182176E-02
1.26509022E+00 1.24195773020755074E-01 6.12847645796327136E-04 -4.43004437015568284E-02
1.28068047E+00 1.24185521362930151E-01 6.15613133327730898E-04 -4.49960124018909946E-02
1.29628337E+00 1.24175214544348031E-01 6.18421800394542060E-04 -4.56797843577809309E-02
1.31189871E+00 1.24164851967420345E-01 6.21273951648752842E-04 -4.63510257680191939E-02
1.32752627E+00 1.24154433035875394E-01 6.24169892265306068E-04 -4.70090027113199416E-02
1.34316580E+00 1.24143957154640730E-01 6.27109927904632189E-04 -4.76529821925878380E-02
1.35881707E+00 1.24133423729702000E-01 6.30094364598052692E-04 -4.82822332259264658E-02
1.37447982E+00 1.24122832167953542E-01 6.33123508608829941E-04 -4.88960279492843819E-02
1.39015378E+00 1.24112181877043745E-01 6.36197666306653536E-04 -4.94936427678845520E-02
1.40583868E+00 1.24101472265190124E-01 6.39317144058549084E-04 -5.00743595269256478E-02
1.42153424E+00 1.24090702740999440E-01 6.42482248124281313E-04 -5.06374667076453788E-02
1.43724018E+00 1.24079872713263858E-01 6.45693284539571076E-04 -5.11822606433370783E-02
1.45295619E+00 1.24068981590735150E-01 6.48950559018222472E-04 -5.17080467527450405E-02
1.46868197E+00 1.24058028781902863E-01 6.52254376900247238E-04 -5.22141407871086066E-02
1.48441722E+00 1.24047013694736377E-01 6.55605043125518858E-04 -5.26998700842057147E-02
1.50016161E+00 1.24035935736416719E-01 6.59002862217482961E-04 -5.31645748290397943E-02
1.51591483E+00 1.24024794313062042E-01 6.62448138266362495E-04 -5.36076093127096573E-02
1.53167654E+00 1.24013588829423024E-01 6.65941174879120597E-04 -5.40283431888813129E-02
1.54744643E+00 1.24002318688565136E-01 6.69482275095319352E-04 -5.44261627181360577E-02
1.56322415E+00 1.23990983291547077E-01 6.73071741287513598E-04 -5.48004720021465150E-02
1.57900936E+00 1.23979582037066785E-01 6.76709875061581954E-04 -5.51506941958111521E-02
1.59480172E+00 1.23968114321116291E-01 6.80396977209856975E-04 -5.54762727000476033E-02
1.61060090E+00 1.23956579536601622E-01 6.84133347699286101E-04 -5.57766723229431508E-02
1.62640653E+00 1.23944977072952753E-01 6.87919285670966752E-04 -5.60513804072635402E-02
1.64221828E+00 1.23933306315730352E-01 6.91755089472475605E-04 -5.62999079148820830E-02
1.65803580E+00 1.23921566646204365E-01 6.95641056720006719E-04 -5.65217904605297486E-02
1.67385874E+00 1.23909757440911525E-01 6.99577484362646292E-04 -5.67165892887198167E-02
1.68968675E+00 1.23897878071214634E-01 7.03564668734014726E-04 -5.68838921902262637E-02
1.70551949E+00 1.23885927902813830E-01 7.07602905600497579E-04 -5.70233143541008652E-02
1.72135660E+00 1.23873906295268510E-01 7.11692490220960819E-04 -5.71344991379382147E-02
1.73719776E+00 1.23861812601475288E-01 7.15833717425709906E-04 -5.72171186794147579E-02
1.75304261E+00 1.23849646167147553E-01 7.20026881719722429E-04 -5.72708738719064775E-02
1.76889083E+00 1.23837406330244940E-01 7.24272277419754900E-04 -5.72954880161211585E-02
1.78474208E+00 1.23825092420421154E-01 7.28570198826739902E-04 -5.72909838877368321E-02
1.80059604E+00 1.23812703758428816E-01 7.32920940455875905E-04 -5.72562485686737635E-02
1.81645238E+00 1.23800239655445843E-01 7.37324797257126233E-04 -5.71924337930510285E-02
1.83231079E+00 1.23787699412527930E-01 7.41782064919084723E-04 -5.70984557991565597E-02
1.84817084E+00 1.23775082416526488E-01 7.46293005499332088E-04 -5.69745142261818410E-02
1.86403219E+00 1.23762387988033296E-01 7.50857901369302505E-04 -5.68205011024417520E-02
1.87989457E+00 1.23749615367393914E-01 7.55477060961645837E-04 -5.66363716167867029E-02
1.89575773E+00 1.23736763779780629E-01 7.60150795839674019E-04 -5.64221134384729137E-02
1.91162145E+00 1.23723832434399786E-01 7.64879421148321722E-04 -5.61777461290520128E-02
1.92748551E+00 1.23710820523672313E-01 7.69663256109495448E-04 -5.59033208976722207E-02
1.94334969E+00 1.23697727222399606E-01 7.74502624566949312E-04 -5.55989202996862095E-02
1.95921380E+00 1.23684551686910435E-01 7.79397855581316114E-04 -5.52646578596462240E-02
1.97507765E+00 1.23671293054173417E-01 7.84349284074993720E-04 -5.49006453240161937E-02
1.99094108E+00 1.23657950440903094E-01 7.89357251511424831E-04 -5.45071615264466000E-02
2.00680394E+00 1.23644522942620086E-01 7.94422106634337568E-04 -5.40842877893262935E-02
2.02266584E+00 1.23631009848135243E-01 7.99544124381062430E-04 -5.36323220439271844E-02
2.03852659E+00 1.23617410268715658E-01 8.04723645950945429E-04 -5.31515190962303929E-02
2.05438603E+00 1.23603723282822112E-01 8.09961025164300107E-04 -5.26421699877347368E-02
2.07024403E+00 1.23589947946316003E-01 8.15256625126988791E-04 -5.21045925603911969E-02
