#  time, MeanKE MeanKEDR MeanP MeanNuT MeanLesProduction
0 1.24924716013033330E-01 7.68756806421262121E-04 -5.53602782891480650E-18 3.23263500361282584E-04 3.00289038256630635E-04
1.47262156E-02 1.24912429169834180E-01 7.68748078484649206E-04 2.43803892313548473E-04 3.23364436093455702E-04 3.00315819165800080E-04
2.94625780E-02 1.24901244376591586E-01 7.68858271943250772E-04 2.62334441317484102E-04 3.23602099623264644E-04 3.00436232025927397E-04
4.42004586E-02 1.24890422438103776E-01 7.69071512102902479E-04 2.42756185103177582E-04 3.23950459106754933E-04 3.00637174293355276E-04
5.89402799E-02 1.24879713476935786E-01 7.69379789586410625E-04 2.08104021668341273E-04 3.24395996250467105E-04 3.00911567780996162E-04
7.36825241E-02 1.24869032909468936E-01 7.69775928363345720E-04 1.56555971837565861E-04 3.24919057357418305E-04 3.01252540912038747E-04
8.84276929E-02 1.24858351399222273E-01 7.70252088704646734E-04 8.80533413576937719E-05 3.25503157119270763E-04 3.01652344243554795E-04
1.03176294E-01 1.24847658129433367E-01 7.70802831284896723E-04 2.60912142881961274E-06 3.26138895492328633E-04 3.02105552308591218E-04
1.17927922E-01 1.24836949189561799E-01 7.71424674739519187E-04 -9.97323061874792879E-05 3.26820459103219110E-04 3.02608675221128034E-04
1.32681328E-01 1.24826223414933060E-01 7.72115318245810756E-04 -2.18904263625336720E-04 3.27543629439464219E-04 3.03159402589183184E-04
1.47437022E-01 1.24815479105604518E-01 7.72873268898605623E-04 -3.54841051733140341E-04 3.28305121335838114E-04 3.03756211801595383E-04
1.62195518E-01 1.24804714830861377E-01 7.73697383331664536E-04 -5.07473136316748618E-04 3.29102076939921185E-04 3.04397921839753382E-04
1.76957325E-01 1.24793929266967515E-01 7.74586762274737106E-04 -6.76726942047943666E-04 3.29931989099925224E-04 3.05083588476042628E-04
1.91722951E-01 1.24783121140052078E-01 7.75540577822648037E-04 -8.62524859940519656E-04 3.30792549206371245E-04 3.05812331799482778E-04
2.06492900E-01 1.24772289206206352E-01 7.76558244253678807E-04 -1.06478519272011217E-03 3.31681837583371975E-04 3.06583507156277886E-04
2.21267671E-01 1.24761432242050774E-01 7.77639182013453245E-04 -1.28342161789489310E-03 3.32598066488149326E-04 3.07396469224990008E-04
2.36047757E-01 1.24750549041717576E-01 7.78782927528313702E-04 -1.51834327010697944E-03 3.33539672207079272E-04 3.08250681898251824E-04
2.50833644E-01 1.24739638414634216E-01 7.79989181943446883E-04 -1.76945445761257994E-03 3.34505350448644683E-04 3.09145767089390145E-04
