#  time, MeanKE MeanKEDR MeanP MeanNuT MeanLesProduction
0 1.24981176165412808E-01 4.68679415817068389E-04 -5.50482138072360219E-18 5.73175060267415055E-05 5.32687179012576251E-05
7.36310778E-03 1.24976973579574227E-01 4.68666301848409672E-04 6.23617049988094070E-05 5.73233579743960363E-05 5.32700321853068725E-05
1.47275167E-02 1.24973051440770810E-01 4.68659532352285640E-04 7.33454873910536196E-05 5.73374336641737614E-05 5.32764354532017795E-05
2.20921482E-02 1.24969222598287355E-01 4.68658405297085333E-04 7.26451621499851367E-05 5.73583150493133201E-05 5.32872550884753738E-05
2.94570547E-02 1.24965424412173162E-01 4.68662685926005509E-04 6.79287859602811962E-05 5.73853488951334129E-05 5.33021663842989224E-05
3.68222961E-02 1.24961635927292869E-01 4.68672296232525761E-04 5.90047783566702134E-05 5.74173060792713806E-05 5.33207934166254001E-05
4.41879350E-02 1.24957850089817635E-01 4.68687210783218591E-04 4.57219701226811332E-05 5.74531986670460577E-05 5.33426851142126206E-05
5.15540343E-02 1.24954064482930047E-01 4.68707421976444737E-04 2.81044867780618496E-05 5.74924827451599589E-05 5.33675311275375730E-05
5.89205461E-02 1.24950278294897132E-01 4.68732928030906866E-04 6.15017550803764012E-06 5.75348466899686063E-05 5.33951371331604718E-05
6.62873124E-02 1.24946491287836359E-01 4.68763728726644916E-04 -2.01379586851691568E-05 5.75800936497257451E-05 5.34253805265969922E-05
7.36543968E-02 1.24942703283410936E-01 4.68799825463882464E-04 -5.07557903539533969E-05 5.76280734530679531E-05 5.34581808100021384E-05
8.10218629E-02 1.24938914161678502E-01 4.68841220302917841E-04 -8.56985748234019768E-05 5.76786382519748844E-05 5.34934733986821840E-05
8.83897742E-02 1.24935123822734556E-01 4.68887915819399021E-04 -1.24961593129369254E-04 5.77316423766102585E-05 5.35311977455084034E-05
9.57581943E-02 1.24931332173827431E-01 4.68939915055399377E-04 -1.68540147188404703E-04 5.77869541016741504E-05 5.35712964475640666E-05
1.03127186E-01 1.24927539125001444E-01 4.68997221502330443E-04 -2.16429279389175123E-04 5.78444579024447049E-05 5.36137156791283902E-05
1.10496814E-01 1.24923744587712035E-01 4.69059839094629902E-04 -2.68623706357198867E-04 5.79040545464364932E-05 5.36584082057677044E-05
