#  time, MeanKE MeanKEDR MeanP MeanNuT MeanLesProduction MeanStrainRate
0 1.24924716013033330E-01 5.21717878919218973E-04 -5.53602782891480650E-18 5.73241610719326763E-05 5.32501107546020432E-05 0.00000000000000000E+00
1.47262156E-02 1.24915480605281043E-01 5.21698067974589951E-04 2.36966121795798782E-04 5.73389767429204232E-05 5.32543657211908620E-05 5.51303708651876723E-01
2.94624006E-02 1.24907352606004496E-01 5.21720628992047505E-04 2.49956287445941253E-04 5.73787079681554798E-05 5.32756810650872960E-05 5.51309042486100687E-01
4.41999243E-02 1.24899590414364867E-01 5.21780513935800501E-04 2.26523695628054792E-04 5.74388428965604456E-05 5.33117866707742290E-05 5.51359287461693048E-01
5.89392057E-02 1.24891944695612642E-01 5.21875564208900398E-04 1.87489919698788907E-04 5.75169555231277603E-05 5.33614496946479603E-05 5.51446226664262795E-01
7.36807217E-02 1.24884331762152287E-01 5.22004142328250922E-04 1.31690666659315541E-04 5.76092585460872327E-05 5.34233303187567086E-05 5.51565232377329240E-01
8.84249676E-02 1.24876723210591220E-01 5.22164698016390006E-04 5.87991257720901818E-05 5.77127286485073680E-05 5.34959616229206984E-05 5.51713172684694220E-01
1.03172443E-01 1.24869109086656188E-01 5.22356228163366534E-04 -3.11499969798180137E-05 5.78256782063959668E-05 5.35783477098879219E-05 5.51887701668342001E-01
1.17922821E-01 1.24861486026167687E-01 5.22578120851832336E-04 -1.38122765754835833E-04 5.79470761664039666E-05 5.36698617398692043E-05 5.52086923189628043E-01
1.32674791E-01 1.24853853237277518E-01 5.22829977540553324E-04 -2.62061804614311604E-04 5.80761699948348432E-05 5.37700911759126266E-05 5.52309175426974552E-01
1.47428858E-01 1.24846209684044251E-01 5.23111551336868127E-04 -4.02911859584397577E-04 5.82123498548371758E-05 5.38787534634436701E-05 5.52552926881090145E-01
1.62185524E-01 1.24838554565856547E-01 5.23422677553998968E-04 -5.60612921521163135E-04 5.83550892390437460E-05 5.39956404746142152E-05 5.52816818626650663E-01
1.76945291E-01 1.24830887163632540E-01 5.23763209334199937E-04 -7.35100495303440005E-04 5.85038920635017268E-05 5.41205547349449137E-05 5.53099651260000602E-01
1.91708655E-01 1.24823206788403127E-01 5.24133052347819199E-04 -9.26305456131190207E-04 5.86583394213289065E-05 5.42533443457807616E-05 5.53400371980015682E-01
2.06476109E-01 1.24815512763644013E-01 5.24532128345100036E-04 -1.13415401045422978E-03 5.88180526020402891E-05 5.43938666359869988E-05 5.53718051277312107E-01
2.21248142E-01 1.24807804419274596E-01 5.24960383746323226E-04 -1.35856759506481923E-03 5.89826969958276432E-05 5.45419968114632179E-05 5.54051861827309700E-01
2.36025239E-01 1.24800081089502496E-01 5.25417805102577407E-04 -1.59946275933722879E-03 5.91519926060661585E-05 5.46976434636678755E-05 5.54401062628717578E-01
2.50807876E-01 1.24792342111759921E-01 5.25904405483534226E-04 -1.85675102471364781E-03 5.93256969883034020E-05 5.48607350035994873E-05 5.54764987834634127E-01
2.65596528E-01 1.24784586826176241E-01 5.26420214710017226E-04 -2.13033874118615310E-03 5.95035948368046391E-05 5.50312099408494835E-05 5.55143039288062190E-01
2.80391660E-01 1.24776814575313408E-01 5.26965282477096951E-04 -2.42012693189727103E-03 5.96855013783498909E-05 5.52090200541775089E-05 5.55534681592511292E-01
2.95193733E-01 1.24769024703953318E-01 5.27539680238687907E-04 -2.72601112962606333E-03 5.98712583969495451E-05 5.53941323249720503E-05 5.55939436596106562E-01
3.10003197E-01 1.24761216558893176E-01 5.28143500977351524E-04 -3.04788120411716599E-03 6.00607147789879148E-05 5.55865287574122980E-05 5.56356869208376570E-01
3.24819160E-01 1.24753390195657454E-01 5.28776797411461197E-04 -3.38559040557573137E-03 6.02536846925605634E-05 5.57861848254561390E-05 5.56786556997225679E-01
3.39640990E-01 1.24745545533692465E-01 5.29439640487765727E-04 -3.73898646357956289E-03 6.04499708765053132E-05 5.59930873394131446E-05 5.57228020465946439E-01
3.54469147E-01 1.24737681915895252E-01 5.30132162078571158E-04 -4.10793407917877437E-03 6.06493996183880309E-05 5.62072478695932037E-05 5.57680772667332403E-01
3.69304083E-01 1.24729798686619833E-01 5.30854508566608839E-04 -4.49229217165212323E-03 6.08518171592911311E-05 5.64286860860435235E-05 5.58144375449262320E-01
3.84146242E-01 1.24721895191392484E-01 5.31606839366129884E-04 -4.89191344805844051E-03 6.10570892545250846E-05 5.66574283399768402E-05 5.58618427135544882E-01
3.98996061E-01 1.24713970776787295E-01 5.32389328444035940E-04 -5.30664410826789477E-03 6.12650999658416657E-05 5.68935092465596608E-05 5.59102566118658939E-01
4.13853968E-01 1.24706024790320405E-01 5.33202164824424273E-04 -5.73632363355639548E-03 6.14757496303101815E-05 5.71369722526140735E-05 5.59596467899142525E-01
4.28720381E-01 1.24698056580355307E-01 5.34045551085337114E-04 -6.18078457025102602E-03 6.16889518859977141E-05 5.73878681980846372E-05 5.60099841358878248E-01
4.43595711E-01 1.24690065496014232E-01 5.34919701880733891E-04 -6.63985230615132208E-03 6.19046318218361514E-05 5.76462539041136459E-05 5.60612426000660857E-01
4.58480358E-01 1.24682050887117021E-01 5.35824843772154968E-04 -7.11334484446490660E-03 6.21227263532971833E-05 5.79121920723957526E-05 5.61133990373809732E-01
4.73374713E-01 1.24674012104107459E-01 5.36761215688652993E-04 -7.60107257069941779E-03 6.23431856212637033E-05 5.81857518145097015E-05 5.61664331452932597E-01
4.88279157E-01 1.24665948498004872E-01 5.37729069030195217E-04 -8.10283801573729624E-03 6.25659726754483045E-05 5.84670088264757182E-05 5.62203274087446414E-01
5.03194061E-01 1.24657859420338843E-01 5.38728667275727440E-04 -8.61843561495681011E-03 6.27910576720396994E-05 5.87560450700704085E-05 5.62750667942048199E-01
5.18119785E-01 1.24649744223091066E-01 5.39760285326464518E-04 -9.14765146280129525E-03 6.30184056769488872E-05 5.90529481914353038E-05 5.63306377515456425E-01
5.33056678E-01 1.24641602258653256E-01 5.40824208800116707E-04 -9.69026306344261158E-03 6.32479674211411066E-05 5.93578108932078338E-05 5.63870264936577881E-01
5.48004579E-01 1.24633433153596748E-01 5.41920696184536657E-04 -1.02460202957865877E-02 6.34796755118036864E-05 5.96707198471184262E-05 5.64442177820058122E-01
5.62962352E-01 1.24625237063539548E-01 5.43049938042910259E-04 -1.08146254058509306E-02 6.37134482250140214E-05 5.99917442158996153E-05 5.65021935210545001E-01
