#  time, MeanKE MeanKEDR MeanP
0 1.24924716013033330E-01 4.77888236035722478E-04 -5.53602782891480650E-18
1.47262156E-02 1.24916022403773169E-01 4.77866812270812591E-04 2.35970322480032619E-04
2.94623691E-02 1.24908437084148241E-01 4.77873757003746658E-04 2.47990502195177766E-04
4.41998293E-02 1.24901218059470090E-01 4.77905899837262902E-04 2.23805673740282222E-04
5.89390147E-02 1.24894116104553407E-01 4.77962100513735914E-04 1.84081990401721980E-04
7.36804012E-02 1.24887047698107198E-01 4.78041810140766605E-04 1.27415895098753878E-04
8.84244830E-02 1.24879984606768774E-01 4.78144674900990191E-04 5.38636132588083820E-05
1.03171759E-01 1.24872917032630412E-01 4.78270508056744556E-04 -3.68817107427704796E-05
1.17921914E-01 1.24865841715339779E-01 4.78419213658125644E-04 -1.44651983931311462E-04
1.32673628E-01 1.24858757929931077E-01 4.78590733523529986E-04 -2.69410530259382014E-04
1.47427405E-01 1.24851664761523790E-01 4.78785054226003859E-04 -4.11104215703763038E-04
1.62183746E-01 1.24844561524384001E-01 4.79002181529960083E-04 -5.69674853652364665E-04
1.76943150E-01 1.24837447609745036E-01 4.79242132149651739E-04 -7.45059659993768685E-04
1.91706112E-01 1.24830322435084448E-01 4.79504935823199974E-04 -9.37191147100955202E-04
2.06473122E-01 1.24823185427160185E-01 4.79790630312601875E-04 -1.14599708434236680E-03
2.21244669E-01 1.24816036016395501E-01 4.80099266552414417E-04 -1.37140040801914066E-03
2.36021234E-01 1.24808873634961098E-01 4.80430906919030224E-04 -1.61331910678062860E-03
2.50803294E-01 1.24801697716135362E-01 4.80785622793864452E-04 -1.87166609351590999E-03
2.65591321E-01 1.24794507694095946E-01 4.81163494934548316E-04 -2.14634906648732832E-03
2.80385780E-01 1.24787303003872460E-01 4.81564613860048973E-04 -2.43727036004419547E-03
2.95187129E-01 1.24780083081309529E-01 4.81989079584877855E-04 -2.74432678617956465E-03
3.09995821E-01 1.24772847363085734E-01 4.82437000901324699E-04 -3.06740946728456879E-03
3.24811026E-01 1.24765595909844831E-01 4.82908453570548353E-04 -3.40637420222719570E-03
3.39632051E-01 1.24758328717793535E-01 4.83403518441033139E-04 -3.76106853296919808E-03
3.54459353E-01 1.24751045217813092E-01 4.83922318473828329E-04 -4.13135837879442108E-03
3.69293384E-01 1.24743744841628923E-01 4.84464984638817192E-04 -4.51710379889565597E-03
3.84134587E-01 1.24736427021684582E-01 4.85031656036132616E-04 -4.91815862602889252E-03
3.98983399E-01 1.24729091191112071E-01 4.85622479571836568E-04 -5.33437017345656656E-03
4.13840246E-01 1.24721736783750106E-01 4.86237609626320277E-04 -5.76557902647084966E-03
4.28705547E-01 1.24714363234176423E-01 4.86877208006298635E-04 -6.21161882757790846E-03
4.43579713E-01 1.24706969977736531E-01 4.87541443968140761E-04 -6.67231605502936580E-03
4.58463144E-01 1.24699556450583712E-01 4.88230494110059271E-04 -7.14748979644543644E-03
4.73356229E-01 1.24692122089710089E-01 4.88944542164755961E-04 -7.63695151627750979E-03
4.88259351E-01 1.24684666332985916E-01 4.89683778791697127E-04 -8.14050481921176419E-03
5.03172879E-01 1.24677188619190263E-01 4.90448401426504333E-04 -8.65794520748468764E-03
5.18097173E-01 1.24669688388058586E-01 4.91238614187687215E-04 -9.18905983756125935E-03
5.33032583E-01 1.24662165080329901E-01 4.92054627806466876E-04 -9.73362726901095578E-03
5.47979017E-01 1.24654618354681182E-01 4.92896634971832755E-04 -1.02914010172094877E-02
5.62935270E-01 1.24647048430001794E-01 4.93764766998852503E-04 -1.08620815859222231E-02
5.77901702E-01 1.24639454734907104E-01 4.94659246397072825E-04 -1.14454170963324033E-02
5.92878660E-01 1.24631836699278548E-01 4.95580302084701677E-04 -1.20411465544214540E-02
6.07866481E-01 1.24624193754071980E-01 4.96528169259971043E-04 -1.26489995257172156E-02
6.22865489E-01 1.24616525331277331E-01 4.97503089273032052E-04 -1.32686958668572288E-02
6.37875998E-01 1.24608830863936065E-01 4.98505309503940812E-04 -1.38999454755954540E-02
6.52898307E-01 1.24601109786200148E-01 4.99535083248993698E-04 -1.45424480431278376E-02
6.67932705E-01 1.24593361533344563E-01 5.00592669613970508E-04 -1.51958928130561510E-02
6.82979469E-01 1.24585585541843721E-01 5.01678333411030857E-04 -1.58599583401870733E-02
6.98038861E-01 1.24577781249401207E-01 5.02792345055351106E-04 -1.65343122577036837E-02
7.13111132E-01 1.24569948095001798E-01 5.03934980458852714E-04 -1.72186110489884123E-02
7.28196518E-01 1.24562085518951177E-01 5.05106520919698394E-04 -1.79124998283728132E-02
7.43295245E-01 1.24554192962914825E-01 5.06307253007459712E-04 -1.86156121276191064E-02
7.58407523E-01 1.24546269869975690E-01 5.07537468444508731E-04 -1.93275696968327505E-02
7.73533549E-01 1.24538315684646975E-01 5.08797463984622276E-04 -2.00479823112401923E-02
7.88673507E-01 1.24530329852939714E-01 5.10087541289649493E-04 -2.07764475950609935E-02
8.03827568E-01 1.24522311822373166E-01 5.11408006804684617E-04 -2.15125508549874750E-02
8.18995887E-01 1.24514261042021124E-01 5.12759171632025325E-04 -2.22558649326904286E-02
8.34178608E-01 1.24506176962544263E-01 5.14141351403889029E-04 -2.30059500698664848E-02
8.49375859E-01 1.24498059036220840E-01 5.15554866153625159E-04 -2.37623537942367770E-02
8.64586772E-01 1.24489907243937520E-01 5.16999945779176521E-04 -2.45245608789659668E-02
8.79811367E-01 1.24481721090036745E-01 5.18476904778935720E-04 -2.52920884384309520E-02
8.95049782E-01 1.24473500009816329E-01 5.19986074189131894E-04 -2.60644474426893133E-02
9.10302142E-01 1.24465243440322740E-01 5.21527789203155229E-04 -2.68411359972507840E-02
9.25568557E-01 1.24456950820287085E-01 5.23102389033228274E-04 -2.76216394671393722E-02
9.40849123E-01 1.24448621590138017E-01 5.24710216769128210E-04 -2.84054305057913729E-02
9.56143923E-01 1.24440255192012933E-01 5.26351619234106363E-04 -2.91919690926064970E-02
9.71453024E-01 1.24431851069787588E-01 5.28026946837927740E-04 -2.99807026021725077E-02
9.86776481E-01 1.24423408669086813E-01 5.29736553427216108E-04 -3.07710659039272909E-02
1.00211433E+00 1.24414927437320313E-01 5.31480796133080007E-04 -3.15624814921902710E-02
1.01746660E+00 1.24406406823689225E-01 5.33260035216164756E-04 -3.23543596550286972E-02
1.03283331E+00 1.24397846279211452E-01 5.35074633909196802E-04 -3.31460986729340615E-02
1.04821445E+00 1.24389245256728995E-01 5.36924958257124839E-04 -3.39370850590316256E-02
1.06361000E+00 1.24380603210915999E-01 5.38811376955062693E-04 -3.47266938351005472E-02
1.07901993E+00 1.24371919598289887E-01 5.40734261184095473E-04 -3.55142888482709723E-02
