#  time, MeanKE MeanKEDR MeanP
0 1.24699045417061311E-01 4.67622748076602565E-04 -1.14385921606686266E-17
2.94524311E-02 1.24673887648808726E-01 6.31998764411675169E-04 9.40614860281919259E-04
5.89832912E-02 1.24652938841724958E-01 6.32047646482006439E-04 9.59888925771718070E-04
8.85234524E-02 1.24633343507676020E-01 6.32232467868972881E-04 8.50164549840868081E-04
1.18076222E-01 1.24614128363281437E-01 6.32546567538667427E-04 6.83842006267581224E-04
1.47645332E-01 1.24594964083616797E-01 6.32988379497623232E-04 4.53676443146704470E-04
1.77234625E-01 1.24575736692335612E-01 6.33558220594277540E-04 1.59718242710311855E-04
2.06847931E-01 1.24556404002604149E-01 6.34257198884637325E-04 -1.97858003331768891E-04
2.36484463E-01 1.24536950728809159E-01 6.35086718613721898E-04 -6.18214790019964446E-04
2.66132184E-01 1.24517376954634440E-01 6.36048038578603155E-04 -1.10049500949624705E-03
2.95795023E-01 1.24497674975196149E-01 6.37142913797509171E-04 -1.64378544734166223E-03
3.25476838E-01 1.24477837940254438E-01 6.38373357236807649E-04 -2.24711085206329847E-03
3.55181404E-01 1.24457859256448783E-01 6.39741585285183803E-04 -2.90940879264876048E-03
3.84912399E-01 1.24437732389354266E-01 6.41250007200767544E-04 -3.62952166177790778E-03
4.14673393E-01 1.24417450799523141E-01 6.42901215708281508E-04 -4.40619172500022246E-03
4.44467836E-01 1.24397007923368136E-01 6.44697977944546589E-04 -5.23805563922465859E-03
4.74299047E-01 1.24376397169214073E-01 6.46643226442824258E-04 -6.12363858347902967E-03
5.04170205E-01 1.24355611918624570E-01 6.48740050023851678E-04 -7.06134809834983810E-03
5.34084335E-01 1.24334645529716542E-01 6.50991684531181916E-04 -8.04946770849257129E-03
5.64044306E-01 1.24313491341344284E-01 6.53401503383073358E-04 -9.08615040207011448E-03
5.94052814E-01 1.24292142677782089E-01 6.55973007934781320E-04 -1.01694120475362623E-02
6.24112382E-01 1.24270592853767584E-01 6.58709817646504266E-04 -1.12971248352197410E-02
6.54225349E-01 1.24248835179843517E-01 6.61615660005774806E-04 -1.24670108441153459E-02
6.84393864E-01 1.24226862967980953E-01 6.64694360084895674E-04 -1.36766358426923165E-02
7.14611184E-01 1.24204675894706212E-01 6.67948984694182336E-04 -1.49230471638361374E-02
7.44875094E-01 1.24182270351922877E-01 6.71382861345336300E-04 -1.62032801291729298E-02
7.75187922E-01 1.24159639340284608E-01 6.74999847564380353E-04 -1.75143963668452224E-02
8.05551796E-01 1.24136775887950523E-01 6.78803925163609743E-04 -1.88532967517360366E-02
8.35968640E-01 1.24113673048365292E-01 6.82799129484239946E-04 -2.02167134692325216E-02
8.66440173E-01 1.24090323904133867E-01 6.86989538566048249E-04 -2.16012072663769837E-02
8.96967903E-01 1.24066721572973881E-01 6.91379262306669761E-04 -2.30031658101512125E-02
9.27553127E-01 1.24042859214235426E-01 6.95972431662108507E-04 -2.44188032571700797E-02
9.58196928E-01 1.24018730035430000E-01 7.00773187946689699E-04 -2.58441611836735322E-02
9.88900173E-01 1.23994327298523263E-01 7.05785672288027988E-04 -2.72751110322371482E-02
1.01966352E+00 1.23969644325831935E-01 7.11014015283645707E-04 -2.87073582229196503E-02
1.05048740E+00 1.23944674505409178E-01 7.16462326904132411E-04 -3.01364480711711832E-02
1.08137206E+00 1.23919411295785140E-01 7.22134686708595839E-04 -3.15577736226776845E-02
1.11231752E+00 1.23893848229936987E-01 7.28035134479178368E-04 -3.29665854851062118E-02
1.14332359E+00 1.23867978918348762E-01 7.34167661418164141E-04 -3.43580037264952162E-02
1.17438989E+00 1.23841797051017791E-01 7.40536202065066149E-04 -3.57270319477998310E-02
1.20551586E+00 1.23815296398255684E-01 7.47144627086689475E-04 -3.70685736474664490E-02
1.23670072E+00 1.23788470810130072E-01 7.53996737084281464E-04 -3.83774508969593475E-02
1.26794353E+00 1.23761314214395929E-01 7.61096257555154781E-04 -3.96484252154227640E-02
1.29924318E+00 1.23733820612765194E-01 7.68446835141559309E-04 -4.08762205093807993E-02
1.33059839E+00 1.23705984075369271E-01 7.76052035296247102E-04 -4.20555479725918460E-02
1.36200772E+00 1.23677798733278776E-01 7.83915341492220723E-04 -4.31811328262068084E-02
1.39346961E+00 1.23649258768952774E-01 7.92040156103741085E-04 -4.42477427144641056E-02
1.42498233E+00 1.23620358404505054E-01 8.00429803085974745E-04 -4.52502175064040529E-02
1.45654407E+00 1.23591091887691976E-01 8.09087532578443478E-04 -4.61835002055272226E-02
1.48815290E+00 1.23561453475534003E-01 8.18016527550251282E-04 -4.70426686277523320E-02
1.51980680E+00 1.23531437415520778E-01 8.27219912591238928E-04 -4.78229674748628236E-02
1.55150368E+00 1.23501037924341833E-01 8.36700764933321771E-04 -4.85198404020238463E-02
1.58324139E+00 1.23470249164136403E-01 8.46462127762443828E-04 -4.91289616526948691E-02
1.61501772E+00 1.23439065216247076E-01 8.56507025857599215E-04 -4.96462794889376835E-02
1.64683047E+00 1.23407480052559582E-01 8.66838483557681619E-04 -5.00679810392591906E-02
1.67867741E+00 1.23375487504168810E-01 8.77459545059941981E-04 -5.03906561201648631E-02
1.71055632E+00 1.23343081228063603E-01 8.88373296999345283E-04 -5.06111727262675837E-02
