#  time, MeanKE MeanKEDR MeanP
0 1.24699045417061311E-01 4.67622748076602565E-04 -1.14385921606686266E-17
2.94524311E-02 1.24673710989911132E-01 6.95151328657423405E-04 9.42904356764571821E-04
5.89831538E-02 1.24652583663732663E-01 6.95198532403126313E-04 9.65338940771096922E-04
8.85230437E-02 1.24632806751226330E-01 6.95399428279713859E-04 8.58062769363972960E-04
1.18075415E-01 1.24613405274002068E-01 6.95746108916649154E-04 6.94221493944193022E-04
1.47644012E-01 1.24594048477096556E-01 6.96236750892913637E-04 4.66556690053929006E-04
1.77232689E-01 1.24574621177215725E-01 6.96871787403132554E-04 1.75123117410450784E-04
2.06845292E-01 1.24555080150642580E-01 6.97652604471043635E-04 -1.79897583976276396E-04
2.36480865E-01 1.24535409364673041E-01 6.98580955849748171E-04 -5.97666530752319325E-04
2.66127502E-01 1.24515608157066637E-01 6.99658472365965924E-04 -1.07732557615295246E-03
2.95789147E-01 1.24495668134821630E-01 7.00887336227863991E-04 -1.61795902541197914E-03
3.25469673E-01 1.24475581835077342E-01 7.02270046578486792E-04 -2.21859019295490368E-03
3.55172877E-01 1.24455342117401196E-01 7.03809346160198823E-04 -2.87815570670421411E-03
3.84902458E-01 1.24434941958339720E-01 7.05508207625298880E-04 -3.59549765498201309E-03
4.14662009E-01 1.24414374381703857E-01 7.07369821297767218E-04 -4.36935865940746467E-03
4.44455003E-01 1.24393632434973492E-01 7.09397583404225169E-04 -5.19837640108121966E-03
4.74284782E-01 1.24372709181796631E-01 7.11595084389504478E-04 -6.08107775142415798E-03
5.04154544E-01 1.24351597700417024E-01 7.13966097150661662E-04 -7.01587260587301607E-03
5.34067335E-01 1.24330291084523689E-01 7.16514565111640118E-04 -8.00104749897548491E-03
5.64026039E-01 1.24308782445246790E-01 7.19244590106872831E-04 -9.03475907575027395E-03
5.94033369E-01 1.24287064913812528E-01 7.22160420071982093E-04 -1.01150275039940864E-02
6.24091859E-01 1.24265131644649918E-01 7.25266436540149208E-04 -1.12397299155551633E-02
6.54203858E-01 1.24242975818899731E-01 7.28567141873435803E-04 -1.24065939777630672E-02
6.84371524E-01 1.24220590648308218E-01 7.32067146060330046E-04 -1.36131917005617321E-02
7.14587041E-01 1.24197976663463966E-01 7.35770104091232010E-04 -1.48565341936103754E-02
7.44849243E-01 1.24175129515456645E-01 7.39680112537126149E-04 -1.61337041448569932E-02
7.75160470E-01 1.24152042182958694E-01 7.43801799141031441E-04 -1.74417728926324900E-02
8.05522861E-01 1.24128707691894158E-01 7.48139920882752961E-04 -1.87776508435677399E-02
8.35938349E-01 1.24105119111753343E-01 7.52699285810845163E-04 -2.01380803588279110E-02
8.66408661E-01 1.24081269557427099E-01 7.57484739684064975E-04 -2.15196330047039419E-02
8.96935309E-01 1.24057152192801654E-01 7.62501152691284051E-04 -2.29187078921622642E-02
9.27519595E-01 1.24032760234721526E-01 7.67753406322117696E-04 -2.43315312214045024E-02
9.58162604E-01 1.24008086956821570E-01 7.73246380466307659E-04 -2.57541571820984888E-02
9.88865209E-01 1.23983125693031937E-01 7.78984940812952210E-04 -2.71824703574562662E-02
1.01962807E+00 1.23957869840648549E-01 7.84973926604947401E-04 -2.86121897816899312E-02
1.05045162E+00 1.23932312862887223E-01 7.91218138799402743E-04 -3.00388747816918711E-02
1.08133612E+00 1.23906448290820967E-01 7.97722328712861784E-04 -3.14579327185531277E-02
1.11228158E+00 1.23880269724572653E-01 8.04491187287135839E-04 -3.28646287027772252E-02
1.14328783E+00 1.23853770833594959E-01 8.11529335161796823E-04 -3.42540973552944161E-02
1.17435451E+00 1.23826945355893100E-01 8.18841313757502133E-04 -3.56213567173739795E-02
1.20548104E+00 1.23799787096029998E-01 8.26431577567206060E-04 -3.69613244294323406E-02
1.23666667E+00 1.23772289921784712E-01 8.34304487839488546E-04 -3.82688362026097489E-02
1.26791048E+00 1.23744447759327220E-01 8.42464307828569184E-04 -3.95386664790632891E-02
1.29921136E+00 1.23716254586789975E-01 8.50915199778859302E-04 -4.07655511467078166E-02
1.33056804E+00 1.23687704426105480E-01 8.59661223806777318E-04 -4.19442122081783511E-02
1.36197911E+00 1.23658791332997023E-01 8.68706338839171795E-04 -4.30693842874344257E-02
1.39344301E+00 1.23629509385003639E-01 8.78054405766304745E-04 -4.41358427968772463E-02
1.42495803E+00 1.23599852667431426E-01 8.87709192966103146E-04 -4.51384335207259332E-02
1.45652238E+00 1.23569815257139934E-01 8.97674384351670497E-04 -4.60721033205961361E-02
1.48813414E+00 1.23539391204088689E-01 9.07953590081645736E-04 -4.69319316299456404E-02
1.51979131E+00 1.23508574510586722E-01 9.18550360051315767E-04 -4.77131623680970771E-02
1.55149180E+00 1.23477359108231086E-01 9.29468200252136622E-04 -4.84112358744145932E-02
1.58323348E+00 1.23445738832528920E-01 9.40710592051614857E-04 -4.90218204416082021E-02
1.61501416E+00 1.23413707395235578E-01 9.52281014409959363E-04 -4.95408556345931020E-02
1.64683166E+00 1.23381258354512455E-01 9.64182968998476787E-04 -4.99645170522324336E-02
1.67868376E+00 1.23348385082680229E-01 9.76420008187505557E-04 -5.02893808562476438E-02
1.71056826E+00 1.23315080732277427E-01 9.88995765794671491E-04 -5.05122977256898323E-02
1.74248302E+00 1.23281338199766430E-01 1.00191399048748229E-03 -5.06305077245421190E-02
1.77442591E+00 1.23247150087458235E-01 1.01517858171454051E-03 -5.06416232780398934E-02
1.80639490E+00 1.23212508663561940E-01 1.02879362800914931E-03 -5.05437129790364467E-02
1.83838805E+00 1.23177405820493857E-01 1.04276344751214902E-03 -5.03351325906619060E-02
1.87040352E+00 1.23141833031422121E-01 1.05709263053565075E-03 -5.00148179851897731E-02
1.90243961E+00 1.23105781305256429E-01 1.07178608400885231E-03 -4.95820340804142695E-02
1.93449477E+00 1.23069241139962676E-01 1.08684907764061895E-03 -4.90365140230023325E-02
1.96656761E+00 1.23032202474314317E-01 1.10228729165107566E-03 -4.83784183238479548E-02
1.99865694E+00 1.22994654638030720E-01 1.11810686594721303E-03 -4.76083341808253638E-02
2.03076177E+00 1.22956586300275061E-01 1.13431445064417495E-03 -4.67272665890675828E-02
2.06288131E+00 1.22917985416441458E-01 1.15091725786728200E-03 -4.57366260274083419E-02
2.09501505E+00 1.22878839173134552E-01 1.16792311480685084E-03 -4.46382130150531423E-02
2.12716269E+00 1.22839133931218147E-01 1.18534051803741592E-03 -4.34341998481197616E-02
2.15932422E+00 1.22798855166781309E-01 1.20317868915455163E-03 -4.21271098710881003E-02
2.19149989E+00 1.22757987409841035E-01 1.22144763182548978E-03 -4.07197946666082444E-02
2.22369025E+00 1.22716514180577274E-01 1.24015819039384532E-03 -3.92154095703043937E-02
2.25589615E+00 1.22674417922873050E-01 1.25932211022368110E-03 -3.76173879262603969E-02
2.28811872E+00 1.22631679934894405E-01 1.27895210001192005E-03 -3.59294144995866774E-02
2.32035943E+00 1.22588280296437910E-01 1.29906189633817492E-03 -3.41553984535305569E-02
2.35262004E+00 1.22544197792729417E-01 1.31966633075258823E-03 -3.22994462824921433E-02
2.38490264E+00 1.22499409834346623E-01 1.34078139972086609E-03 -3.03658350634268270E-02
2.41720963E+00 1.22453892372902606E-01 1.36242433774866963E-03 -2.83589863614472637E-02
2.44954372E+00 1.22407619812116217E-01 1.38461369400030843E-03 -2.62834410830965273E-02
2.48190794E+00 1.22360564913853082E-01 1.40736941272627926E-03 -2.41438355341287991E-02
2.51430563E+00 1.22312698698709810E-01 1.43071291785416463E-03 -2.19448788916323176E-02
2.54673618E+00 1.22263996770807543E-01 1.45466461202599568E-03 -1.96916225766113721E-02
2.57919118E+00 1.22214445699366792E-01 1.47924066158739462E-03 -1.73897454581312567E-02
2.61167405E+00 1.22164013225474849E-01 1.50446438824097784E-03 -1.50441887875056180E-02
2.64418852E+00 1.22112664975010138E-01 1.53036239994754444E-03 -1.26598681980212204E-02
