#  time, MeanKE MeanKEDR MeanP MeanNuT MeanLesProduction
0 1.23799080025204067E-01 4.64267661059243077E-04 -1.51224789980457778E-17 2.99035278386962800E-04 3.19114792965771504E-04
5.89048623E-02 1.23733789473305267E-01 4.64186986914590419E-04 3.64177235201771244E-03 2.99123988656512874E-04 3.18990296724218933E-04
1.18428952E-01 1.23682142460943403E-01 4.64492488419256317E-04 3.63678162229991771E-03 2.99481938138311705E-04 3.19244550822581606E-04
1.78017052E-01 1.23634204788273694E-01 4.65148201136701396E-04 3.22031510353386818E-03 3.00032823612672139E-04 3.19840310999065748E-04
2.37694810E-01 1.23586442003545308E-01 4.66143418716570503E-04 2.63445325019779145E-03 3.00736342853534099E-04 3.20773848721178352E-04
2.97490467E-01 1.23537622548340789E-01 4.67477419069054357E-04 1.85262721640632334E-03 3.01567763618709153E-04 3.22055655090432711E-04
3.57432283E-01 1.23487293382898086E-01 4.69153710178476450E-04 8.79853048025820835E-04 3.02510629188239191E-04 3.23703006596695684E-04
4.17547486E-01 1.23435261906485461E-01 4.71178020418082041E-04 -2.76020638071906919E-04 3.03552798046082949E-04 3.25737171542521821E-04
4.77861726E-01 1.23381422818663392E-01 4.73557570730249620E-04 -1.60529477460449941E-03 3.04683586479397527E-04 3.28182197687961483E-04
5.38263980E-01 1.23325823943832708E-01 4.76294257886318193E-04 -3.09323950869445051E-03 3.05889784113333072E-04 3.31057303089077922E-04
5.98773440E-01 1.23268412854079440E-01 4.79394946597958341E-04 -4.72531527847800444E-03 3.07161535986431259E-04 3.34386905808512988E-04
6.59418368E-01 1.23209132047639489E-01 4.82867924130942557E-04 -6.48585303498093284E-03 3.08491480132757809E-04 3.38196800768749458E-04
7.20225148E-01 1.23147926224870627E-01 4.86722381668997439E-04 -8.35761843445025250E-03 3.09874776452222635E-04 3.42513319774226540E-04
7.81218026E-01 1.23084741893908889E-01 4.90968276716687046E-04 -1.03217120513277860E-02 3.11308798642969894E-04 3.47362900759619873E-04
8.42418894E-01 1.23019527623104738E-01 4.95616182537114811E-04 -1.23575311950566008E-02 3.12792756892971255E-04 3.52771661626180642E-04
9.03847101E-01 1.22952234522914330E-01 5.00677123838790612E-04 -1.44427609963741245E-02 3.14327419622867799E-04 3.58764977663249371E-04
9.65519312E-01 1.22882816793795618E-01 5.06162399578340139E-04 -1.65534020893045725E-02 3.15914943582357307E-04 3.65367068256686233E-04
1.02744941E+00 1.22811232259616238E-01 5.12083394935311650E-04 -1.86638432600461958E-02 3.17558759557531954E-04 3.72600604718881852E-04
1.08964846E+00 1.22737442830573570E-01 5.18451385624556335E-04 -2.07469862973297461E-02 3.19263403311101607E-04 3.80486356719130176E-04
1.15212469E+00 1.22661414846076441E-01 5.25277338834739338E-04 -2.27744287127947601E-02 3.21034128812850621E-04 3.89042899065011872E-04
1.21488358E+00 1.22583119250540024E-01 5.32571716196476169E-04 -2.47167078611591796E-02 3.22876228364870786E-04 3.98286401492511087E-04
1.27792801E+00 1.22502531558563235E-01 5.40344285214474653E-04 -2.65436073087341844E-02 3.24794320202733571E-04 4.08230521185709702E-04
1.34125836E+00 1.22419631570460249E-01 5.48603946433245081E-04 -2.82245231423325811E-02 3.26792103059326763E-04 4.18886415678883120E-04
1.40487286E+00 1.22334402802349168E-01 5.57358584125875476E-04 -2.97288843613004831E-02 3.28872702019283381E-04 4.30262897719580688E-04
1.46876781E+00 1.22246831599170491E-01 5.66614948430577570E-04 -3.10266178500807344E-02 3.31039159435438904E-04 4.42366758763435572E-04
