#  time, MeanKE MeanKEDR MeanP MeanNuT MeanLesProduction
0 1.24699045417004245E-01 4.67622748076392068E-04 -1.16783768910644872E-17 3.00265312788478142E-04 3.21895706960341769E-04
2.94524311E-02 1.24671635883678161E-01 4.67561975822023735E-04 9.46924077451031620E-04 3.00283546519579739E-04 3.21820317064822644E-04
5.89833439E-02 1.24648428302554320E-01 4.67601395958921085E-04 9.84610456816909733E-04 3.00385693958909344E-04 3.21843648471285501E-04
8.85236170E-02 1.24626569090448489E-01 4.67730371659072193E-04 8.87270452304153340E-04 3.00552396228826054E-04 3.21953642920288065E-04
1.18076569E-01 1.24605081916764310E-01 4.67945401546733736E-04 7.33410489087462356E-04 3.00773123667455293E-04 3.22146934495561813E-04
1.47645951E-01 1.24583634692912781E-01 4.68245505175093435E-04 5.15781369718226941E-04 3.01041026409108563E-04 3.22423342886202788E-04
1.77235626E-01 1.24562110964305292E-01 4.68630616013132801E-04 2.34463572499822337E-04 3.01351180034003651E-04 3.22783945717301009E-04
2.06849453E-01 1.24540466293224780E-01 4.69101041583134919E-04 -1.10331012103743935E-04 3.01699706446381481E-04 3.23230420645229620E-04
2.36486374E-01 1.24518683898049751E-01 4.69657184038774894E-04 -5.17765802496194930E-04 3.02083130081229508E-04 3.23764719925356619E-04
2.66134561E-01 1.24496763055307935E-01 4.70299273370217933E-04 -9.86961834707688994E-04 3.02498019497323464E-04 3.24388776751080229E-04
2.95797965E-01 1.24474694259698246E-01 4.71027880869035430E-04 -1.51698832683024379E-03 3.02941431435041974E-04 3.25104977254080010E-04
3.25480473E-01 1.24452468955015300E-01 4.71843682100193007E-04 -2.10685201202910838E-03 3.03410845957580622E-04 3.25915920973573743E-04
3.55185894E-01 1.24430078921388992E-01 4.72747452914291716E-04 -2.75547325426215217E-03 3.03904163081402572E-04 3.26824403285422933E-04
3.84917943E-01 1.24407516066007154E-01 4.73740066774125184E-04 -3.46167823477730929E-03 3.04419640501400344E-04 3.27833400403723879E-04
4.14680227E-01 1.24384772350407416E-01 4.74822492396369950E-04 -4.22419404503768681E-03 3.04955830825651478E-04 3.28946055497145336E-04
4.44476237E-01 1.24361839764500076E-01 4.75995791373236797E-04 -5.04164323688307842E-03 3.05511534890549126E-04 3.30165665304061836E-04
4.74309328E-01 1.24338710317123693E-01 4.77261115662377933E-04 -5.91253798012645986E-03 3.06085770708464599E-04 3.31495666964752318E-04
5.04182717E-01 1.24315376032847993E-01 4.78619704908293906E-04 -6.83527392912615904E-03 3.06677754672487308E-04 3.32939624929311782E-04
5.34099464E-01 1.24291828951415620E-01 4.80072883584175072E-04 -7.80812387596585122E-03 3.07286890590638114E-04 3.34501217870643850E-04
