#  time, MeanKE MeanKEDR MeanP
0 1.24924716013033330E-01 4.68467768164619505E-04 -5.53602782891480650E-18
1.47262156E-02 1.24913614447055982E-01 6.96530111890610493E-04 2.40680660743509988E-04
2.94624748E-02 1.24903621907993312E-01 6.96510834803361215E-04 2.71453040641436076E-04
4.42001464E-02 1.24893995858283299E-01 6.96530217849381872E-04 2.59432570044870227E-04
5.89396498E-02 1.24884486169798040E-01 6.96586080813342578E-04 2.31934262692908027E-04
7.36814628E-02 1.24875008739038451E-01 6.96677747220001841E-04 1.87477443401855862E-04
8.84260820E-02 1.24865534873374331E-01 6.96805059503523413E-04 1.26091550515748137E-04
1.03174009E-01 1.24856054366781960E-01 6.96968048161863345E-04 4.76056279868672695E-05
1.17924902E-01 1.24846563728296167E-01 6.97166810006269672E-04 -4.78838319857388634E-05
1.32677463E-01 1.24837062153177719E-01 6.97401458429805564E-04 -1.60324141965974856E-04
1.47432198E-01 1.24827548370084973E-01 6.97672146188685056E-04 -2.89656699746377493E-04
1.62189610E-01 1.24818021344772087E-01 6.97979050820187624E-04 -4.35818054331784928E-04
1.76950202E-01 1.24808480126706714E-01 6.98322370210336589E-04 -5.98740202093371609E-04
1.91714474E-01 1.24798923797290670E-01 6.98702321648328570E-04 -7.78350458945795782E-04
2.06482920E-01 1.24789351452150671E-01 6.99119141216087976E-04 -9.74571416894192593E-04
2.21256031E-01 1.24779762194818358E-01 6.99573083303743019E-04 -1.18732085316737850E-03
2.36034294E-01 1.24770155134318522E-01 7.00064420177545993E-04 -1.41651161544661865E-03
2.50818190E-01 1.24760529384078014E-01 7.00593441574335913E-04 -1.66205149294415240E-03
2.65608194E-01 1.24750884061354511E-01 7.01160454312265476E-04 -1.92384307655466599E-03
2.80404775E-01 1.24741218286802458E-01 7.01765781913796217E-04 -2.20178360881548079E-03
2.95208396E-01 1.24731531184166036E-01 7.02409764239530577E-04 -2.49576482573149504E-03
3.10019511E-01 1.24721821880016376E-01 7.03092757131111058E-04 -2.80567278927959692E-03
3.24837129E-01 1.24712090449758131E-01 7.03815069692114163E-04 -3.13135615275193227E-03
3.39660711E-01 1.24702336674424596E-01 7.04577023949037808E-04 -3.47266149240261449E-03
3.54490720E-01 1.24692559676991749E-01 7.05378997192530476E-04 -3.82944945842258718E-03
3.69327611E-01 1.24682758582167083E-01 7.06221387692348643E-04 -4.20157512524973846E-03
3.84171830E-01 1.24672932516247933E-01 7.07104607909646190E-04 -4.58888739476292790E-03
3.99023818E-01 1.24663080606981891E-01 7.08029084132532531E-04 -4.99122868157312986E-03
4.13884004E-01 1.24653201983447079E-01 7.08995256115420346E-04 -5.40843470709570333E-03
4.28752810E-01 1.24643295775921190E-01 7.10003576721200485E-04 -5.84033428797986649E-03
4.43630649E-01 1.24633361115762301E-01 7.11054511564981483E-04 -6.28674911915325270E-03
4.58517925E-01 1.24623397135293357E-01 7.12148538658637456E-04 -6.74749355180131755E-03
4.73415030E-01 1.24613402967702902E-01 7.13286148056035897E-04 -7.22237436634291536E-03
4.88322349E-01 1.24603377746944174E-01 7.14467841498294103E-04 -7.71119054152060932E-03
5.03240256E-01 1.24593320607646510E-01 7.15694132059299269E-04 -8.21373301907428813E-03
5.18169113E-01 1.24583230685042762E-01 7.16965543789852846E-04 -8.72978446427110158E-03
5.33109273E-01 1.24573107114925322E-01 7.18282611356142135E-04 -9.25911902349957003E-03
5.48060365E-01 1.24562949518763719E-01 7.19645823016265042E-04 -9.80147631650603833E-03
5.63021457E-01 1.24552757896498251E-01 7.21055614845532954E-04 -1.03565640394025649E-02
5.77992913E-01 1.24542531366650333E-01 7.22512520196550573E-04 -1.09241255362090648E-02
5.92975083E-01 1.24532269047997773E-01 7.24017098476620823E-04 -1.15038956966315286E-02
6.07968308E-01 1.24521970059474504E-01 7.25569918042837624E-04 -1.20956001567920409E-02
6.22972915E-01 1.24511633520124995E-01 7.27171555825102938E-04 -1.26989549647167754E-02
6.37989223E-01 1.24501258549096466E-01 7.28822596947301983E-04 -1.33136663377265829E-02
6.53017534E-01 1.24490844265657236E-01 7.30523634346746096E-04 -1.39394304235301320E-02
6.68058142E-01 1.24480389789192361E-01 7.32275268392445534E-04 -1.45759330643399909E-02
6.83111326E-01 1.24469894239215964E-01 7.34078106502488782E-04 -1.52228495647955316E-02
6.98177354E-01 1.24459356735391366E-01 7.35932762761156009E-04 -1.58798444675393932E-02
