#  time, MeanKE MeanKEDR MeanP
0 1.23799080025198585E-01 6.89915895142252677E-04 -1.46012263020141482E-17
5.89048623E-02 1.23737880537068287E-01 6.89775888770753935E-04 3.63448108619570786E-03
1.18428117E-01 1.23690366670665047E-01 6.90290336602271209E-04 3.59989935036283092E-03
1.78014522E-01 1.23646578249709899E-01 6.91396911139488773E-04 3.16531265979415159E-03
2.37689691E-01 1.23602989832649154E-01 6.93082503169618631E-04 2.55951085905295429E-03
2.97481814E-01 1.23558378687416578E-01 6.95354052833180129E-04 1.75812140886341412E-03
3.57419086E-01 1.23512300233129119E-01 6.98227538598487256E-04 7.65174878740913561E-04
4.17528652E-01 1.23464570043772037E-01 7.01723995107716839E-04 -4.11451850749245643E-04
4.77836071E-01 1.23415090821659024E-01 7.05867931412164080E-04 -1.76214458080413221E-03
5.38231410E-01 1.23363907456054203E-01 7.10675151519737209E-04 -3.27223499024311120E-03
5.98732997E-01 1.23310975443805232E-01 7.16170062480093930E-04 -4.92723673371190003E-03
6.59369013E-01 1.23256245355057970E-01 7.22379549266510086E-04 -6.71154046909170840E-03
7.20165746E-01 1.23199670038703468E-01 7.29331807766867555E-04 -8.60796067123376953E-03
7.81147331E-01 1.23141204264258314E-01 7.37055904887491458E-04 -1.05976329720337201E-02
8.42335543E-01 1.23080805001303376E-01 7.45581328711718153E-04 -1.26599742661220455E-02
9.03749606E-01 1.23018431921354685E-01 7.54937527210680723E-04 -1.47726721946306906E-02
9.65406060E-01 1.22954047960148263E-01 7.65153440385760489E-04 -1.69117112683435968E-02
1.02731866E+00 1.22887619861262024E-01 7.76257036247792994E-04 -1.90514440711990127E-02
1.08949835E+00 1.22819118646444125E-01 7.88274866147905184E-04 -2.11647148621552893E-02
1.15195323E+00 1.22748519964329644E-01 8.01231659149299284E-04 -2.32230413397021482E-02
1.21468869E+00 1.22675804271366012E-01 8.15149976958955613E-04 -2.51968582013839225E-02
1.27770746E+00 1.22600956801636379E-01 8.30049950016424165E-04 -2.70558234457540861E-02
1.34100985E+00 1.22523967286483113E-01 8.45949114843892670E-04 -2.87691852040394512E-02
1.40459396E+00 1.22444829389161791E-01 8.62862376158394519E-04 -3.03062033594045273E-02
1.46845599E+00 1.22363539825687220E-01 8.80802121079630779E-04 -3.16366165855077319E-02
1.53259057E+00 1.22280097154232187E-01 8.99778510456909655E-04 -3.27311421023482874E-02
1.59699117E+00 1.22194500230945483E-01 9.19799963836229586E-04 -3.35619926258113530E-02
1.66165050E+00 1.22106746345772330E-01 9.40873843968031043E-04 -3.41033926293502765E-02
1.72656098E+00 1.22016829065622126E-01 9.63007335984524915E-04 -3.43320710907251553E-02
1.79171523E+00 1.21924735823410624E-01 9.86208505786699986E-04 -3.42278703104390708E-02
1.85710654E+00 1.21830445299392562E-01 1.01048751287203999E-03 -3.37734168896656473E-02
1.92272935E+00 1.21733924640892277E-01 1.03585794550785956E-03 -3.29561366018388674E-02
1.98857975E+00 1.21635126572589125E-01 1.06233824415901128E-03 -3.17663411413266067E-02
2.05465591E+00 1.21533986423885798E-01 1.08995317888930837E-03 -3.01990361446118072E-02
2.12095852E+00 1.21430419102713849E-01 1.11873535115536026E-03 -2.82532660370319287E-02
2.18749114E+00 1.21324316014306266E-01 1.14872669597728999E-03 -2.59322484078308886E-02
2.25426055E+00 1.21215541906513791E-01 1.17997996859106093E-03 -2.32432480189465052E-02
2.32127702E+00 1.21103931598897208E-01 1.21256021012595082E-03 -2.01973822528996733E-02
2.38855450E+00 1.20989286530112344E-01 1.24654620135991405E-03 -1.68093592044915585E-02
2.45611084E+00 1.20871371037320097E-01 1.28203193551802296E-03 -1.30971611285013462E-02
