#  time, MeanKE MeanKEDR MeanP MeanNuT MeanLesProduction
0 1.23799080025204067E-01 4.64267661059243077E-04 -1.51224789980457778E-17 2.99035278386962800E-04 3.19114792965771612E-04
5.89048623E-02 1.23733789473305267E-01 4.64186986914590419E-04 3.64177235201738501E-03 2.99123988656512874E-04 3.18990296724219096E-04
1.18428952E-01 1.23682142460943403E-01 4.64492488419256317E-04 3.63678162230165591E-03 2.99481938138311760E-04 3.19244550822581714E-04
1.78017052E-01 1.23634204788273666E-01 4.65148201136701342E-04 3.22031510353083718E-03 3.00032823612672247E-04 3.19840310999065910E-04
2.37694810E-01 1.23586442003545308E-01 4.66143418716570503E-04 2.63445325019973781E-03 3.00736342853534207E-04 3.20773848721178406E-04
2.97490467E-01 1.23537622548340734E-01 4.67477419069054140E-04 1.85262721640586732E-03 3.01567763618709262E-04 3.22055655090432603E-04
3.57432283E-01 1.23487293382898031E-01 4.69153710178476125E-04 8.79853048023271551E-04 3.02510629188239191E-04 3.23703006596695575E-04
4.17547486E-01 1.23435261906485294E-01 4.71178020418081391E-04 -2.76020638067195031E-04 3.03552798046082841E-04 3.25737171542521279E-04
4.77861726E-01 1.23381422818663225E-01 4.73557570730248807E-04 -1.60529477460624715E-03 3.04683586479397419E-04 3.28182197687960887E-04
5.38263980E-01 1.23325823943832569E-01 4.76294257886317489E-04 -3.09323950869088305E-03 3.05889784113332964E-04 3.31057303089077434E-04
5.98773440E-01 1.23268412854079232E-01 4.79394946597957474E-04 -4.72531527847872609E-03 3.07161535986431151E-04 3.34386905808512283E-04
6.59418368E-01 1.23209132047639225E-01 4.82867924130941527E-04 -6.48585303498037773E-03 3.08491480132757592E-04 3.38196800768748483E-04
7.20225148E-01 1.23147926224870433E-01 4.86722381668996571E-04 -8.35761843445029760E-03 3.09874776452222472E-04 3.42513319774225781E-04
7.81218026E-01 1.23084741893908722E-01 4.90968276716686287E-04 -1.03217120513221829E-02 3.11308798642969786E-04 3.47362900759619331E-04
8.42418894E-01 1.23019527623104655E-01 4.95616182537114485E-04 -1.23575311950578082E-02 3.12792756892971363E-04 3.52771661626180479E-04
9.03847101E-01 1.22952234522914358E-01 5.00677123838790721E-04 -1.44427609963792489E-02 3.14327419622867908E-04 3.58764977663249588E-04
9.65519312E-01 1.22882816793795799E-01 5.06162399578340789E-04 -1.65534020893071745E-02 3.15914943582357632E-04 3.65367068256687154E-04
1.02744941E+00 1.22811232259616404E-01 5.12083394935312301E-04 -1.86638432600452070E-02 3.17558759557532279E-04 3.72600604718882774E-04
1.08964846E+00 1.22737442830573723E-01 5.18451385624556986E-04 -2.07469862973299231E-02 3.19263403311101878E-04 3.80486356719131043E-04
1.15212469E+00 1.22661414846076594E-01 5.25277338834739880E-04 -2.27744287127946178E-02 3.21034128812850946E-04 3.89042899065012901E-04
1.21488358E+00 1.22583119250540218E-01 5.32571716196476820E-04 -2.47167078611586349E-02 3.22876228364871165E-04 3.98286401492512008E-04
1.27792801E+00 1.22502531558563499E-01 5.40344285214475520E-04 -2.65436073087347291E-02 3.24794320202734005E-04 4.08230521185711003E-04
1.34125836E+00 1.22419631570460596E-01 5.48603946433246490E-04 -2.82245231423339828E-02 3.26792103059327251E-04 4.18886415678884963E-04
1.40487286E+00 1.22334402802349640E-01 5.57358584125877536E-04 -2.97288843613063812E-02 3.28872702019284194E-04 4.30262897719583344E-04
1.46876781E+00 1.22246831599171032E-01 5.66614948430579956E-04 -3.10266178500797560E-02 3.31039159435439717E-04 4.42366758763438554E-04
