#  time, MeanKE MeanKEDR MeanP
0 1.24924716013033330E-01 4.68467768164619505E-04 -5.53602782891480650E-18
1.47262156E-02 1.24915981161203060E-01 4.82701739978611357E-04 2.36070879984477114E-04
2.94623693E-02 1.24908354803716926E-01 4.82704505942543806E-04 2.49066901883164874E-04
4.41998299E-02 1.24901094840716251E-01 4.82730817210970289E-04 2.25489264360679935E-04
5.89390158E-02 1.24893952016341153E-01 4.82779670975459893E-04 1.86386139197859322E-04
7.36804029E-02 1.24886842808097615E-01 4.82850747551840146E-04 1.30332211173486018E-04
8.84244851E-02 1.24879738989024561E-01 4.82943960605005155E-04 5.73928864703466204E-05
1.03171761E-01 1.24872630767681653E-01 4.83059306872809428E-04 -3.27406897617611711E-05
1.17921918E-01 1.24865514890311807E-01 4.83196807941967588E-04 -1.39901045676974628E-04
1.32673633E-01 1.24858390640767536E-01 4.83356485116499324E-04 -2.64051478649991885E-04
1.47427412E-01 1.24851257106479333E-01 4.83538382822697090E-04 -4.05138952910269175E-04
1.62183754E-01 1.24844113603279058E-01 4.83742554321740803E-04 -5.63105340388489473E-04
1.76943159E-01 1.24836959523432281E-01 4.83969060852890056E-04 -7.37887895446640452E-04
1.91706121E-01 1.24829794285023277E-01 4.84217971369897931E-04 -9.29419153602975188E-04
2.06473132E-01 1.24822617315061501E-01 4.84489362414946580E-04 -1.13762689221447427E-03
2.21244678E-01 1.24815428043872190E-01 4.84783318037694674E-04 -1.36243404192286669E-03
2.36021242E-01 1.24808225903265221E-01 4.85099929728692700E-04 -1.60375857402673657E-03
2.50803300E-01 1.24801010325915937E-01 4.85439296356618769E-04 -1.86151337379330400E-03
2.65591325E-01 1.24793780745201852E-01 4.85801524105881964E-04 -2.13560610272205435E-03
2.80385780E-01 1.24786536595159564E-01 4.86186726413341747E-04 -2.42593905062983258E-03
2.95187125E-01 1.24779277310510375E-01 4.86595023903719809E-04 -2.73240897829257886E-03
3.09995813E-01 1.24772002326682910E-01 4.87026544323407144E-04 -3.05490695146424639E-03
3.24811016E-01 1.24764711705073209E-01 4.87481383016065591E-04 -3.39328883164980713E-03
3.39632038E-01 1.24757405445010933E-01 4.87959638289991006E-04 -3.74740208088272493E-03
3.54459337E-01 1.24750082975867316E-01 4.88461447955480365E-04 -4.11711253565034529E-03
3.69293364E-01 1.24742743727785238E-01 4.88986957249456741E-04 -4.50228017505721265E-03
3.84134563E-01 1.24735387131579667E-01 4.89536318282831023E-04 -4.90275875261002390E-03
3.98983369E-01 1.24728012618720463E-01 4.90109689963521612E-04 -5.31839550058724533E-03
4.13840212E-01 1.24720619621385323E-01 4.90707237917621100E-04 -5.74903092295165914E-03
4.28705508E-01 1.24713207572478918E-01 4.91329134408735645E-04 -6.19449858081438671E-03
4.43579669E-01 1.24705775905702781E-01 4.91975558255341007E-04 -6.65462487195468601E-03
4.58463094E-01 1.24698324055590060E-01 4.92646694746133465E-04 -7.12922880472535107E-03
4.73356175E-01 1.24690851457549962E-01 4.93342735553298412E-04 -7.61812176558543993E-03
4.88259292E-01 1.24683357547936385E-01 4.94063878643801043E-04 -8.12110728315939244E-03
5.03172816E-01 1.24675841764073564E-01 4.94810328188573256E-04 -8.63798078672881227E-03
5.18097107E-01 1.24668303544322595E-01 4.95582294469609774E-04 -9.16852936120599905E-03
5.33032515E-01 1.24660742328119217E-01 4.96379993784711883E-04 -9.71253149927230400E-03
5.47978944E-01 1.24653157775785617E-01 4.97203624478069722E-04 -1.02697405493274337E-02
5.62935193E-01 1.24645550107552863E-01 4.98053325240026355E-04 -1.08398571451808305E-02
5.77901622E-01 1.24637918750903631E-01 4.98929320969296775E-04 -1.14226293218748134E-02
5.92878577E-01 1.24630263134677594E-01 4.99831843661287700E-04 -1.20177960286114612E-02
6.07866396E-01 1.24622582688886596E-01 5.00761131020522731E-04 -1.26250867835201574E-02
6.22865403E-01 1.24614876844703584E-01 5.01717426355082364E-04 -1.32442214018814227E-02
6.37875911E-01 1.24607145034477729E-01 5.02700978469017095E-04 -1.38749097464523075E-02
6.52898222E-01 1.24599386691777947E-01 5.03712041552733386E-04 -1.45168514817598897E-02
6.67932622E-01 1.24591601251447900E-01 5.04750875071315421E-04 -1.51697358317980265E-02
6.82979389E-01 1.24583788149656705E-01 5.05817743650906031E-04 -1.58332413407176395E-02
6.98038786E-01 1.24575946823946668E-01 5.06912916963028282E-04 -1.65070356401704997E-02
7.13111063E-01 1.24568076713287137E-01 5.08036669606998551E-04 -1.71907752225333339E-02
7.28196458E-01 1.24560177258117424E-01 5.09189280990243937E-04 -1.78841052200151319E-02
7.43295194E-01 1.24552247900396207E-01 5.10371035206553408E-04 -1.85866591949951053E-02
7.58407483E-01 1.24544288083654101E-01 5.11582220912272533E-04 -1.92980589373262616E-02
7.73533523E-01 1.24536297253026146E-01 5.12823131200482261E-04 -2.00179142755680765E-02
7.88673496E-01 1.24528274855304377E-01 5.14094063473319253E-04 -2.07458228971221098E-02
8.03827575E-01 1.24520220338977416E-01 5.15395319312521283E-04 -2.14813701857222879E-02
8.18995914E-01 1.24512133154274771E-01 5.16727204348325074E-04 -2.22241290709655724E-02
8.34178658E-01 1.24504012753190910E-01 5.18090028126714955E-04 -2.29736598955466755E-02
8.49375935E-01 1.24495858589534131E-01 5.19484103975088266E-04 -2.37295103012379882E-02
8.64586864E-01 1.24487670655685251E-01 5.20909656016024444E-04 -2.44911645610224708E-02
8.79811476E-01 1.24479448451289609E-01 5.22366990666154815E-04 -2.52581405504187229E-02
8.95049911E-01 1.24471191413663598E-01 5.23856430123884487E-04 -2.60299493808099150E-02
9.10302294E-01 1.24462898982065598E-01 5.25378300297692918E-04 -2.68060893208169025E-02
9.25568734E-01 1.24454570597678629E-01 5.26932930478675042E-04 -2.75860459147891368E-02
9.40849329E-01 1.24446205703592466E-01 5.28520653198157552E-04 -2.83692920088493526E-02
9.56144160E-01 1.24437803744840605E-01 5.30141804083603119E-04 -2.91552877899882192E-02
9.71453296E-01 1.24429364168415366E-01 5.31796721713074030E-04 -2.99434808540656079E-02
9.86776790E-01 1.24420886423317445E-01 5.33485747468247771E-04 -3.07333063048558751E-02
1.00211468E+00 1.24412369960555255E-01 5.35209225386063035E-04 -3.15241868871798392E-02
1.01746700E+00 1.24403814233179283E-01 5.36967502009208248E-04 -3.23155331505360979E-02
1.03283375E+00 1.24395218696299756E-01 5.38760926235458447E-04 -3.31067436540177992E-02
1.04821494E+00 1.24386582807091764E-01 5.40589849166011227E-04 -3.38972052015955386E-02
1.06361055E+00 1.24377906024817353E-01 5.42454623952998041E-04 -3.46862931203782837E-02
1.07902054E+00 1.24369187810826162E-01 5.44355605646185711E-04 -3.54733715764782576E-02
1.09444488E+00 1.24360427628550013E-01 5.46293151039163268E-04 -3.62577939318819015E-02
1.10988351E+00 1.24351624943507988E-01 5.48267618515037758E-04 -3.70389031429655333E-02
1.12533635E+00 1.24342779223292108E-01 5.50279367891874063E-04 -3.78160322015279951E-02
1.14080333E+00 1.24333889937549125E-01 5.52328760268086484E-04 -3.85885046204862275E-02
1.15628435E+00 1.24324956557960775E-01 5.54416157867866307E-04 -3.93556349625477156E-02
1.17177929E+00 1.24315978558212914E-01 5.56541923886930958E-04 -4.01167294153177423E-02
1.18728804E+00 1.24306955413961376E-01 5.58706422338743581E-04 -4.08710864107605654E-02
1.20281045E+00 1.24297886602785221E-01 5.60910017901380975E-04 -4.16179972906267764E-02
1.21834639E+00 1.24288771604138829E-01 5.63153075765288947E-04 -4.23567470184010933E-02
1.23389569E+00 1.24279609899289253E-01 5.65435961482134018E-04 -4.30866149356539871E-02
1.24945818E+00 1.24270400971252873E-01 5.67759040814877882E-04 -4.38068755649403535E-02
1.26503368E+00 1.24261144304713828E-01 5.70122679589393495E-04 -4.45167994561964028E-02
1.28062199E+00 1.24251839385949747E-01 5.72527243547817522E-04 -4.52156540772890997E-02
1.29622291E+00 1.24242485702726627E-01 5.74973098203880248E-04 -4.59027047476764302E-02
1.31183622E+00 1.24233082744204346E-01 5.77460608700416152E-04 -4.65772156126348993E-02
1.32746170E+00 1.24223630000826327E-01 5.79990139669520695E-04 -4.72384506571482399E-02
1.34309910E+00 1.24214126964187752E-01 5.82562055095381393E-04 -4.78856747587526888E-02
1.35874819E+00 1.24204573126909773E-01 5.85176718180364431E-04 -4.85181547732637941E-02
1.37440870E+00 1.24194967982503499E-01 5.87834491214521393E-04 -4.91351606571549249E-02
1.39008038E+00 1.24185311025197920E-01 5.90535735448972986E-04 -4.97359666169216730E-02
1.40576294E+00 1.24175601749795195E-01 5.93280810973458158E-04 -5.03198522879475044E-02
1.42145610E+00 1.24165839651476123E-01 5.96070076598565466E-04 -5.08861039374589111E-02
1.43715958E+00 1.24156024225624648E-01 5.98903889742934733E-04 -5.14340156858170347E-02
1.45287307E+00 1.24146154967613831E-01 6.01782606325928300E-04 -5.19628907488216066E-02
1.46859628E+00 1.24136231372595579E-01 6.04706580666161523E-04 -5.24720426886132463E-02
1.48432890E+00 1.24126252935278236E-01 6.07676165386390700E-04 -5.29607966761971166E-02
1.50007059E+00 1.24116219149679921E-01 6.10691711325111672E-04 -5.34284907579142543E-02
1.51582105E+00 1.24106129508865237E-01 6.13753567455481886E-04 -5.38744771212595272E-02
1.53157994E+00 1.24095983504691920E-01 6.16862080811853009E-04 -5.42981233577866026E-02
1.54734694E+00 1.24085780627516198E-01 6.20017596424499683E-04 -5.46988137162880764E-02
1.56312170E+00 1.24075520365899750E-01 6.23220457263064936E-04 -5.50759503417463797E-02
1.57890388E+00 1.24065202206291414E-01 6.26471004189103572E-04 -5.54289544993696731E-02
1.59469315E+00 1.24054825632715582E-01 6.29769575918301622E-04 -5.57572677709986739E-02
1.61048915E+00 1.24044390126410872E-01 6.33116508992855541E-04 -5.60603532253765649E-02
1.62629154E+00 1.24033895165488545E-01 6.36512137764708706E-04 -5.63376965511559191E-02
1.64209997E+00 1.24023340224561657E-01 6.39956794389908465E-04 -5.65888071455284206E-02
1.65791409E+00 1.24012724774347605E-01 6.43450808835008899E-04 -5.68132191533100642E-02
1.67373355E+00 1.24002048281279253E-01 6.46994508895851043E-04 -5.70104924488713388E-02
1.68955800E+00 1.23991310207079763E-01 6.50588220229543707E-04 -5.71802135578333981E-02
1.70538709E+00 1.23980510008338277E-01 6.54232266400169536E-04 -5.73219965172967472E-02
1.72122048E+00 1.23969647136053143E-01 6.57926968939000515E-04 -5.74354836544464856E-02
1.73705781E+00 1.23958721035170374E-01 6.61672647419769572E-04 -5.75203462121319786E-02
1.75289876E+00 1.23947731144100792E-01 6.65469619549856751E-04 -5.75762843903508889E-02
1.76874298E+00 1.23936676894226785E-01 6.69318201278019768E-04 -5.76030220519252040E-02
1.78459013E+00 1.23925557709381878E-01 6.73218706919117378E-04 -5.76006723819579153E-02
1.80043990E+00 1.23914373005334907E-01 6.77171449298273782E-04 -5.75677159989766568E-02
1.81629195E+00 1.23903122189163509E-01 6.81176739910486747E-04 -5.75059917142377516E-02
1.83214578E+00 1.23891804792342575E-01 6.85234841972914843E-04 -5.74138609809218825E-02
1.84800106E+00 1.23880420220124410E-01 6.89346056870243835E-04 -5.72917342525542106E-02
1.86385753E+00 1.23868967828576260E-01 6.93510699796306453E-04 -5.71394755815659156E-02
1.87971492E+00 1.23857446960803835E-01 6.97729086672317016E-04 -5.69570399395207538E-02
1.89557299E+00 1.23845856946262989E-01 7.02001534191408504E-04 -5.67444152862810192E-02
1.91143149E+00 1.23834197100070514E-01 7.06328360139532553E-04 -5.65016216879255448E-02
1.92729021E+00 1.23822466722291524E-01 7.10709883738366789E-04 -5.62287109738178262E-02
1.94314894E+00 1.23810665097199124E-01 7.15146426010997041E-04 -5.59257664303589655E-02
1.95900746E+00 1.23798791492553739E-01 7.19638310170761237E-04 -5.55929024213034015E-02
1.97486561E+00 1.23786845158817493E-01 7.24185862034003335E-04 -5.52302318362269742E-02
1.99072322E+00 1.23774825328398341E-01 7.28789410456548827E-04 -5.48380340329454943E-02
2.00658012E+00 1.23762731214834179E-01 7.33449287795579961E-04 -5.44163918767105945E-02
2.02243617E+00 1.23750562012000215E-01 7.38165830396454443E-04 -5.39655977066492640E-02
2.03829098E+00 1.23738317111066753E-01 7.42939295672372406E-04 -5.34859118333932682E-02
2.05414435E+00 1.23725995739304068E-01 7.47769997428357589E-04 -5.29776278976740872E-02
