#  time, MeanKE MeanKEDR MeanP
0 1.24924716013033330E-01 6.27306645579639227E-04 -5.53602782891480650E-18
1.47262156E-02 1.24912689641020494E-01 6.27263010301277709E-04 2.41968557929284598E-04
2.94623957E-02 1.24901769002650043E-01 6.27273944745464175E-04 2.69836553662810934E-04
4.41999092E-02 1.24891214358854447E-01 6.27334882650006369E-04 2.56351765594010482E-04
5.89391781E-02 1.24880776467237262E-01 6.27444280595313157E-04 2.27409866152256882E-04
7.36806837E-02 1.24870371571142752E-01 6.27601620167222898E-04 1.81536878782470666E-04
8.84249268E-02 1.24859971129144182E-01 6.27806731412936902E-04 1.18681249469000698E-04
1.03172413E-01 1.24849565008663524E-01 6.28059566999244687E-04 3.87330621513111735E-05
1.17922761E-01 1.24839149841337635E-01 6.28360105918714454E-04 -5.82321992247443278E-05
1.32674702E-01 1.24828724930789059E-01 6.28708312286135602E-04 -1.72160891308225907E-04
1.47428746E-01 1.24818289007932876E-01 6.29104187485037816E-04 -3.02995590856075514E-04
1.62185402E-01 1.24807841030427219E-01 6.29547739438329843E-04 -4.50674087806444165E-04
1.76945176E-01 1.24797380031058336E-01 6.30038981938557132E-04 -6.15129624692027015E-04
1.91708571E-01 1.24786905067412301E-01 6.30577934889994850E-04 -7.96290779030195774E-04
2.06476087E-01 1.24776415205195973E-01 6.31164624666907966E-04 -9.94081420841637104E-04
2.21248219E-01 1.24765909512685000E-01 6.31799084398876397E-04 -1.20842062257330973E-03
2.36025457E-01 1.24755387058885198E-01 6.32481354149266720E-04 -1.43922254629452327E-03
2.50808286E-01 1.24744846913039623E-01 6.33211480907412152E-04 -1.68639631500818853E-03
2.65597185E-01 1.24734288144633887E-01 6.33989518296736859E-04 -1.94984587156782916E-03
2.80392625E-01 1.24723709823595014E-01 6.34815526141377048E-04 -2.22946982482751053E-03
2.95195072E-01 1.24713111020373232E-01 6.35689570226550702E-04 -2.52516128092858567E-03
3.10004980E-01 1.24702490805954400E-01 6.36611722291728632E-04 -2.83680767027733776E-03
3.24821181E-01 1.24691849413294281E-01 6.37581951433860319E-04 -3.16425433987176314E-03
3.39643308E-01 1.24681186499468813E-01 6.38600268620423232E-04 -3.50735253756003429E-03
3.54471823E-01 1.24670501121259061E-01 6.39666741505657871E-04 -3.86596466543087701E-03
3.69307184E-01 1.24659792335906836E-01 6.40781443289827036E-04 -4.23994725771361866E-03
3.84149839E-01 1.24649059200878404E-01 6.41944452683461224E-04 -4.62915062861106019E-03
3.99000225E-01 1.24638300773777938E-01 6.43155853923859321E-04 -5.03341860581970387E-03
4.13858773E-01 1.24627516112153156E-01 6.44415736699625527E-04 -5.45258832874389882E-03
4.28725905E-01 1.24616704273272746E-01 6.45724195992489355E-04 -5.88649004456742297E-03
4.43602032E-01 1.24605864313956510E-01 6.47081331853113762E-04 -6.33494689906808229E-03
4.58487557E-01 1.24594995290496710E-01 6.48487249077353252E-04 -6.79777471661873866E-03
4.73382875E-01 1.24584096258712612E-01 6.49942056714747840E-04 -7.27478177489958560E-03
4.88288369E-01 1.24573166274107194E-01 6.51445867563783788E-04 -7.76576856902663239E-03
5.03204411E-01 1.24562204391912706E-01 6.52998797841126835E-04 -8.27052756859594958E-03
5.18131366E-01 1.24551209667133511E-01 6.54600966951559378E-04 -8.78884297566328090E-03
5.33069585E-01 1.24540181154582402E-01 6.56252497190195228E-04 -9.32049048588455206E-03
5.48018520E-01 1.24529118566414299E-01 6.57953410770621477E-04 -9.86520423264010231E-03
5.62977411E-01 1.24518021768792495E-01 6.59703696869577217E-04 -1.04226988745553927E-02
5.77946622E-01 1.24506889794203782E-01 6.61503470482336926E-04 -1.09927201049782337E-02
5.92926502E-01 1.24495721675296850E-01 6.63352849061363183E-04 -1.15750045066454251E-02
6.07917391E-01 1.24484516444650153E-01 6.65251952482346200E-04 -1.21692793422567939E-02
6.22919618E-01 1.24473273134727877E-01 6.67200902931582756E-04 -1.27752623043385465E-02
6.37933498E-01 1.24461990777910037E-01 6.69199824677205635E-04 -1.33926612764920863E-02
6.52959337E-01 1.24450668406567377E-01 6.71248843774305574E-04 -1.40211740914788427E-02
6.67997427E-01 1.24439305053225174E-01 6.73348087724783321E-04 -1.46604882921161882E-02
6.83048047E-01 1.24427899750763543E-01 6.75497685096872083E-04 -1.53102808905213883E-02
6.98111464E-01 1.24416451532684089E-01 6.77697765190861520E-04 -1.59702181326988740E-02
7.13187931E-01 1.24404959433280518E-01 6.79948457815951479E-04 -1.66399552694374703E-02
7.28277689E-01 1.24393422487779556E-01 6.82249893127457848E-04 -1.73191363404284863E-02
7.43380963E-01 1.24381839732429930E-01 6.84602201472980960E-04 -1.80073939748332905E-02
7.58497966E-01 1.24370210204558573E-01 6.87005513288798590E-04 -1.87043491984212884E-02
7.73628897E-01 1.24358532942623376E-01 6.89459959115264111E-04 -1.94096112566119541E-02
7.88773941E-01 1.24346806986252029E-01 6.91965669725765520E-04 -2.01227774489953319E-02
8.03933269E-01 1.24335031376265531E-01 6.94522776252590353E-04 -2.08434329799026714E-02
8.19107039E-01 1.24323205154674821E-01 6.97131410193418759E-04 -2.15711508262501038E-02
8.34295393E-01 1.24311327364712385E-01 6.99791703316815657E-04 -2.23054916186093341E-02
8.49497963E-01 1.24299397443190907E-01 7.02503697524044647E-04 -2.30459787881919717E-02
8.64714242E-01 1.24287414928885287E-01 7.05267406049908522E-04 -2.37921167569090652E-02
8.79944386E-01 1.24275378836742542E-01 7.08082959553871867E-04 -2.45434306387657328E-02
8.95188536E-01 1.24263288183493720E-01 7.10950489068346491E-04 -2.52994328927490172E-02
9.10446817E-01 1.24251141987503852E-01 7.13870125939062477E-04 -2.60596234751404449E-02
9.25719342E-01 1.24238939268731613E-01 7.16842001844793285E-04 -2.68234899264508039E-02
9.41006210E-01 1.24226679048749650E-01 7.19866248901168226E-04 -2.75905073915699121E-02
9.56307504E-01 1.24214360350781913E-01 7.22942999866010914E-04 -2.83601386715212865E-02
9.71623296E-01 1.24201982199745251E-01 7.26072388442018809E-04 -2.91318343022512541E-02
9.86953641E-01 1.24189543622312701E-01 7.29254549556932765E-04 -2.99050326647599361E-02
1.00229858E+00 1.24177043646963359E-01 7.32489619498481281E-04 -3.06791601265092966E-02
1.01765815E+00 1.24164481304049001E-01 7.35777735936299923E-04 -3.14536312139918894E-02
1.03303235E+00 1.24151855625856566E-01 7.39119037897998862E-04 -3.22278488185553449E-02
1.04842119E+00 1.24139165646659860E-01 7.42513665736291382E-04 -3.30012044403844781E-02
1.06382466E+00 1.24126410402788170E-01 7.45961761101194502E-04 -3.37730784647589585E-02
1.07924273E+00 1.24113588932651869E-01 7.49463466905065084E-04 -3.45428404830117330E-02
1.09467535E+00 1.24100700276788350E-01 7.53018927279904059E-04 -3.53098496480916679E-02
1.11012248E+00 1.24087743477863860E-01 7.56628287582544767E-04 -3.60734550754028202E-02
1.12558405E+00 1.24074717580678923E-01 7.60291694540070491E-04 -3.68329962846413728E-02
1.14105997E+00 1.24061621632140975E-01 7.64009296592911753E-04 -3.75878036846591240E-02
1.15655016E+00 1.24048454681226189E-01 7.67781244294470110E-04 -3.83371991060795642E-02
1.17205450E+00 1.24035215778917296E-01 7.71607690500416611E-04 -3.90804963751153756E-02
1.18757288E+00 1.24021903978122308E-01 7.75488790397094521E-04 -3.98170019315457410E-02
1.20310516E+00 1.24008518333580828E-01 7.79424701521627054E-04 -4.05460154915456214E-02
1.21865120E+00 1.23995057901765196E-01 7.83415583769312383E-04 -4.12668307515942634E-02
1.23421085E+00 1.23981521740769957E-01 7.87461599379675600E-04 -4.19787361361117842E-02
1.24978393E+00 1.23967908910197044E-01 7.91562912936386639E-04 -4.26810155903591879E-02
1.26537028E+00 1.23954218471047067E-01 7.95719691408069757E-04 -4.33729494115176265E-02
1.28096970E+00 1.23940449485598056E-01 7.99932104214784749E-04 -4.40538151239674991E-02
1.29658198E+00 1.23926601017290999E-01 8.04200323336976691E-04 -4.47228883940702787E-02
1.31220693E+00 1.23912672130610677E-01 8.08524523605042705E-04 -4.53794439833190844E-02
1.32784431E+00 1.23898661890950806E-01 8.12904883148409690E-04 -4.60227567418184241E-02
1.34349390E+00 1.23884569364486705E-01 8.17341583611350293E-04 -4.66521026375130571E-02
