#  time, MeanKE MeanKEDR MeanP
0 1.23799080025198585E-01 1.09143034769993547E-03 -1.46012263020141482E-17
5.89048623E-02 1.23694944353482578E-01 1.09119407122200006E-03 3.68912768241593447E-03
1.18429277E-01 1.23604133963988269E-01 1.09306547733092419E-03 3.83569286145485399E-03
1.78018278E-01 1.23517019774008349E-01 1.09690024783791907E-03 3.52001445188829514E-03
2.37697998E-01 1.23430031256299130E-01 1.10263887967988966E-03 3.03581651864921623E-03
2.97497338E-01 1.23341886304569381E-01 1.11025637650683179E-03 2.35686081783727025E-03
3.57445326E-01 1.23252075484417870E-01 1.11974017134082904E-03 1.48842958715938436E-03
4.17570008E-01 1.23160346851958674E-01 1.13108161845414524E-03 4.38697479430645945E-04
4.77897875E-01 1.23066533908121181E-01 1.14427398841908281E-03 -7.82433273106603868E-04
5.38308506E-01 1.22970727149072256E-01 1.15927334457711917E-03 -2.16000968007236090E-03
5.98827976E-01 1.22872804139599223E-01 1.17606001294908130E-03 -3.67942095136937963E-03
6.59485092E-01 1.22772639189046823E-01 1.19461135752599399E-03 -5.32489085588916302E-03
7.20306873E-01 1.22670108003541403E-01 1.21490081377685481E-03 -7.07914028666030686E-03
7.81318270E-01 1.22565087585819646E-01 1.23689912644371928E-03 -8.92330153445105440E-03
8.42541931E-01 1.22457456717513027E-01 1.26057461695137192E-03 -1.08368904750789814E-02
9.03998010E-01 1.22347096563602514E-01 1.28589321675638257E-03 -1.27978105302858445E-02
9.65704043E-01 1.22233891139591197E-01 1.31281942165182219E-03 -1.47823902668249262E-02
1.02767487E+00 1.22117727600107903E-01 1.34131702175397998E-03 -1.67654504737824762E-02
1.08992257E+00 1.21998496604394990E-01 1.37134713525052365E-03 -1.87204123454557253E-02
1.15245637E+00 1.21876093078560427E-01 1.40286288040458165E-03 -2.06194674282872449E-02
1.21528260E+00 1.21750417477841655E-01 1.43580731286747356E-03 -2.24337988945461919E-02
1.27840483E+00 1.21621377029012628E-01 1.47011654818775738E-03 -2.41338718726360375E-02
1.34182402E+00 1.21488886273846242E-01 1.50572401871903279E-03 -2.56898072617592274E-02
1.40553881E+00 1.21352866595999059E-01 1.54256483922121483E-03 -2.70718032276251325E-02
1.46954582E+00 1.21213244931587416E-01 1.58057851328985356E-03 -2.82505836053299417E-02
1.53384005E+00 1.21069952233062189E-01 1.61970891560558709E-03 -2.91978750948094605E-02
1.59841530E+00 1.20922921879898310E-01 1.65990660016414565E-03 -2.98869083476252066E-02
1.66326461E+00 1.20772087434167494E-01 1.70113555952142474E-03 -3.02929285408084538E-02
1.72838076E+00 1.20617379070431963E-01 1.74337667768645387E-03 -3.03936624525374538E-02
1.79375675E+00 1.20458719204812312E-01 1.78662323022411125E-03 -3.01699413589082005E-02
1.85938631E+00 1.20296018831776264E-01 1.83087155456093924E-03 -2.96052821886435523E-02
1.92526441E+00 1.20129175294910406E-01 1.87611674718759342E-03 -2.86875092804410418E-02
1.99138769E+00 1.19958070692311972E-01 1.92235548468506156E-03 -2.74075102283389549E-02
2.05775490E+00 1.19782570024061202E-01 1.96959536110972088E-03 -2.57603266031912678E-02
2.12436734E+00 1.19602517846250145E-01 2.01786791397744756E-03 -2.37449600120455857E-02
2.19122917E+00 1.19417733091088052E-01 2.06723254954176757E-03 -2.13644504558030759E-02
2.25834770E+00 1.19228003973957650E-01 2.11777002556919752E-03 -1.86257833616119070E-02
2.32573367E+00 1.19033084412455345E-01 2.16958111214092531E-03 -1.55396574191981312E-02
2.39340141E+00 1.18832690743953168E-01 2.22279685570075892E-03 -1.21201549265500478E-02
2.46136892E+00 1.18626497393450603E-01 2.27759204516593365E-03 -8.38439293041112581E-03
2.52965801E+00 1.18414132047202900E-01 2.33419571174623124E-03 -4.35218306654950541E-03
2.59829424E+00 1.18195171216763095E-01 2.39289519037540113E-03 -4.56865725574765578E-05
2.66730691E+00 1.17969136703276342E-01 2.45403394263232332E-03 4.51093239643023721E-03
2.73672898E+00 1.17735493034339250E-01 2.51801825858172191E-03 9.29187123395876571E-03
2.80659691E+00 1.17493642892434982E-01 2.58534461639741992E-03 1.42700949457249329E-02
2.87685121E+00 1.17243276042130529E-01 2.65652867391046868E-03 1.94105878888118331E-02
2.94749101E+00 1.16983828255898703E-01 2.73226352337039907E-03 2.46811179274135616E-02
3.01855133E+00 1.16714515078705200E-01 2.81341263213699287E-03 3.00518250828715888E-02
3.09007084E+00 1.16434408650737717E-01 2.90097538082849426E-03 3.54936572218298163E-02
3.16209180E+00 1.16142400959467429E-01 2.99602433767513863E-03 4.09789054504854644E-02
3.23465991E+00 1.15837182047105636E-01 3.09955186168879614E-03 4.64817634251057793E-02
3.30782419E+00 1.15517259239951514E-01 3.21237506878108712E-03 5.19787380397360305E-02
3.38163682E+00 1.15181008123940692E-01 3.33529679441320033E-03 5.74487598881458089E-02
3.45605230E+00 1.14827207320870053E-01 3.46917247919142566E-03 6.28656104673649962E-02
3.53110628E+00 1.14454264309093154E-01 3.61528034027616772E-03 6.82109942045485834E-02
